Month_Day,2018,2019,2020,2021,2022,2023
04-25,18000,445393,985410,1001102,1198180,1761604.8
04-26,1030556,1034416,3791522,1303232,539478,6671805.0
04-27,425729,995967,807485,1219717,477336,2146294.2
04-28,353346,995967,985410,292517,843429,1752569.1
04-29,1492435,1970252,2068891,1001102,1527271,3640554.5
04-30,1794152,2101064,985410,1238210,1037837,3697166.2
05-01,986364,995967,985410,1001102,66795,1761604.8
05-02,1030556,1015588,2110999,1001102,2361155,3714649.2
05-03,893405,1277713,1300098,1001102,2183113,2287736.8
05-04,1030556,2828337,985410,228621,1811580,4976925.0
05-05,101725,391165,2064058,1001102,608008,3632049.5
05-06,1165063,1031023,2700232,1250466,762558,4751501.0
05-07,1030556,533203,102836,332753,1198180,1813434.2
05-08,446726,1389275,1504014,15876,250165,2646560.5
05-09,1226065,2524884,236003,2124476,1198180,4442949.5
05-10,556401,995967,139570,2700007,2708486,4751106.5
05-11,1679491,1805895,991281,346950,1198180,3177770.0
05-12,344526,995967,1783359,1001102,501138,3138114.8
05-13,1030556,1205260,985410,1001102,1198180,2120854.8
05-14,1635511,1689095,985410,1103407,100686,2972240.8
05-15,1457846,72452,80000,1001102,2582503,2565321.5
05-16,1030556,15000,1536693,2389491,1710925,4204703.0
05-17,1030556,424325,985410,1001102,1198180,1813434.2
05-18,618354,1035713,1618502,1001102,335345,2848021.5
05-19,1724855,995967,1700775,980163,1198180,3035166.0
05-20,32977,1269085,985410,502782,1172228,2233165.0
05-21,1152978,1797842,766116,797311,329540,3163599.8
05-22,1569985,324857,1932343,1001102,2225042,3400276.0
05-23,224529,995967,985410,160463,641067,1752569.1
05-24,1030556,2000530,985410,1709501,328220,3520262.2
05-25,1030556,47878,1354063,410375,273731,2382697.2
05-26,2481189,995967,1144446,1001102,179127,4366059.0
05-27,2591526,1505501,985410,1001102,1730231,4560217.0
05-28,1030556,1827491,318615,1636455,1198180,3215772.8
05-29,1030556,860585,985410,2204343,1198180,3878904.5
05-30,1286324,995967,153876,1305059,5734111,2296467.8
05-31,421774,1792161,1343077,1001102,816859,3153602.8
06-01,703570,995967,908810,558130,1198180,1752569.1
06-02,2787360,53877,102000,678089,1198180,4904815.5
06-03,2401072,995967,924133,649070,1198180,4225080.0
06-04,1627907,43000,233917,880693,732844,2864570.5
06-05,1030556,145803,1311267,1795806,1474452,3160015.2
06-06,534235,397894,807514,611210,666718,1420955.6
06-07,1360307,10374,328430,1213845,1198180,2393685.8
06-08,3598011,1593326,928276,1001102,2919146,6331293.0
06-09,1030556,826587,985410,445759,1198180,1813434.2
06-10,806997,33113,1239409,224683,2610859,2180945.5
06-11,1590813,105504,985410,196783,1060373,2799298.5
06-12,4835,916661,174263,1470461,33434,2587518.2
06-13,825046,995967,1735664,1001102,1198180,3054186.5
06-14,1030556,482812,985410,534095,2993596,1813434.2
06-15,1280016,1730771,1899715,911277,816956,3342861.0
06-16,154873,995967,985410,432767,102566,1752569.1
06-17,1030556,262391,37940,1062607,371839,1869833.5
06-18,376422,2339132,2215330,1309072,277098,4116089.0
06-19,2258137,86988,985410,1001102,1198180,3973562.8
06-20,206230,1123371,985410,1330509,2908700,2341251.0
06-21,1030556,525424,106262,1461574,475899,2571881.2
06-22,1587242,995967,1144069,1103883,583735,2793015.0
06-23,138000,995967,2170126,1367994,2111541,3818694.0
06-24,672380,1915380,625379,156025,1946630,3370425.0
06-25,580927,2079863,985410,390298,1198180,3659859.8
06-26,1522914,254017,985410,1001102,2068514,2679819.2
06-27,354151,668400,338816,794999,1198180,1398933.8
06-28,729882,2358632,985410,1001102,1198180,4150399.8
06-29,1030556,995967,1601478,1308869,1118273,2818064.0
06-30,491886,185672,1084148,1994199,545951,3509120.5
07-01,1030556,266878,1481618,341190,1986833,2607152.0
07-02,343929,995967,1063588,1519759,2386754,2674267.0
07-03,721862,995967,985410,753561,287116,1752569.1
07-04,635614,162940,223800,120809,1198180,1118469.5
07-05,1849462,1216573,985410,1001102,1572461,3254432.0
07-06,410929,1877885,470811,1001102,348147,3304447.5
07-07,1030556,517177,772192,644112,1198180,1813434.2
07-08,2271569,2634044,1191553,2014225,1198180,4635033.0
07-09,1466534,995967,2505064,2875213,205556,5059407.5
07-10,853516,1753099,1199043,1001102,2504648,3084866.2
07-11,265174,995967,241137,312693,7169,1752569.1
07-12,2101044,995967,985410,1001102,3012812,3697132.0
07-13,1030556,995967,975980,795646,441931,1813434.2
07-14,890793,995967,1963444,1877828,1198180,3455004.2
07-15,1384564,1245311,31752,1107547,26000,2436370.2
07-16,271203,1461359,705290,1001102,1198180,2571502.8
07-17,2128496,557998,985410,737021,1023180,3745438.5
07-18,1030556,1149233,985410,106877,1322027,2022266.5
07-19,1030556,1996587,985410,606083,579959,3513324.0
07-20,2087643,110000,415950,2777052,1556266,4886679.5
07-21,300786,948107,2623328,19200,1344181,4616178.0
07-22,1030556,390052,3059067,91510,48260,5382931.0
07-23,794480,14000,116627,1358221,1479618,2390014.2
07-24,1065470,474624,985410,91875,1198180,1874871.4
07-25,1427245,2541134,1378481,1224813,1720431,4471543.5
07-26,1030556,995967,985410,161947,1044105,1813434.2
07-27,15000,552862,195342,1007219,1071306,1772369.4
07-28,1030556,740463,1247923,302473,1198180,2195927.0
07-29,1595899,148413,145581,2405621,116000,4233086.0
07-30,181298,1516868,403387,1001102,1509348,2669179.2
07-31,1842774,1790659,786211,72050,46424,3242664.5
08-01,1504137,1939840,132474,613200,1292425,3413468.0
08-02,494192,248142,985410,153552,2701790,1733992.9
08-03,1030556,1688033,985410,1053242,518301,2970372.5
08-04,1030556,350293,452949,31752,1198180,1813434.2
08-05,1512319,1592203,985410,87319,73927,2801743.0
08-06,50991,995967,1715022,1258893,1304588,3017864.0
08-07,1141053,1744126,1327088,1001102,794796,3069076.5
08-08,249906,995967,1805132,694112,1982668,3176426.8
08-09,203621,646170,736976,1001102,1262948,1761604.8
08-10,183259,2136348,1312861,83000,1198180,3759255.0
08-11,1030556,1360447,2079704,154181,1589140,3659580.2
08-12,1030556,918005,149043,1001102,130337,1813434.2
08-13,250651,995967,1686456,1001102,1198180,2967596.2
08-14,2809531,1562233,985410,374371,1397685,4943831.0
08-15,182762,995967,81425,2250345,109140,3959852.8
08-16,1030556,2008845,1563185,254785,1000240,3534894.0
08-17,1490020,995967,985410,542978,2591653,2621936.2
08-18,1030556,167724,309225,1232847,1198180,2169398.0
08-19,545365,738924,985410,1767985,535954,3111060.5
08-20,229054,2152931,985410,263587,245116,3788436.0
08-21,144986,109699,2005251,1421332,1198180,3528568.5
08-22,105200,870185,1423800,922886,2347883,2505411.5
08-23,11532,2581136,445413,1001102,934059,4541931.5
08-24,1030556,995967,693932,323155,1767938,1813434.2
08-25,836328,266229,985410,799402,692267,1733992.9
08-26,78000,90277,789389,323623,1198180,1389061.8
08-27,983630,995967,46182,1001102,221047,1761604.8
08-28,787922,2088198,1517943,184925,1639211,3674528.0
08-29,113473,1371241,985410,1687704,1198180,2969794.2
08-30,1030556,1721775,274471,1001102,4243153,3029747.0
08-31,1581838,813114,2050034,1280352,1198180,3607373.0
09-01,835290,995967,985410,1001102,1198180,1761604.8
09-02,1452479,995967,985410,1001102,1198180,2555877.2
09-03,1127602,158098,708148,1222897,1982907,2151890.2
09-04,277265,2602408,985410,801358,1132502,4579364.0
09-05,283414,255446,972796,102292,2267886,1711796.9
09-06,1353565,995967,1954325,2300934,70083,4048871.2
09-07,840629,1857767,2006033,2031956,1694375,3575560.5
09-08,108200,995967,985410,1001102,1198180,1761604.8
09-09,400244,1233784,286188,925660,1198180,2171047.0
09-10,1917313,90000,985410,926953,678486,3373827.8
09-11,1617895,995967,77024,2768970,535008,4872456.5
09-12,654462,997333,1435168,367064,1145079,2525415.0
09-13,15000,995967,2126695,1262482,556929,3742269.8
09-14,1007291,1334077,324009,1850005,1198180,3255389.0
09-15,572486,701882,2621862,1389161,1198180,4613596.0
09-16,505107,924059,985410,414255,1198180,1733992.9
09-17,1545056,513579,985410,1001102,1697516,2718782.0
09-18,1697822,129518,441025,1001102,1198180,2987597.5
09-19,563507,908119,985410,825057,1759496,1733992.9
09-20,1030556,384294,985410,1243506,1562431,2188155.0
09-21,477958,979495,1321452,2961713,938942,5211620.5
09-22,316352,709874,2122983,621987,1198180,3735737.0
09-23,1030556,853624,414340,1001102,1198180,1813434.2
09-24,870680,1282206,92743,347056,1502601,2256253.0
09-25,3198049,61920,1417076,611149,496917,5627492.0
09-26,1030556,995967,985410,1853309,1198180,3261202.2
09-27,1030556,1877253,145319,1001102,2449697,3303334.0
09-28,936500,111977,345467,1336377,1198180,2351576.8
09-29,2420666,690574,1895615,2205453,1372961,4259560.5
09-30,38000,1077076,25002,1001102,1198180,1895293.2
10-01,1378525,995967,462707,1001102,2576140,2425742.0
10-02,1030556,995967,618867,2051000,1177883,3609072.2
10-03,448986,32531,2932800,396127,1198180,5160743.5
10-04,2719554,500886,397539,1001102,1347521,4785502.0
10-05,1030556,1727793,266169,1001102,887222,3040335.0
10-06,1030556,534194,219160,140492,1198180,1813434.2
10-07,1799338,336087,985410,1113275,253239,3166231.5
10-08,92929,577380,496805,2554997,399892,4495938.0
10-09,754418,995967,985410,1001102,1301113,1761604.8
10-10,406531,995967,1655854,1001102,1040320,2913748.0
10-11,1030556,995967,502113,1901362,3164532,3345760.0
10-12,1545985,1263175,390885,187610,1198180,2720416.5
10-13,1030556,900885,638239,190401,1198180,1813434.2
10-14,959612,2801771,1334916,1294739,1198180,4930175.0
10-15,1030556,995967,30000,1001102,1198180,1813434.2
10-16,2902543,995967,1465541,117895,1720179,5107500.5
10-17,1030556,995967,985410,1685168,789497,2965331.8
10-18,372810,1764841,89608,964895,1352002,3105529.2
10-19,467978,995967,1856334,1270703,1968600,3266526.0
10-20,1030556,337365,985410,1001102,1198180,1813434.2
10-21,727386,1232607,1384924,1520478,472053,2675532.5
10-22,1231810,1442428,985410,109161,323999,2538190.2
10-23,1882107,154999,81766,702053,692504,3311876.2
10-24,1030556,995967,985410,1206527,2678247,2123084.0
10-25,1030556,1220440,985410,1001102,1764542,2147566.5
