Month_Day,2018,2019,2020,2021,2022,2023,2024
03-26,158036,2629049,1260144,682275,1198180,4626242.0,283132.9
03-27,2837339,39925,723123,199288,3101867,4992766.0,305564.6
03-28,253320,2326837,985410,269973,1734929,4094450.5,250586.78
03-29,1030556,1520655,985410,1275836,1124245,2675844.5,163763.27
03-30,2553776,674306,12479,944108,1198180,4493788.5,275026.12
03-31,236370,995967,109450,1001102,1045272,1761604.8,107809.39
04-01,1030556,1092037,985410,1622925,1198180,2855805.5,174777.02
04-02,711520,1838186,13758,516783,1372254,3234590.5,197959.62
04-03,349977,1833010,1449469,3010,1482300,3225482.8,197402.94
04-04,1030556,995967,505890,2721668,1198180,4789220.5,293107.56
04-05,1281033,31072,2967374,549966,160327,5221582.5,319567.7
04-06,1330727,2197125,985410,1001102,2018614,3866202.2,236616.39
04-07,189976,497448,1800417,1683542,1198180,3168129.0,193892.05
04-08,276556,995967,104170,1001102,1192210,1761604.8,107809.39
04-09,86779,185406,207914,328894,1949806,578745.94,35415.39
04-10,45650,1594842,985410,917857,570090,2806387.5,171753.62
04-11,1491767,788430,991468,1391931,1198180,2625010.2,160652.11
04-12,2331420,143531,985410,205531,615044,4102517.0,251079.44
04-13,1339065,995967,1278310,814508,1198180,2356306.0,144207.06
04-14,1030556,995967,384607,1001102,1519452,1813434.2,110981.37
04-15,231700,254730,985410,687977,1198180,1733992.9,106119.41
04-16,1426416,2638605,1258045,257374,2634165,4643059.0,284161.8
04-17,827492,100604,985410,19160,283743,1733992.9,106119.41
04-18,204610,995967,1351086,577931,163541,2377459.2,145501.17
04-19,37276,1167496,985410,1001102,3491295,2054402.6,125729.53
04-20,1849481,616066,1006134,1139429,1401885,3254466.0,199176.73
04-21,1030556,66000,328831,2110869,1050181,3714422.0,227325.88
04-22,683531,405199,44367,550225,1198180,1202787.1,73608.08
04-23,1677626,1434860,985410,681433,221970,2952059.5,180667.97
04-24,879540,690751,985410,282935,1267286,1733992.9,106119.41
04-25,18000,445393,985410,1001102,1198180,1761604.8,107809.39
04-26,1030556,1034416,3791522,1303232,539478,6671805.0,408326.44
04-27,425729,995967,807485,1219717,477336,2146294.2,131353.19
04-28,353346,995967,985410,292517,843429,1752569.1,107256.266
04-29,1492435,1970252,2068891,1001102,1527271,3640554.5,222805.84
04-30,1794152,2101064,985410,1238210,1037837,3697166.2,226271.55
05-01,986364,995967,985410,1001102,66795,1761604.8,107809.39
05-02,1030556,1015588,2110999,1001102,2361155,3714649.2,227341.0
05-03,893405,1277713,1300098,1001102,2183113,2287736.8,140010.06
05-04,1030556,2828337,985410,228621,1811580,4976925.0,304595.8
05-05,101725,391165,2064058,1001102,608008,3632049.5,222285.64
05-06,1165063,1031023,2700232,1250466,762558,4751501.0,290799.1
05-07,1030556,533203,102836,332753,1198180,1813434.2,110981.37
05-08,446726,1389275,1504014,15876,250165,2646560.5,161970.64
05-09,1226065,2524884,236003,2124476,1198180,4442949.5,271914.44
05-10,556401,995967,139570,2700007,2708486,4751106.5,290775.2
05-11,1679491,1805895,991281,346950,1198180,3177770.0,194481.9
05-12,344526,995967,1783359,1001102,501138,3138114.8,192054.78
05-13,1030556,1205260,985410,1001102,1198180,2120854.8,129796.17
05-14,1635511,1689095,985410,1103407,100686,2972240.8,181903.53
05-15,1457846,72452,80000,1001102,2582503,2565321.5,156998.67
05-16,1030556,15000,1536693,2389491,1710925,4204703.0,257332.9
05-17,1030556,424325,985410,1001102,1198180,1813434.2,110981.37
05-18,618354,1035713,1618502,1001102,335345,2848021.5,174300.77
05-19,1724855,995967,1700775,980163,1198180,3035166.0,185754.55
05-20,32977,1269085,985410,502782,1172228,2233165.0,136669.62
05-21,1152978,1797842,766116,797311,329540,3163599.8,193614.97
05-22,1569985,324857,1932343,1001102,2225042,3400276.0,208100.03
