2015,2016,2017,2018,2019,2020,2021,2022,2023
5096,0,0,0,0,0,0,0,0
18564,69777,86397,86345,228380,72192,0,0,26888
9755,48705,91170,74962,242032,123160,143775,0,36466
518742,460864,347889,361760,312139,234667,385932,364588,347977
1007,589,0,0,0,0,0,0,0
75220,37104,168016,107840,17700,18600,0,0,24000
572,0,0,0,0,0,0,0,0
4638,0,3883,0,2852,0,0,0,0
5188,3600,2400,2500,15041,2280,0,880,3800
143863,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0
174085,172183,126384,69477,50926,42170,3300,0,0
1977574,1545564,1535023,2036325,2587584,2278346,3361076,1726492,2138720
912,9506,9067,0,11227,6887,1336,0,0
125,0,0,8600,6178,8877,8734,0,8815
332520,360768,314892,90876,77326,0,60000,30000,90000
891951,955612,1131406,1103900,1177853,945297,550028,520763,656219
1372644,1918042,2273976,3775798,3277071,1379848,1802697,1623207,2202798
13191,1200,0,7179,16313,0,0,0,0
219608,185660,118000,0,0,0,0,0,0
26391,19593,12226,9696,33325,11345,5062,31147,84347
4773530,3710012,4801189,3224544,1616900,1333679,1467950,758625,556020
4455,10667,5095,0,0,0,0,0,0
40250,64024,172839,35168,33858,29799,18434,0,5230
118856,147952,539452,1029221,313175,68811,101571,63120,3200
171,0,0,0,0,0,0,0,0
65762,56866,108746,197692,205880,154556,212749,128149,90882
1141146,1153699,2037420,1963471,2912157,1792341,4643823,1473757,1759857
6500,0,0,0,0,0,0,0,0
11000,0,0,0,0,0,0,0,0
10892,0,0,0,0,0,0,0,0
131200,178220,64000,63000,122600,50000,103000,56125,75000
11855,0,0,0,0,0,0,0,0
11561,0,0,0,165,0,4501,5545,9218
2469,0,0,0,0,0,0,0,0
1459122,1655089,2573128,2995866,1846186,1520098,825194,322699,49492
42222680,41453954,43104694,37195286,41561818,42376693,36377472,42237733,32178282
60000,57620,0,0,0,0,0,0,0
41466,38699,0,0,55744,0,0,125560,22502
98473,55514,19772,78213,61741,82462,17441,54289,98608
271800,265772,924712,818520,0,0,0,0,0
64699,8000,8000,9000,45690,0,9072,0,0
2935736,3410310,3501333,3392388,4147347,2929253,5330246,3877303,5084111
77520,158245,99390,138945,144470,285928,262443,101606,137480
734777,748190,851413,730777,749965,770176,1124961,842077,787539
9908,6800,12800,7489,6107,0,9100,3506,6158
128449,132356,137397,203908,213406,187355,175846,191626,116995
668449,390157,305216,362471,268197,228331,320840,229223,217167
68000,117245,116525,105785,184253,506236,859227,85850,209002
514266,507220,880344,126280,0,0,0,0,0
38809,45680,21494,48932,52553,37697,13682,23705,12430
3140,2390,1275,1059,5918,1201,0,3074,469
37641,20785,14479,0,0,0,3488,96931,118864
587,0,0,0,0,0,0,22360,0
26463,16475,13328,18765,10894,30676,30586,0,0
8789,0,17906,23297,0,0,58126,62872,12732
3279,2852,0,6997,15458,0,0,6060,12439
1952,9505,4651,0,0,0,0,0,0
4043,16713,0,0,12206,38434,11902,56260,15000
11290,25199,14925,36061,34054,24295,16140,9568,1143
327255,206232,105008,50151,29687,43837,0,0,0
137072,129675,58660,0,0,0,0,0,0
3107,12979,2304,23429,8564,5068,47083,1336,915
360,1140,875,19908,11381,28934,26862,11847,1335
2160,1980,306,5139,1892,13177,9848,0,476
78659,124517,212457,259268,451487,187058,128590,264015,481685
649,0,0,0,0,0,0,0,0
25172,2656,16086,0,0,0,12730,1824,0
31261,46917,107196,155883,180093,136083,53556,88727,6037
1479,1425,3353,14860,3074,8750,4154,0,11957
524217,405226,509137,512450,157724,0,258296,927125,1638148
138000,168300,322200,89700,0,0,625160,3717350,745350
168530,304832,308273,851740,444754,146280,234980,72390,493302
162103,109057,127511,76034,157096,183493,91957,23003,18886
6409,0,0,0,0,0,0,0,0
40995,39259,43648,41012,53891,15081,22001,14214,5694
761554,968567,1314232,2035202,1769972,1954678,2126792,1586599,1508514
5162,28137,99303,66402,108233,71640,53568,21411,17251
