Month_Day,2018,2019,2020,2021,2022,2023,2024
01-01,337485,686993,1284272,1244317,1285112,1386941.9314093369,1358868.4106824636
01-02,1030556,1920106,985410,1499299,805926,870365.410011166,872856.8856570825
01-03,1030556,1598395,985410,1115398,1198180,1267312.441654765,1245056.8574286455
01-04,697207,1621244,110652,213313,2054215,1853981.288165104,1859477.9877947737
01-05,1464201,148152,985410,1020265,1198180,1249788.3999616948,1244658.2756818573
01-06,1841074,384235,60000,18988,1198180,1142013.837961644,1138957.7276597824
01-07,1830587,995967,1308975,557750,1198180,1138557.08973992,1146321.316616164
01-08,1159316,665465,985410,1599498,262227,574747.9351780621,558216.7664869863
01-09,630753,301686,1073901,1941132,782974,753496.5343139567,764957.7288183742
01-10,1557073,1906228,985410,1001102,2744039,2436195.4026493845,2447977.869104985
01-11,1030556,1969674,1564611,1001102,1662263,1305542.9728786922,1341866.8235238586
01-12,263069,389311,711530,135143,1467857,1426720.268502024,1430624.5804719406
01-13,1030556,995967,1772869,470994,1198180,1156613.4064505198,1163629.2728541628
01-14,508842,330847,645836,107926,1198180,1328073.611300973,1309068.9277776524
01-15,2354455,1319344,83479,564197,447559,489561.7055944842,484561.35877376504
01-16,1030556,661691,985410,824859,1483570,1383617.3612490413,1349222.0805007925
01-17,1354446,86607,780435,359376,262993,432583.73523373925,420487.2723493639
01-18,629733,628160,985410,1282300,157045,461198.7825777958,456694.82643963106
01-19,1577791,1494600,603142,1001102,1128200,1283421.5568154529,1295331.6027503465
01-20,142694,995967,439939,963493,1198180,1155085.470332777,1158625.8785333543
01-21,1030556,1474941,1952793,158840,2101004,1913095.6036866773,1919516.5126435468
01-22,2527535,1467823,192738,185522,1001912,917930.6401628532,926634.0750912109
01-23,1030556,142513,1061872,1548146,1129780,1136715.5783551915,1141136.9536369601
01-24,1030556,27319,227081,413233,143641,249215.5307681308,237083.21620127943
01-25,1030556,1222646,985410,319128,1145817,1134926.6188558373,1152710.7143481348
01-26,1104338,1206472,985410,1001102,1159382,1220458.6272049434,1217948.939330268
01-27,954906,995967,784544,492286,185400,367399.2844161587,382333.51375606284
01-28,1015526,825453,2632286,396486,1198180,1196816.664653735,1201262.5943751326
01-29,942716,1847598,945094,1962881,153826,311468.12334814353,303527.72368700965
01-30,784595,150401,87876,493016,1643480,1501068.9624299472,1510913.2701651014
01-31,1030556,995967,906574,1001102,1198180,1140049.3697631515,1170855.6419724945
02-01,789490,1906464,985410,991597,1425002,1509547.8182204743,1463967.9906609664
02-02,1425029,52270,159551,54260,1741415,1734713.0567899395,1741334.0217109574
02-03,1496304,995967,507431,1001102,1198180,1439381.263289649,1384704.7079976057
02-04,1411179,1249785,985410,1001102,1198180,1131707.156151497,1193710.1787233618
02-05,1030556,995967,985410,158589,438234,827739.2494970897,771385.9084064194
02-06,329730,995967,2572838,2331196,1198180,1235473.551187811,1236434.290793555
02-07,688557,1476566,934975,977010,1843370,1536867.1194019325,1542330.6363401348
02-08,1030556,995967,985410,1101291,116126,526712.7036859383,525848.6623674793
02-09,1030556,312548,1268497,1001102,2471658,2062311.2636021208,2068496.8614301025
02-10,1088732,822724,1362825,1018816,478275,522218.9510390424,537032.6791728305
02-11,601293,132419,314981,1429343,1362634,1228178.9326102857,1243817.978828113
02-12,460360,692093,985410,900457,726187,1008656.5412950604,960137.8348517482
02-13,2398350,2191269,198297,211762,155059,223048.7603825848,226801.31842221762
02-14,1030556,303587,1049381,1001102,1198180,1311237.2786695303,1263607.816756334
02-15,1030556,995967,985410,2408771,1652443,1369928.0864527936,1368439.6105548842
02-16,1093939,2517677,1070399,1001102,1949754,1872899.976115392,1854675.6190677043
02-17,740732,995967,1500949,522482,1013301,1093386.8356843323,1069711.8747906242
02-18,523076,382618,985410,1252606,1198180,1088948.6405796236,1108963.3563816154
02-19,1489902,3008623,1716966,1001102,1198180,1254188.716329102,1248682.3227704533
02-20,1030556,950731,985410,27739,837028,644288.8791583444,673065.9695680198
02-21,1030556,995967,796524,2229961,243382,473881.1838191303,468061.2620435619
02-22,101205,1678316,108480,1001102,2049523,1946609.110264015,1953790.7859928585
02-23,1099768,995967,985410,1484415,858533,968107.7175701635,975974.7256421581
02-24,2467016,995967,470643,1001102,1128715,1215567.826922607,1198883.973932094
02-25,168321,239982,3137760,2253089,3460002,3384271.432454979,3380845.1561482563
02-26,462624,1528091,985410,49365,150400,196295.4532471929,205048.41526906972
02-27,1030556,2832122,80500,63440,1931645,1952614.653888813,1946390.6617535558
02-28,2634970,174908,1287027,1530044,1198180,1146777.173635665,1151841.0406641911
02-29,1030556,995967,327600,1001102,1198180,1365297.358963703,1319791.54704407
03-01,1568864,30000,908411,1710320,416566,443195.7563903397,450501.3627448812
03-02,325350,184674,1692063,2318550,1198180,1224796.733073003,1226291.06761987
03-03,1030556,995967,1861632,1716547,2518352,2261484.8554607863,2246342.5671977485
03-04,851189,244133,985410,1001102,1198180,1231428.048808365,1225168.7515729454
03-05,1030556,1455546,985410,516744,1198180,1185989.2466799202,1208975.5417749472
03-06,1030556,436210,985410,1001102,1307534,1211646.4369775264,1207381.3494538255
03-07,2081765,2330899,116658,717982,1675220,1697767.725753193,1698666.998040571
03-08,1030556,717189,985410,951038,2272944,1619032.6613824433,1664672.5407447568
03-09,1305558,1255571,985410,864154,392653,641749.4938377832,634798.5225742224
03-10,163942,995967,1643753,293124,2669379,2369441.898746829,2359035.700547363
03-11,115145,469899,985410,587201,1771864,1601168.9467094394,1610969.6038115777
03-12,510561,3456441,985410,494437,65685,77471.78299875744,75902.24157172046
03-13,2196313,350224,1229715,40683,135781,189841.51534348424,193883.21540878352
03-14,1030556,67000,985410,751293,1198180,1249105.5970719506,1218100.264917378
03-15,1030556,1200668,1193342,1564704,1198180,1326939.408486172,1309240.4918537743
03-16,1602161,995967,830256,1001102,1198180,1088391.9375695405,1098896.040422122
03-17,1030556,76550,2627578,25192,4020098,3938287.0436335113,3936506.1576949665
03-18,1030556,1727729,155807,259051,1198180,1234230.3302830923,1242911.5319212605
03-19,1687425,2451760,32520,1001102,3059973,2989704.32849181,2987303.8692206936
03-20,1655416,1080785,985410,1690959,179050,236034.5486489114,252902.99724129797
03-21,528260,995967,2705552,1001102,696148,774131.3022369558,776581.5071513047
03-22,162628,1498038,985410,2188064,1198180,1255723.8733316418,1247549.303949523
03-23,1619254,1031149,794277,1001102,814368,740563.6504391155,762312.7977474104
03-24,1005079,104250,985410,1971625,1198180,1035834.267656002,1071661.9553512735
03-25,598436,515081,1526106,1729813,1198180,1093881.7098709943,1104899.9510896467
03-26,158036,2629049,1260144,682275,1198180,1261350.4000977592,1258045.4652068869
03-27,2837339,39925,723123,199288,3101867,3046411.72750216,3044341.9951855075
03-28,253320,2326837,985410,269973,1734929,1542891.6967077502,1548016.347105472
03-29,1030556,1520655,985410,1275836,1124245,1183049.3930990307,1198108.596717864
03-30,2553776,674306,12479,944108,1198180,1225529.3375109192,1220547.159408149
03-31,236370,995967,109450,1001102,1045272,1018309.720833312,1008985.8732332464
04-01,1030556,1092037,985410,1622925,1198180,1141374.681513944,1164044.5807417866
04-02,711520,1838186,13758,516783,1372254,1428075.80235611,1425432.7432288963
04-03,349977,1833010,1449469,3010,1482300,1402729.7926725503,1394987.492923796
04-04,1030556,995967,505890,2721668,1198180,1271975.6695223197,1280815.7303130815
04-05,1281033,31072,2967374,549966,160327,181000.5169120743,182129.15277434676
04-06,1330727,2197125,985410,1001102,2018614,1906014.1365052613,1901996.1717484202
04-07,189976,497448,1800417,1683542,1198180,1250646.433432428,1255675.4543461837
04-08,276556,995967,104170,1001102,1192210,1038804.1953974754,1080497.6339874703
04-09,86779,185406,207914,328894,1949806,1894000.6755795432,1881170.7165577319
04-10,45650,1594842,985410,917857,570090,691137.469962073,702328.3033841064
04-11,1491767,788430,991468,1391931,1198180,1161529.9437867224,1154763.632997695
04-12,2331420,143531,985410,205531,615044,724748.9358828533,731407.2636704715
04-13,1339065,995967,1278310,814508,1198180,1216471.3715325647,1225606.3005563086
04-14,1030556,995967,384607,1001102,1519452,1371390.6345321126,1376212.1208364752
04-15,231700,254730,985410,687977,1198180,1266543.555120346,1253699.456015987
04-16,1426416,2638605,1258045,257374,2634165,2583572.267881288,2580247.2033321047
04-17,827492,100604,985410,19160,283743,407374.2321012021,401484.0324414426
04-18,204610,995967,1351086,577931,163541,414365.7965182874,420399.8207293089
04-19,37276,1167496,985410,1001102,3491295,3204929.955300493,3200229.327070494
04-20,1849481,616066,1006134,1139429,1401885,1283310.21705032,1287024.2312314387
04-21,1030556,66000,328831,2110869,1050181,1100859.9355391166,1106941.7456735717
04-22,683531,405199,44367,550225,1198180,1176754.049411235,1169759.002360374
04-23,1677626,1434860,985410,681433,221970,427074.002847234,410534.6215129858
04-24,879540,690751,985410,282935,1267286,1211278.9468788048,1218676.3383319501
04-25,18000,445393,985410,1001102,1198180,1269817.4774267394,1263650.1307433355
04-26,1030556,1034416,3791522,1303232,539478,607196.8812521584,616959.1956774171
04-27,425729,995967,807485,1219717,477336,644071.926609761,637202.3361395161
04-28,353346,995967,985410,292517,843429,878466.2753804276,882362.5363914253
04-29,1492435,1970252,2068891,1001102,1527271,1629041.2474195191,1614787.4373126798
04-30,1794152,2101064,985410,1238210,1037837,1093914.876285065,1088623.4330404974
05-01,986364,995967,985410,1001102,66795,640063.6601944821,626168.7353299619
05-02,1030556,1015588,2110999,1001102,2361155,1965805.3101230776,1973451.6791448048
05-03,893405,1277713,1300098,1001102,2183113,1991583.5498061809,1976543.2970600077
05-04,1030556,2828337,985410,228621,1811580,1727586.4959891832,1730239.0954059325
05-05,101725,391165,2064058,1001102,608008,682103.0388576546,690346.7039732614
05-06,1165063,1031023,2700232,1250466,762558,794293.3652298952,784546.2880771474
05-07,1030556,533203,102836,332753,1198180,1254174.0019001735,1225069.9837788374
05-08,446726,1389275,1504014,15876,250165,324418.2359335429,324992.38941158575
05-09,1226065,2524884,236003,2124476,1198180,1169514.223753868,1183054.6578070538
05-10,556401,995967,139570,2700007,2708486,2552345.709251144,2557699.0729476325
05-11,1679491,1805895,991281,346950,1198180,1130417.940401705,1139481.229171463
05-12,344526,995967,1783359,1001102,501138,809761.5702620356,776145.0767466992
