Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026
01-19,1577791,1494600,603142,1001102,1128200,1283421.5568154529,1295331.6027503463,1293380.6138631045,1293581.164955647
01-20,142694,995967,439939,963493,1198180,1155085.470332777,1158625.8785333545,1160725.236146371,1161316.0731968812
01-21,1030556,1474941,1952793,158840,2101004,1913095.6036866773,1919516.5126435468,1920586.623406658,1920895.437769548
01-22,2527535,1467823,192738,185522,1001912,917930.6401628532,926634.0750912108,927484.8979940558,927822.4934704083
01-23,1030556,142513,1061872,1548146,1129780,1136715.5783551915,1141136.95363696,1142323.0977396253,1142801.2340530865
01-24,1030556,27319,227081,413233,143641,249215.5307681308,237083.21620127943,238720.70918378452,238939.3789422497
01-25,1030556,1222646,985410,319128,1145817,1134926.6188558373,1152710.7143481348,1153663.504920412,1154308.996326977
01-26,1104338,1206472,985410,1001102,1159382,1220458.6272049434,1217948.939330268,1218601.7149184388,1220007.2675322162
01-27,954906,995967,784544,492286,185400,367399.2844161587,382333.5137560629,382838.99855800206,382492.1331570912
01-28,1015526,825453,2632286,396486,1198180,1196816.664653735,1201262.5943751326,1200472.9716768707,1201241.7882106833
01-29,942716,1847598,945094,1962881,153826,311468.12334814353,303527.72368700965,302127.0162938853,301533.33800407837
01-30,784595,150401,87876,493016,1643480,1501068.9624299472,1510913.2701651014,1509302.6169886482,1508446.255600703
01-31,1030556,995967,906574,1001102,1198180,1140049.3697631515,1170855.6419724943,1165893.100598447,1165428.159362516
02-01,789490,1906464,985410,991597,1425002,1509547.8182204743,1463967.9906609664,1459624.3652875298,1458414.779338648
02-02,1425029,52270,159551,54260,1741415,1734713.0567899395,1741334.0217109574,1741930.892426456,1742258.4145386852
02-03,1496304,995967,507431,1001102,1198180,1439381.263289649,1384704.7079976057,1384355.3359811918,1383798.9739317978
02-04,1411179,1249785,985410,1001102,1198180,1131707.156151497,1193710.1787233618,1186047.002969057,1183590.056171963
02-05,1030556,995967,985410,158589,438234,827739.2494970897,771385.9084064194,772812.3618556156,774359.7586824652
02-06,329730,995967,2572838,2331196,1198180,1235473.551187811,1236434.290793555,1236111.4599598043,1235574.913727684
02-07,688557,1476566,934975,977010,1843370,1536867.1194019325,1542330.6363401348,1543252.6188079691,1543745.9855897652
02-08,1030556,995967,985410,1101291,116126,526712.7036859383,525848.6623674793,529826.0714933098,530530.7820633181
02-09,1030556,312548,1268497,1001102,2471658,2062311.2636021208,2068496.8614301025,2069243.7318242025,2068967.4387729368
02-10,1088732,822724,1362825,1018816,478275,522218.9510390424,537032.6791728305,538846.1347401227,539774.4340295003
02-11,601293,132419,314981,1429343,1362634,1228178.9326102857,1243817.978828113,1244663.7060401505,1245362.9442799941
02-12,460360,692093,985410,900457,726187,1008656.5412950604,960137.8348517482,960335.0778091598,960735.993996944
02-13,2398350,2191269,198297,211762,155059,223048.7603825848,226801.3184222176,226667.01754220773,226108.6954070595
02-14,1030556,303587,1049381,1001102,1198180,1311237.2786695303,1263607.816756334,1264245.0465875042,1264078.4229005503
02-15,1030556,995967,985410,2408771,1652443,1369928.0864527936,1368439.6105548842,1370227.0729812898,1371357.817677499
02-16,1093939,2517677,1070399,1001102,1949754,1872899.976115392,1854675.6190677043,1851560.7584939443,1849052.5179580213
02-17,740732,995967,1500949,522482,1013301,1093386.8356843323,1069711.8747906242,1071175.4152190555,1070708.3910879379
02-18,523076,382618,985410,1252606,1198180,1088948.6405796236,1108963.3563816154,1108992.1552711653,1110570.3025167137
02-19,1489902,3008623,1716966,1001102,1198180,1254188.716329102,1248682.3227704533,1248528.9012870332,1248768.0797563961
02-20,1030556,950731,985410,27739,837028,644288.8791583444,673065.9695680198,675885.3555012828,677856.3835314286
02-21,1030556,995967,796524,2229961,243382,473881.1838191303,468061.2620435619,465408.5019068416,464481.94200128166
02-22,101205,1678316,108480,1001102,2049523,1946609.110264015,1953790.7859928585,1953259.9580408612,1952542.428747647
02-23,1099768,995967,985410,1484415,858533,968107.7175701635,975974.725642158,973249.260418781,972874.0680818626
02-24,2467016,995967,470643,1001102,1128715,1215567.826922607,1198883.973932094,1202776.3361654943,1203539.888425884
02-25,168321,239982,3137760,2253089,3460002,3384271.432454979,3380845.1561482563,3380745.443901104,3380373.8416221514
02-26,462624,1528091,985410,49365,150400,196295.4532471929,205048.4152690697,204576.423776921,204882.42666242667
02-27,1030556,2832122,80500,63440,1931645,1952614.653888813,1946390.661753556,1945553.06603937,1945167.4150159964
02-28,2634970,174908,1287027,1530044,1198180,1146777.173635665,1151841.0406641911,1152730.8610092837,1153334.1869990502
02-29,1030556,995967,327600,1001102,1198180,1365297.358963703,1319791.54704407,1319238.0115981996,1322435.4397395072
03-01,1568864,30000,908411,1710320,416566,443195.7563903397,450501.3627448812,449932.65559496975,450004.4348844965
03-02,325350,184674,1692063,2318550,1198180,1224796.733073003,1226291.06761987,1227625.910662275,1228448.8323311426
03-03,1030556,995967,1861632,1716547,2518352,2261484.8554607863,2246342.5671977485,2246658.793064441,2246879.679305152
03-04,851189,244133,985410,1001102,1198180,1231428.048808365,1225168.7515729454,1226742.6703545451,1228187.056491165
03-05,1030556,1455546,985410,516744,1198180,1185989.2466799202,1208975.5417749472,1203603.9068662142,1203824.947488579
