Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026
09-07,840629,1857767,2006033,2031956,1694375,1552449.3039184716,1558309.7787111755,1559040.341192892,1559511.8208474736
09-08,108200,995967,985410,1001102,1198180,1309662.565622753,1302364.2988163722,1297087.082052413,1296732.0525965013
09-09,400244,1233784,286188,925660,1198180,1259008.2266286933,1249425.602985083,1251287.412497806,1251880.9437314607
09-10,1917313,90000,985410,926953,678486,807554.3705032282,801627.3176433936,802150.9900645255,803696.5471531656
09-11,1617895,995967,77024,2768970,535008,476082.77885890193,469154.7224506071,470066.87362564576,470560.3978307728
09-12,654462,997333,1435168,367064,1145079,1064828.9749149592,1073588.0440775529,1073536.0303368203,1074831.9680746153
09-13,15000,995967,2126695,1262482,556929,609118.2797330428,609705.7124035638,610356.9420628992,610082.973284978
09-14,1007291,1334077,324009,1850005,1198180,1351398.5882259295,1356185.301323532,1352871.8481998614,1351268.7744384464
09-15,572486,701882,2621862,1389161,1198180,1110246.06977142,1125541.142159811,1122714.445440565,1122274.3576517033
09-16,505107,924059,985410,414255,1198180,1113693.9491668127,1116835.548354463,1118392.698985451,1119221.0578852452
09-17,1545056,513579,985410,1001102,1697516,1650412.6029182472,1615842.433724747,1614809.3128373618,1616043.5489902876
09-18,1697822,129518,441025,1001102,1198180,1079518.7847366438,1101519.5889582052,1102241.4849561353,1103831.7082737894
09-19,563507,908119,985410,825057,1759496,1471861.7611493038,1458648.847203301,1461069.1484314916,1463679.5583108615
09-20,1030556,384294,985410,1243506,1562431,1263525.7313850163,1294401.3231829966,1294744.4290641656,1295128.8229083652
09-21,477958,979495,1321452,2961713,938942,928902.7868336636,933312.0294937808,932858.8485691956,933157.6069641588
09-22,316352,709874,2122983,621987,1198180,1257077.0004465168,1256589.2346724444,1256371.5178603574,1255458.395252583
09-23,1030556,853624,414340,1001102,1198180,1073905.1262305586,1115485.390455019,1114043.4098249746,1114302.239267687
09-24,870680,1282206,92743,347056,1502601,1432123.152854474,1429632.6437808918,1430371.4381440158,1431683.7539379238
09-25,3198049,61920,1417076,611149,496917,526666.5554907402,529793.4504504035,529541.0006447845,529309.5659444004
09-26,1030556,995967,985410,1853309,1198180,1273309.8708860946,1231035.0885983575,1237866.3075807923,1238621.234589558
09-27,1030556,1877253,145319,1001102,2449697,2218326.801003171,2209067.6996751823,2211407.7903540744,2211520.921292687
09-28,936500,111977,345467,1336377,1198180,1290591.572410344,1276278.818546102,1276543.6199783953,1277210.7488090277
09-29,2420666,690574,1895615,2205453,1372961,1368801.1063898215,1374156.3852513814,1374687.0391613627,1375089.4128373011
09-30,38000,1077076,25002,1001102,1198180,1229875.9314157537,1222565.161495237,1222001.1899048924,1221206.413714968
10-01,1378525,995967,462707,1001102,2576140,2113278.829881569,2133440.7230071533,2133581.6607103148,2134029.684335075
10-02,1030556,995967,618867,2051000,1177883,1337213.166475077,1314585.5166641208,1313830.3513524712,1313138.4707010037
10-03,448986,32531,2932800,396127,1198180,1195225.6835366003,1191077.4341914642,1190494.3442195724,1191265.270841909
10-04,2719554,500886,397539,1001102,1347521,1395353.721867302,1389942.6820170074,1388842.420298284,1388230.5289646694
10-05,1030556,1727793,266169,1001102,887222,1349044.5412127618,1300436.945667066,1299859.0265470897,1299416.0349561668
10-06,1030556,534194,219160,140492,1198180,1192048.4441972098,1200724.799410734,1201234.4302990383,1200239.1932383734
10-07,1799338,336087,985410,1113275,253239,243805.65205119023,279507.4830170742,277945.8641785252,277311.92779113876
10-08,92929,577380,496805,2554997,399892,469191.2450764376,473433.8293308017,473624.591413641,473811.98052287963
10-09,754418,995967,985410,1001102,1301113,1042243.7903424884,1111166.0473796297,1106050.1776856657,1105347.9026222376
10-10,406531,995967,1655854,1001102,1040320,978486.3345075484,988442.448407482,989013.2796562124,989492.2374368955
10-11,1030556,995967,502113,1901362,3164532,2616584.268455879,2639618.637163905,2643101.237403641,2644877.501771939
10-12,1545985,1263175,390885,187610,1198180,1115308.5382440423,1135156.2597242366,1136308.2843843163,1135943.7862189664
10-13,1030556,900885,638239,190401,1198180,1259998.0944851206,1247828.4872740817,1247013.1965408702,1246481.7819091857
10-14,959612,2801771,1334916,1294739,1198180,1164953.5306142434,1171008.561834556,1170123.6397577743,1169836.18536475
10-15,1030556,995967,30000,1001102,1198180,996357.2632533412,1029889.340540702,1032806.77051953,1033149.5721275938
10-16,2902543,995967,1465541,117895,1720179,1669169.9995648435,1673566.3310209992,1674628.6012417602,1675429.2804578056
10-17,1030556,995967,985410,1685168,789497,895221.0368820518,891337.620567448,889016.1649384574,888033.4689005287
10-18,372810,1764841,89608,964895,1352002,1408916.7020233418,1410911.1019025666,1408978.2092968067,1408312.8610448395
10-19,467978,995967,1856334,1270703,1968600,1869631.3200098283,1856660.01973314,1857241.3063472384,1858012.241509561
10-20,1030556,337365,985410,1001102,1198180,1226827.435806389,1219341.3080254314,1217684.136265061,1218790.0831815868
10-21,727386,1232607,1384924,1520478,472053,637068.9815067081,617178.4486161193,616844.7290007125,616702.0816735928
10-22,1231810,1442428,985410,109161,323999,403314.5316040196,420340.470501057,417929.3317232034,415929.90784290165
10-23,1882107,154999,81766,702053,692504,750106.0114557558,755889.9254974858,755826.9229857612,754742.5789997801
10-24,1030556,995967,985410,1206527,2678247,2200556.892484378,2201635.87550506,2204873.4443455744,2207603.8386502527
10-25,1030556,1220440,985410,1001102,1764542,1396032.0065641415,1436279.732696643,1430696.4762245573,1429079.638917989
10-26,630233,24000,2728328,1607445,1198180,1155439.5928391386,1148226.0690803984,1148857.80437285,1148538.3432104243
10-27,1489303,984841,1390039,1432875,1198180,1034115.4371432804,1073247.3466006408,1070163.1773531158,1069281.4101147498
10-28,1030556,1331615,985410,28320,49881,220144.9513740989,213686.38672523532,213051.9490960401,212786.46612332284
10-29,2345779,1242249,40033,1001102,1048859,976215.4113262432,982107.9278389376,981105.2308935,981247.8272284612
10-30,1590006,69450,985410,496914,2158821,1950598.59007924,1957528.4300136825,1957088.7613884672,1956567.7339224615
10-31,1030556,995967,167759,2622446,1198180,1297759.7629619169,1283666.7255123714,1286410.3575563931,1287935.3329096825
11-01,1030556,1317508,985410,1163870,2776196,2456784.443485196,2445222.596196228,2442874.896460845,2440658.3448090525
11-02,1030556,911443,1779630,555545,1068819,1150148.8958150318,1154229.4708349237,1152169.378425673,1151460.680381966
11-03,597719,1549416,110237,1001102,1198180,1398772.75254785,1356178.595281524,1356705.0317066563,1356326.2576914178
11-04,1030556,995967,985410,1001102,549580,1135974.5222285588,1057123.5241846228,1055349.9853432002,1052994.0623723774
11-05,685638,995967,856184,2894443,515414,581130.7885741023,585988.9223968163,587156.5762973557,587524.7157641308
11-06,1084752,1895321,289131,749747,749205,818088.5394691004,825078.3591714073,824286.1507799354,824211.5847881059
11-07,476374,249075,301669,1140349,1198180,1272174.81926423,1282646.4752797736,1278765.6481024178,1276913.4820075429
11-08,53000,24000,1826925,215714,1877499,1937088.9382651888,1935535.7582814365,1936273.4599130948,1936707.5689576042
11-09,1823828,313454,985410,548946,631011,769502.5057384507,768188.0574924538,767744.0492162725,767089.5518931481
11-10,776127,798181,985410,738000,735571,825822.505081758,830978.8189971414,832438.3362739293,833408.2052210716
11-11,669810,1769135,1303282,1001102,127226,527150.8422260921,504627.6773152922,504315.32674469496,504190.3606984853
11-12,45000,65554,345699,999768,263172,290469.8077372225,291416.60719183635,291763.9670973368,291972.5128562867
11-13,1030556,1443565,1195712,392751,1321624,1398830.4652844642,1362473.5060177697,1364586.7620351375,1364092.8848410395
11-14,1030556,31000,136145,400150,186143,129025.32358468766,159240.62838510668,159342.56933545705,159901.49975807767
11-15,76884,1911086,1246453,1599285,3334970,3282959.3025683463,3281480.607427966,3282372.7883846154,3283314.2344189105
11-16,1488036,249889,1338890,1885526,1722214,1699417.5896104584,1692724.767741736,1693084.0598238867,1693301.2836250619
11-17,788942,709253,178053,494876,1198180,1263369.5888758705,1243285.9999971658,1244768.7689773685,1245752.1064586567
11-18,1030556,1860922,985410,1001102,55000,349663.5451994458,359835.72464753105,362618.3878008609,362038.77592588856
11-19,1894887,1084605,353904,36316,766455,679381.6765553172,670245.009520094,669599.7726279917,669180.7827762143
11-20,979633,196508,985410,1001102,977132,1092158.411385061,1110663.539400351,1111974.4968104882,1111555.9298087587
11-21,409356,995967,223948,2423678,1451698,1387551.541716377,1384619.1513223494,1385694.6377492086,1386250.6446939774
11-22,1030556,926905,1492144,1415482,63754,433066.9895557428,436642.8904058261,438333.1871821488,439591.54277715017
11-23,982438,995967,740304,1507256,2415260,2095413.1854791644,2072722.609281022,2068779.5461658249,2067552.2533773729
11-24,673080,1367013,985410,1616300,1198180,1017412.0567737768,1067286.2768161136,1066611.9006996164,1066072.2955929358
11-25,1030556,761752,410993,1001102,57765,694336.3184810199,676026.818108028,676525.6860101467,676767.9062528072
11-26,1412139,1072610,1403657,1001102,216931,435767.3252958792,429079.9089645322,428849.2173958148,428426.9243265439
11-27,1894303,402778,985410,1001102,541469,646591.2619042291,670573.9182702242,670195.4532646353,670986.0485119972
11-28,1030556,119302,19200,414573,929854,987741.9368014724,981664.2444343588,980770.8062048,980966.8308488613
11-29,232468,1375245,1182522,1791887,3127228,2937910.0571894804,2941804.612337826,2940690.8961012447,2939632.7373874364
11-30,2113886,15000,1645897,2049082,1025531,1069621.993533491,1061685.5517541482,1060529.1596887545,1059673.5156886284
12-01,1843619,995967,139500,1001102,55305,403428.4917373619,401882.2846821621,401146.94517569325,401269.04292055557
12-02,809940,9000,1553751,110608,643685,677871.1296694364,685679.9086889944,685756.3748465567,686081.1520737585
12-03,694473,2017247,382568,2581756,414578,446971.3657616584,450131.0557186598,449418.4587382899,449003.56400308164
12-04,467960,1795842,985410,1530076,1140472,1041885.8405168324,1053237.4287688977,1056647.1422566778,1056222.1930611792
12-05,1182186,409224,1842527,77185,1573210,1584741.3073475573,1592994.1313496488,1592328.0677944291,1591570.8157433486
12-06,1551718,186283,985410,193758,2006936,2023039.7512304988,2008701.6090109337,2005794.4704621527,2005414.270007793
12-07,1030556,588744,1147598,1001102,1092071,1165372.3914261942,1183243.7737561222,1181058.3937261258,1179607.1233033282
12-08,2085781,899322,257842,451476,1198180,1247011.6189517828,1241621.179676448,1239529.6345953806,1238793.2309046872
12-09,16914,728628,39000,1001102,109718,147547.22689708346,138928.49112260644,139072.59915868938,139511.9519821913
12-10,2070899,995967,406871,4125467,658817,695992.2837206903,695269.0743443093,695490.7250119024,695938.0388645676
12-11,1940027,882100,859360,142092,917003,972002.2881000484,959446.5315738018,958386.4008713476,957513.0733115107
12-12,227062,109222,1728747,1942264,299712,420121.9706481564,423135.6624916213,422924.8786746673,423099.8317823282
12-13,1577389,976204,985410,542694,1198180,1303918.7844260707,1268793.1082173355,1268924.2514575385,1268724.2469362433
12-14,1658727,995967,232187,3466336,383748,361623.9926415749,370903.4142794996,369347.2195978841,368285.39451333997
12-15,1030556,170426,244856,887390,3488779,3046826.841643577,3052783.509962201,3054026.4504298484,3054685.985426817
12-16,1030556,3601666,967871,1001102,54200,124621.89371157042,133190.66406141035,132286.7884878188,133013.8958630329
12-17,1530251,995967,751870,1001102,1157229,1257444.5827125446,1264643.32030388,1260829.320716115,1258291.1869395492
12-18,1765062,285767,985410,1001102,410130,651829.4718062561,619725.9651027214,623393.0006830152,624166.3876499488
12-19,174369,995967,2185577,617646,1363541,1389789.0586552955,1380474.898944173,1381857.7898115236,1382628.3744367799
12-20,1030556,666645,179996,149415,1198180,1151062.1402906345,1176025.645700551,1172249.0527643822,1172020.4277926793
12-21,1241728,511703,391474,1957493,2467849,2383675.26213708,2365492.6628179937,2363537.2829819336,2362718.156571268
12-22,594721,995967,248608,1574834,1198180,1301828.1559665326,1293141.8392496938,1290898.685439186,1289804.8269757326
12-23,1030556,1871252,1462512,1001102,82256,228001.4643585609,249424.3395222131,247712.35887312435,248074.44887266366
12-24,3122642,117747,606878,1224472,1198180,1258901.6252867882,1256985.5705860448,1257115.3924799983,1256672.2973734273
12-25,103044,253650,959254,1004549,1086993,1158054.415928077,1150709.2426003325,1151376.2075307928,1150942.316018014
12-26,1030556,2004698,1433966,1001102,1408096,1191341.248678862,1218699.1483644058,1218978.6246519594,1219278.4653665116
12-27,125924,643626,985410,2648166,1669346,1611026.2984301802,1600171.1066365915,1598440.0020434873,1597125.909716634
12-28,2477337,995967,3430383,1001102,1113987,1048107.5327961482,1053663.511985202,1053133.7238378902,1052592.1954399936
12-29,1030556,392141,985410,966369,278274,766205.1738447058,733250.06520832,731885.8044540859,730926.2082638369
12-30,1030556,1054901,134188,178873,416466,529836.5396144136,526333.2766923961,527537.0180594667,528023.2389220769
12-31,903441,1088381,985410,1001102,1218553,1259296.4804992345,1232674.4344465346,1237645.828263621,1236785.1669577307
