Month_Day,2018,2019,2020,2021,2022,2023,2024
04-06,1330727,2197125,985410,1001102,2018614,1962869.0,1964388.2
04-07,189976,497448,1800417,1683542,1198180,1200601.8,1201020.8
04-08,276556,995967,104170,1001102,1192210,1147976.1,1153412.2
04-09,86779,185406,207914,328894,1949806,1948883.0,1948939.9
04-10,45650,1594842,985410,917857,570090,571840.7,572770.5
04-11,1491767,788430,991468,1391931,1198180,1197868.5,1197657.5
04-12,2331420,143531,985410,205531,615044,623455.06,623790.5
04-13,1339065,995967,1278310,814508,1198180,1195322.8,1196588.0
04-14,1030556,995967,384607,1001102,1519452,1445798.4,1446541.6
04-15,231700,254730,985410,687977,1198180,1188130.0,1189791.5
04-16,1426416,2638605,1258045,257374,2634165,2634038.5,2634011.8
04-17,827492,100604,985410,19160,283743,313837.97,314579.53
04-18,204610,995967,1351086,577931,163541,200563.25,201982.11
04-19,37276,1167496,985410,1001102,3491295,3459128.0,3459691.5
04-20,1849481,616066,1006134,1139429,1401885,1403732.5,1402605.2
04-21,1030556,66000,328831,2110869,1050181,1080277.9,1080193.5
04-22,683531,405199,44367,550225,1198180,1208015.0,1208071.5
04-23,1677626,1434860,985410,681433,221970,283454.9,282057.97
04-24,879540,690751,985410,282935,1267286,1269594.2,1270179.6
04-25,18000,445393,985410,1001102,1198180,1210168.9,1208221.0
04-26,1030556,1034416,3791522,1303232,539478,552102.5,553493.06
04-27,425729,995967,807485,1219717,477336,516935.56,516160.72
04-28,353346,995967,985410,292517,843429,856393.9,853750.0
04-29,1492435,1970252,2068891,1001102,1527271,1543785.8,1543730.8
04-30,1794152,2101064,985410,1238210,1037837,1054821.6,1053529.4
05-01,986364,995967,985410,1001102,66795,307510.56,304078.28
05-02,1030556,1015588,2110999,1001102,2361155,2274129.8,2271891.8
05-03,893405,1277713,1300098,1001102,2183113,2182306.0,2180436.8
05-04,1030556,2828337,985410,228621,1811580,1754048.9,1753777.8
05-05,101725,391165,2064058,1001102,608008,607600.06,606991.8
05-06,1165063,1031023,2700232,1250466,762558,758978.1,759454.94
05-07,1030556,533203,102836,332753,1198180,1207121.1,1205942.2
05-08,446726,1389275,1504014,15876,250165,251093.34,250874.23
05-09,1226065,2524884,236003,2124476,1198180,1204368.1,1204110.4
05-10,556401,995967,139570,2700007,2708486,2686128.5,2686541.5
05-11,1679491,1805895,991281,346950,1198180,1195487.1,1195643.5
05-12,344526,995967,1783359,1001102,501138,579024.25,576023.4
05-13,1030556,1205260,985410,1001102,1198180,1224823.6,1210958.8
05-14,1635511,1689095,985410,1103407,100686,88179.15,88305.69
05-15,1457846,72452,80000,1001102,2582503,2558814.8,2557958.5
