Exporter,Product,QTY.(KGS)
AJILSHAN TRADING,SNACKS,4676
AJMI FLOUR MILL(I)P.LTD.,RICE,988423
AJWA COMMODITIES,FOOD STUFFS,18000
AJWA EXPORTING CO.,FOOD STUFFS,68228
AKASH PETS,BOTTLES,45295
AKAY FLAVOURS & AROMATICS LTD.,TURMERIC,746178
AKAY NATURAL INGREDIENTS,TURMERIC,907948
AKAY SPICES P.LTD.,TURMERIC POWDER,2552468
AKHIL KNIT EXPOTS,COTTON GARMENTS,7200
AKIN  INGINIOUS EC P.LTD.,SPARES,228
AKM TRADERS,COCONUTS,450750
AKRUTHI APPARELS,COTTON GARMENTS,330628
AKSARA APPARELS,COTTON GARMENTS,757
AKSHATH GARMENTS,COTTON GARMENTS,338
AKSHAYA GLOBAL TRADING,FOOD STUFFS,17540
AKSHAYA TEXTILE,COTTON YARN,36314
AKUL KNIT ASIA,COTTON GARMENTS,8128
AL AMEEN TRADING CORPN.,SPICES,31317
AL BADRA SEAFOODS P.LTD.,FROZEN YELLOW TUNA,824204
AL BARAKHA EXPORTS,MACHINERIES,2660
AL BUROOJ IMPORT,AUTOMOBILES PARTS,3465
AL FANOOS CASHEWS,CASHEW KERNELS,46800
AL FOUZAN EXPORTS,COCONUTS,28000
AL HAR INTERNATIONAL,COCONUTS,141850
AL JABEL ALI EXPORTS & IMPORTS,COTTON GARMENTS,779
AL KABEER EXPORTS,RICE,25250
AL M&M T SHIRT MART,COTTON GARMENTS,15737
AL MADEENA ARABIAN EXPORTS,GENERAL CARGO,28400
AL MUBARAK FACTORY AGENCY,FOOD STUFFS,31808
AL NOOF TEX,COTTON GARMENTS,4658
AL NOOR EXPORTS,COTTON GARMENTS,4735
AL RAYAN EXPORTS,FOOD STUFFS,19340
AL-GAYATHRI TRADING CO. P. LTD.,TEA,2247627
AL-HASANATH GLOBAL,RICE FLAKES,301558
AL-HIND ENTERPRISES,FOOD STUFFS,14680
AL-JAMEEL EXPORTERS,CHEMICALS,725
AL-SADIQ IMPORT & EXPORT,FOOD STUFFS,546
ALAASKER EXPORTS,COCONUTS,14410
ALAIJA RUBBER FACTORY,CHAPPALS,7344
ALAINA INTERNATIONAL,RICE,185863
ALAN TECH INDISTRIAL SOLUTIONS,WATER TREATMENT MACHINERIES,15818
ALANA INTERNATIONAL,RICE,258800
ALASKA EXPORTS,COTTON GOODS,4262
ALAYA COIR,COIR FIBER,1990900
ALEENA FOODS,FOOD STUFFS,6496
ALEEZE EXPORTS,PICKLES,33210
ALIAJA  RUBBER  FACTORY,CHAPPALS,7344
ALICO FITOUT P.LTD.,SPARES,7870
ALIF EXPORTS,BOOKS,1100
ALIN CASHEW TRADERS,CASHEW KERNELS,164280
ALISHA EXPORTS,COTTON GOODS,2200
ALLAKKAT INTERNATIONAL,RUBBER MATS,267992
ALLANASONS LTD.,COFFEE,4157475
ALLEPPEY CO. LTD.,RUBBER MATS,4868005
ALLKOSHYS ALLSPICES,GREEN PEPPER IN BRINE,67520
ALM ENDEAVOURS,FURNITURE,10400
ALPHA EXPORTS,RUBBER MATS,21600
ALPHA MATS,RUBBER MATS,86613
ALPHA UNO CONSULTING,GENERAL CARGO,505
ALPHONSA CASHEW INDUSTRIES,CASHEW KERNELS,902088
ALUNGAL SPICES&OIL MILLS,COCONUTS,67080
ALUTECH,SPARES,1333
ALWAN EXPORTS & IMPORTS,TURMERIC POWDER,36432
AM POWER CORD CORPORATION,HEAT RESISTANT LATEX RUBBER PL,24951
AMACO IMPEX P.LTD.,TEA,2590193
AMADA SREE PRODUCTS,GENERAL CARGO,1385
AMALGAM FOODS & BEVERAGES LTD.,FOOD STUFFS,2154
AMALGAM FROZEN FOODS,FOOD STUFFS,64216
AMAR SINGH CHAWAL WALA,RICE,21294
AMAZING EXPORT CORPORATION,COTTON GARMENTS,6514
AMAZING RUBBER PRODUCTS P. LTD.,SURGICAL GLOVES,276103
AMB HK ENTERPRISES,SURGICAL GLOVES,4139
AMBA EXPORTS,TEA,393121
AMBADI ENTERPRISES LTD.,COTTON GARMENTS,4657
AMBAL TRADING CO.,SPARES,6980
AMBIENCE REFRIGERATION,SPARES,7200
AMBIKA COTTON MILLS LTD.,COTTON YARN,443848
AMCO ENTERPRISES P.LTD.,PAPER,150239
AMEEN EXPORTS & IMPORTS(P)LTD.,GENERATOR,2400
AMEYATHA AGRO FOODS,FOOD STUFFS,26510
AMICUS COMMUNICATIONS,ELECTRONIC COMPONENTS,5335
AMMAN FASHIONS,COTTON GARMENTS,1412
AMMAN GARMENTS,SURGICAL GLOVES,10750
AMMAYAPPER TEXTILES P.LTD.,COTTON GOODS,130571
AMPO VALVES INDIA P.LTD.,VALVES,77509
AMRITA ENTERPRISES LTD.,COTTON GARMENTS,10316
AMRUTHA ENTERPRISES,AYURVEDIC PRODUCTS,1800
AMRUTHA EXIM,UTENSIL,9038
AMRUTHA OIL AND FOODS,COCONUT OIL,13731
AMS AGRO INDUSTRIES,FOOD STUFFS,161238
AMUTHAM FABRICS,COTTON GARMENTS,14728
ANACARDO FOODS,FOOD STUFFS,5255
ANAMI EXPORTS,SANITARY WARES,13054
ANAND TEXTILES,COTTON GOODS,5462
ANANDASREE PRODUCTS P.LTD.,COTTON GARMENTS,495
ANANDHA MODERN RICE MILL,RICE,269182
ANAPPADIKKAL TRADING COMPANY,FOOD STUFFS,202928
ANAR COIR P.LTD.,COIR PITH,19000
ANASWARA OFFSET P.LTD,PRINTED MATERIALS,5589
ANB TOOLERS,TOOLS,1328
ANCHANI PLASTICS,PLASTIC PRODUCTS,3650
ANCHOR AGRITECH,RICE,25000
ANCHUTHARA FOOD PRODUCTS,FOOD STUFFS,194717
ANCHUTHENGIL AGRI SUPPLY,PUERARIA JAVANICA,36685
ANDRITZ TECHNOLOGIES,CONVEYOR BELT,11909
ANG APPARELS,FOOD STUFFS,20000
ANISH EXPORTS&IMPORTS,FOOD STUFFS,57202
ANJALA EXPORTS,COTTON GARMENTS,2180
ANJANA APPARELS,COTTON GARMENTS,4417
ANJEENA EXPORTS,RUBBER MATS,52349
ANJUSHREE IMPEX,SURGICAL GLOVES,16800
ANKAI INTERNATIONAL,COFFEE,339681
ANNA ALUMINIUM  COMPANY P.LTD.,UTENSIL,1265049
ANNA FRIED MASALA,CURRY POWDER,165
ANNA MALAI EXIM,COIR PITH,9171260
ANNA TROUVER,COTTON GARMENTS,2365
ANNAI SURAKSHA AGRO & COCONUT EXPORTS,COCONUTS,13100
ANNAPOORNESWARI EXIM P.LTD.,FOOD STUFFS,86571
ANNAPOORNESWARI TECH,SPARES,130
ANNAS INDUSTRIES,SPARES,750
ANNS FLOOR DECORATION,RUBBER MATS,108971
ANS EXPORTS P.LTD.,COTTON GOODS,10790
ANTON EXPORTS&IMPORTS,COTTON GOODS,11463
ANUGRAHA AGRO PRODUCTS,COCONUTS,190330
ANUGRAHA FASHION MILL P.LTD.,COTTON GARMENTS,19374
ANUGRAHA VALVE CASTINGS LTD.,VALVES,15736
ANURAGAVI GAREMENTS,COTTON GARMENTS,3
ANUSH FABRICS,COTTON GARMENTS,12257
ANUTTARIYA,SPARES,1125
APEX COCO&SOLAR ENERGY P;LTD.,COCONUT POWDER,69756
APOLLO TYRES LTD.,TYRES/TUBES,12261690
APPARELS EXPORTERS,COTTON GARMENTS,324
APSARA BAKES,FOOD STUFFS,49648
APT GLOBAL MARINE ENGINEERING,SPARES,3610
APTIV CONNECTION SYSTEMS INDIA P.LTD.,CONNECTORS,92940
AQOZA TECHNOLOGIES P;  LTD.,AIR PURIFIER,3270
AQUA ENGINEERING SERVICES,SPARES,58
AQUA GENO EXIM,FROZEN SQUID,1100174
AQUA MARINE EXPORTS,FROZEN SQUID,251082
AQUA SEAFOOD(INDIA)P.LTD.,FROZEN MARINE FOODS,28000
AQUARELLE INDIA PVT LTD,COTTON GARMENTS,4544
AQUASTAR MARINE FOODS,FROZEN YELLOW TUNA,1816866
AQUASUB ENGINEERING,PUMPS,74171
AQUATIC FISHERIES,DRIED SHRIMPS,1664
ARA MATS INTERNATIONAL,RUBBER MATS,745375
ARACKAMANNIL PRINTERS,PRINTED MATERIALS,280
ARACKATHARA RECLAIMATIONS,TYRE RETREADING MATERIALS,1496583
ARADHANA KNIT FASHION,COTTON GARMENTS,29600
ARAKU ORIGINALS LTD.,INSTANT COFFEE,27244
ARAMBANS EXPORTS,SURGICAL GLOVES,49094
ARANYA AYURVEDA VAIDYA,AYURVEDIC PRODUCTS,11562
ARANYA PRODUCTS,SOAP,13403
ARASAN CREATION,COTTON GARMENTS,2886
ARASCO FRUIT PRODUCTS,FRUITS,15000
ARAV CREATIONS,COTTON GARMENTS,14029
ARAVIND BRANDS LTD.,COTTON GARMENTS,2392
ARAVIND EXPORTS,COTTON GARMENTS,15859
ARAVIND MILLS LTD.,COTTON GARMENTS,4553
ARBEE AQUATIC PROTEINS P.LTD.,FISH OIL,508090
ARBEE BIOMARINE EXTRACTS P.LTD.,FISH OIL,26423
ARESSERIL EXPORTS,FOOD STUFFS,42120
ARIANE TOOLS & COMPONENTS,TOOLS,26237
ARICIA INDIA INTERNATIONAL P.LTD.,RUBBER MATS,32426
ARIHANT ENTERPRISES,PLYWOOD,1226380
ARIKKAT TRADES & EXPORTS,COCONUT OIL,24958
ARJUNA NATURAL P.LTD.,TURMERIC,183491
ARMADA ENTERPRISES,COTTON FABRICS,1795
ARMSTRONG DESIGN PVT LTD,COTTON GARMENTS,3700
ARMSTRONG EXPORTS,COTTON GARMENTS,921
ARMSTRONG KNITTING MILLS (P) LTD.,COTTON GARMENTS,116227
ARMSTRONG SPINNING MILLS (P) LTD.,COTTON GARMENTS,287
AROHA CLINIC,MEDICINES,3420
AROMATIC  INGREDIENTS P.LTD.,SPICES,120445
ARROW TEX,COTTON GOODS,2373
ART AGE P.LTD.,HANDICRAFTS,365
ART EXIM P.LTD.,WELDING FLUX,25000
ARTECH INTERNATIONAL,STEEL PRODUCTS,4177
ARTH IMPEX,COTTON GARMENTS,2625
ARTOCARPUS FOODS P.LTD.,FOOD STUFFS,26078
ARUL JOTHI EXPORTS,COCONUTS,113039
ARULSIVA EXPORTERS,COIR FIBER,3252094
ARUN ENGINEERING,ENGINEERING GOODS,2010
ARUN GARMENTS,COTTON GARMENTS,2343
ARUN LASER OVENS P.LTD.,MACHINERIES,49400
ARUN REGA BAKERY  MACHINERIES P.LTD.,MACHINERIES,1140
ARUNA ALLOY STEELS P. LTD.,VALVES,29416
ARUNPRAKASH ENTERPRISES,CORIANDER SEEDS,34000
ARVIND A TRADERS,COTTON GARMENTS,2052
ARVIND APPARELS,COTTON GARMENTS,7198
ARVIND LTD.,COTTON GOODS,6485
ARYA VAIDYA PHARMACY (CBE) LTD.,AYURVEDIC PRODUCTS,61175
ARYABHANGY,HANDICRAFTS,880
ARYAN ARTS & INDUS.,HANDICRAFTS,587
ARYAN CLOTHING,COTTON GARMENTS,5791
ARYAS FOODS,FOOD STUFFS,14500
ASALAH EXPORTING&IMPORTING,BATHROOM ACCESSORIES,2950
ASCENTIA MARKETING,COTTON GARMENTS,4437
ASHA EXPORTS &IMPORTS,FOOD STUFFS,15063
ASHIS EXPORTS&IMPORTS,FOOD STUFFS,177310
ASHIYA INTERNATIONAL,COIR MATS,23300
ASHRAF,COTTON GARMENTS,800
ASHTAN HOLDINGS,PLYWOOD,79000
ASHTANGA VAIDYAM AYURVEDICS,AYURVEDIC PRODUCTS,22014
ASHTAPATHY HEALTH CARE,AYURVEDIC PRODUCTS,6228
ASHWATH INC.,COTTON GARMENTS,29514
ASIA FOODS,FOOD STUFFS,63050
ASIAN CHEMTECH P.LTD.,ACTIVATED CARBON,20000
ASIAN FERROTECH,GENERAL CARGO,24905
ASIAN FOOD INDUSTRIES,FOOD STUFFS,5485
ASIAN SPICES,SPICES,8624
ASIAN TEA COMPANY PRIVATE LTD,TEA,1897011
ASK FRUITS,COCONUTS,168200
ASM EXPORTS,COTTON GARMENTS,1273
ASMA RUBBER PRODUCTS P. LTD.,SURGICAL GLOVES,243965
ASOKA VERMICELLI,VERMICELLI,33557
ASPINWALL & CO. LTD.,RUBBER MATS,1940712
ASRA STEELS,STEEL ALLOYS,2612
ASSA SEA FOODS,FROZEN SQUID,50280
ASSOCIATED AUTOTEX ANCILLARIES P.LTD.,PUMPS/PUMPS  PARTS,13887
ASSOCIATED CASHEW INDUSTRIES,CASHEW KERNELS,105876
ASSOCIATED LATEX(INDIA)P.LTD.,LATEX RUBBER,42200
ASSOCIATED RUBBER CHEMICALS P.LTD.,RUBBER CHEMICALS,64423
ASSOCIATED TRADERS,ROSEWOOD PRODUCTS,53849
ASTECH SYSTEMS,SPARES,238
ASTER APPARELS,COTTON GARMENTS,200
ASTERN MEDICALS,MEDICAL EQUIPMENTS,500
ASTRA BIOSCIENCE LTD,OLEORESINS OF SPICES,3867
ASTRON CONCRETE PRODUCTS,CONCRETE BLOCK MAKING MACHINE,297048
ASWIN APPARELS P. LTD.,COTTON GARMENTS,16389
ASWIN ASSOCIATES,FROZEN YELLOW TUNA,1535311
ATC  TYRES P.LTD.,TYRE RETREADING MATERIALS,16155
ATCHERRA IMPEX,COTTON GOODS,8741
ATHAVAN CLOTHING COMPANY,COTTON GARMENTS,18418
ATHEENA EXPORTS,VENEERS,291917
ATHIRA PLYWOOD,PLYWOOD,79100
ATIQ ABDULLAH FLOUR MILLS,FOOD STUFFS,44980
ATLANDES METAL AND TOOL INDUSTRIES PVT LTD,SPARES,1955
ATLANTIC CARE CHEMICALS,DETERGENT POWDER,829772
ATLANTIC FOODS INDIA P.LTD.,FOOD STUFFS,17000
ATLAS EXPORT ENTERPRISES,COTTON GOODS,29009
ATLAS EXPORTERS,COTTON GARMENTS,5058
ATLAS FOREIGN TRADE,COTTON GOODS,7082
ATLAS TEXTILES,COTTON GARMENTS,21547
ATM RUBBER INDUSTRIES,TYRE RETREADING MATERIALS,9549
ATS ELGI LTD.,HYDRAULIC FITTINGS,202666
ATTIRE CREATON CO.,COTTON GARMENTS,2320
AUCTUS APPARELS,COTTON GARMENTS,915
AURA EXPORTS,FOOD STUFFS,2870
AURA FASHIONS,COTTON GARMENTS,907
AUREA BIOLABS P.LTD.,NUTRACEUTICAL PRODUCTS,7014
AUTOCAST FOUNDRY INDIA P.LTD.,SPARES,18928
AUTOCROSS,AUTOMOBILES PARTS,8450
AUTOFIT CAR INTERIORS P.LTD.,CAR SEAT COVER,198059
AUTOPRINT MACHINERY MANUFACTURES,SPARES,25452
AVA CHOLAYIL HEALTH CARE,FOOD STUFFS,523530
AVADAN INDIA LLP.,OLEORESINS OF SPICES,7691
AVE EXPORTS,ABRASSIVE PRODUCTS,800
AVEES FOODS,FOOD STUFFS,40000
AVESH CLOTHING,COTTON GARMENTS,365
AVIRAM KNITTERS,COTTON GARMENTS,116144
AVIS APPARELS,COTTON GARMENTS,6856
AVLA NETTOS EXPORTS,FROZEN SQUID,1817234
AVS TRADERS,FOOD STUFFS,17432
AVT MCCORMICK INGREDIENTS LTD.,TURMERIC POWDER,17540286
AVT NATURAL PRODUCTS LTD.,TEA,3583149
AVY TEXPORT,COTTON GARMENTS,239
AVYA APPARLES,COTTON GARMENTS,125
AWAKE INTERNATIONAL,MACHINERIES,575
AY TEE CEE FOOTCARE,CHAPPALS,34708
AYISH TRADERS,COTTON GARMENTS,400
AYKA MEDICALS,MEDICAL EQUIPMENTS,20060
AYSHA HOSIERY FACTORY P. LTD.,COTTON GARMENTS,2625
AYUR PANCHAKARMA EQUIPMENTS,AYURVEDIC PRODUCTS,500
AYUSH ENGINEERING WORKS,SPARES,38340
AYUSH JYOTHI PANCHAKARMA EQUIPMENTS,AYURVEDIC PRODUCTS,955
AYVA APPARELS P.LTD.,COTTON GARMENTS,15332
AZAM TRADING,FOOD STUFFS,144591
AZIZ ENTERPRISES,COTTON GARMENTS,14420
AZLON ARTS,HANDICRAFTS,12798
B CUBES INTERNATIONAL,FOOD STUFFS,9000
B.C.IMPEX,COTTON GARMENTS,1467
B.D.CONCEPT STORE LLP,COCONUTS,28000
B.K.ENGINEERING,SPARES,450
B.N.INTERNATIONAL,COTTON GARMENTS,36002
B.N.T. CONNECTIONS,COTTON GARMENTS,587
B.P. EXPORTS,COTTON GARMENTS,6250
B.P. IMPEX,COTTON GARMENTS,8606
B.R.ELASTIC,COTTON GARMENTS,8372
B.R.EXPORTS,COTTON GARMENTS,2251
B.S.RUBBERS,RUBBER MATS,567040
B.SOURCE IMPEX,CHAPPALS,591
B.V. INTERNATIONAL,COTTON GARMENTS,2067
BABU COIR WORKS,RUBBER MATS,1165199
BABY MARINE EASTERN EXPORTS,FROZEN SHRIMPS,205675
BABY MARINE EXPORTS,FROZEN MARINE FOODS,25000
BABY MARINE INTERNATIONAL,FROZEN SHRIMPS,579247
BABY MARINE SARASS,FROZEN SHRIMPS,234375
BAFNA ENTERPRISES,TURMERIC,1361656
BAKEMILL FOODS,FOOD STUFFS,220136
BALAJI EXPORT CORPN.,COCONUTS,28470
BALAJI EXPORTS,COCONUTS,84000
BALAJI GARMENT,COTTON GARMENTS,29824
BALAJI IMPEX,COTTON GARMENTS,20889
BALAJI TRADERS,COCONUTS,169500
BALAKRISHNA ENGINEERING,SPARES,8055
BALAS EXPORTS,COTTON GARMENTS,1904
BALAXI VENTURES LTD.,WELDING ELECTRODES,192900
BALU SOC,COTTON GARMENTS,5552
BAMS CONDIMENTS IMPEX (P) LTD.,RICE,1185225
BANAN GLOBAL TRADING,FOOD STUFFS,92358
BANNARI AMAN SPNG.MILLS LTD.,COTTON YARN,123375
BANSAL INTERNATIONAL,CAST IRON ITEMS,19800
BARAKATH GARMENTS(INDIA)P.LTD.,COTTON GARMENTS,74838
BARANI HYDRALICS  INDIA P.LTD.,VALVES,9808
BASAL ENTERPRISES,COTTON GOODS,330
BASCO FOODS (INDIA )PVT. LTD ,FOOD STUFFS,114447
BASS EXPORTS,RICE,160399
BATHSHA MARINE EXPORTS,FROZEN MARINE FOODS,224860
BAWA FISH MEAL & OIL CO.,FISH OIL,392970
BBM TRAVEL RETAIL LTD.,LIQUORS,57699
BE COMFORT INFRASTRUCTURE,TANK,100
BEEK COTTON CLOTHS,COTTON GARMENTS,1510
BEEK KNIT FASHION,COTTON GARMENTS,3137
BEENA CASHEW CO.,CASHEW KERNELS,126452
BEENA COIR WORKS,COIR MATS,106160
BEETEX INDUSTRIES,KITCHEN FIXTURES,296
BEFFY CASHEW CO.,CASHEW KERNELS,30876
BEKRA PHARMA INDIA,PHARMACEUTICAL PRODUCTS,23229
BELANJ INC,COCONUTS,28300
BELL COMMUNICATION,CLEANING LIQUID,27018
BELL EXIM P.LTD.,FROZEN SQUID,324130
BELL FOODS,FROZEN SQUID,614300
BEN AND DEV DESIGN INTERNATIONAL LLP,FURNITURE,915
BENNYS BIO COIR,COIR PITH,1595210
BENSO GARMENTS,COTTON GARMENTS,2717
BERTECH COLLTREADS P.LTD.,MUD POTS,5893
BESCOAT,KAOLIN,60280
