Exporter,Product,QTY.(KGS)
(K)SHETHRA EXPORTS,COTTON GARMENTS,2040
2M COMPONENTS LLP,ELECTRONIC GOODS,12532
4 YOU IMPEX P.LTD.,COCONUTS,196707
7 SKY INTERNATIONAL,PLYWOOD,77
7TH HEAVEN CREATIONS,COTTON GOODS,104
A & B TOOLLERS,TOOLS,2821
A AND S APPRELS,COTTON GARMENTS,5094
A ONE FURNITURE,FURNITURE,1314
A TO Z PACKAGINGS,PACKING MATERIALS,392
A+ACER AUTOMOBILE,MACHINERIES,7576
A-1 CHIPS AND EXPORTS(I)P.LTD.,MURUKKU,185554
A. TOSH & SONS (I) LTD.,TEA,1028678
A.1 ENTERPRISES,COTTON GOODS,4781
A.A.K.EXPORTS,COCONUTS,28500
A.A.KNIT,COTTON GARMENTS,26964
A.B.FACBRICS,COTTON GOODS,2996
A.C.N. TEXTILES P. LTD.,COTTON GOODS,245069
A.D.INDUSTRIES,SEALING MACHINE,35070
A.D.MARKETING,COTTON GARMENTS,3766
A.F.CASHEW,CASHEW KERNELS,31100
A.G.K AGRO PVT LTD,FOOD STUFFS,14808
A.G.R.APPARELS,COTTON GARMENTS,12367
A.I. ENTERPRISES,COTTON GOODS,112853
A.J.LIGHTING,LIGHT ASSAY MATERIALS,120
A.K. AHAMED MODERAN RICE MILL,RICE,144685
A.K. INTERNATIONAL,GENERAL CARGO,1500
A.K.EXPORTS,COTTON GARMENTS,1651
A.K.R. TEXTILES,COTTON GARMENTS,14754
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,326779
A.K.S.EXIM INDIA,SPICES,23000
A.K.S.VEGITABLES & FRUITS,FOOD STUFFS,56026
A.M.FISHERIES,FROZEN SQUID,1697278
A.M.K.EXPORTS,CASHEW KERNELS,135000
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,134515
A.M.S. TRADING COMPANY,COCONUT OIL,14705
A.M.WORLDWIDE,COCONUTS,27000
A.N.G. OVERSEAS,RICE,47700
A.N.S.,COTTON GARMENTS,12227
A.P.D.EXPORTS,HEALTH ITEMS,12652
A.P.ENGINEERS,AIR COMPRESSORS,36020
A.R. EXPORTS,FOOD STUFFS,12295
A.R. TRADING CO,COFFEE,19200
A.R.INDUSRTRIES,RUBBER MOULDES GOODS,17009
A.S.K. APPARELS,COTTON GARMENTS,38212
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,1136420
A.S.P. & SON ENTERPRISES P.LTD.,COCONUT OIL,23621
A.V.EXPORTS,COIR FIBER,207180
A.V.THOMAS & CO. LTD.,TEA,352165
A1 PRIME NUTRITIONS P.LTD.,HEALTH ITEMS,17410
AADHYA INGREDIENTS,SPICES,10120
AAHANA INTERNATIOAL LLP,HANGER,21721
AANCHAL ENTERPRISES,PLYWOOD,617928
AANYA EXPORTS,P.P.WOVEN BAGS,9537
AARA TEX,COTTON GARMENTS,93756
AARABHI EXPORTS,RICE,123318
AARADHYA EXPORTS,COCONUTS,224600
AARESS EXPORTS,COTTON GARMENTS,5269
AARON AGENCIES,PLASTIC PRODUCTS,7435
AARSHAVEDA WELLNESS PVT LTD,HERBAL MINERAL PRODUCTS,1958
AARTHIA IMPEX,COTTON GARMENTS,525
AARUDHRHA FASHION,COTTON GARMENTS,4244
AASKA TRADING INTERNATIONAL,FOOD STUFFS,928
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,11163
AAYDEE EXPORTS P.LTD.,COTTON YARN,362932
AB MAURI INDIA P.LTD.,TURMERIC POWDER,5091781
ABA APPARELS,COTTON GARMENTS,35980
ABAD EXIM P. LTD.,FROZEN MARINE FOODS,734063
ABAD FISHERIES,FROZEN SQUID,3769618
ABB ENTERPRISES,COTTON GARMENTS,515
ABB POWER PRODUCTS  AND SYSTEM INDIA LTD,ELECTRICAL ITEMS,1358592
ABBABIL TRADERS,COCONUTS,28400
ABHEK LIFE STYLES,COTTON GARMENTS,8386
ABHI MARINE,RICE,910000
ABI SOURCING,COTTON GARMENTS,38115
ABIN CASHEW,CASHEW KERNELS,15000
ABIRAMI TECHNOLOGIES LTD.,WET GRINDER,30190
ABISHA EXPORTS,COCONUTS,27650
ABISHEK EXPORTS,COCONUTS,427361
ABLE ENGINERRING COMPANY,MACHINERIES,9915
ABLE EXPORTS,ONION,69790
ABM MARINE PRODUCTS,FROZEN SQUID,1459668
ABM4 TRADES,MOULD,6750
ABN TRADERS,SPICES,1371975
ABUDULRAHMAN ALJEEL P.LTD.,BOTTLES,6120
ACCELERATED FREEZE DRYING CO LTD.,GREEN PEPPER,655166
ACCUPLAST TECHNOLIOGIES,PLASTIC PRODUCTS,154880
ACE ENGINEERING,SPARES,3800
ACHUTHA ENTERPRISES,FOOD STUFFS,15157
ACHUTHARA FOOD PRODUCTS,FOOD STUFFS,14701
ACM NATURAL PRODUCTS,SPICES,1135
ACOUSTICAL SURFACES P.LTD.,WOOD PRODUCTS,17325
ACQUA PEARL PROPERTIES AND EXPORTS ,FROZEN YELLOW TUNA,990986
ACTIVE APPARELS,COTTON GARMENTS,349
ACTIVE CHAR PRODUCTS P.LTD.,ACTIVATED CARBON,3556055
ACUCHI EXIM P.LTD.,WOOD PRODUCTS,66671
ADAM TRADING COMPANY,RICE POWDER,233030
ADARSH KNITWEAR P.LTD.,COTTON GARMENTS,10945
ADD PRINT(INDIA)ENTERPRISES P.LTD.,MACHINERIES,1188
ADDRESS APPAREL,COTTON GARMENTS,6280
ADHIT MERCANTILE P.LTD.,COTTON YARN,41026
ADHITHYA IMPEX,COTTON GARMENTS,470
ADHITHYA TEXTILES,COTTON YARN,58149
ADHITHYA TRADERS,COCONUTS,27810
ADHVIKHA EXPORTS,RUBBERISED COIR PADS,3729
ADIDEV GROUP OF INDUSTRIES,SPICES,38070
ADIF MAT EXPORTS,RUBBER MATS,37642
ADIL TEXTILES PVT LTD,COTTON GOODS,101161
ADINATH CORPORATION,CHILLI SEEDS,52124
ADITHYA MARKETING,MEDICINES,1198
ADITYA BIRLA FASHION  LTD.,COTTON GARMENTS,6431
ADITYA TRADING CO.,TEA,717275
ADONIS MARKETING,FOOD STUFFS,3209
ADRASH KNITWEAR,COTTON GARMENTS,461
ADVANCED MEDICAL TECHNOLOGIES,LATEX GLOVES,12160
ADVENT FOUNDRY & ALLIED SUPPLIES P.LTD.,PADDY HUSK,155429
ADVIN INTERNATIONAL,COIR MATS,6007
ADWAITH LAKSHMI INDUSTRIES LTD.,COTTON GARMENTS,7231
AERATH BUSINESS CORPORATION,RICE,1104021
AERATHAYIL  ENTERPRISES,FOOD STUFFS,9840
AESTHETIC ENGINEERS&ARCHITECTS,WOOD PRODUCTS,18720
AFM IMPEX,COCONUTS,27300
AFRAS CASHEW  TRADERS,CASHEW KERNELS,378126
AFRINEXT OVERSEAS  P.LTD.,WELDING ELECTRODES,178867
AFRO ZEST INDUSTRIES,COTTON GOODS,1774
AFROS CASHEWS,CASHEW KERNELS,15000
AGAPPE DIAGNOSTICS LTD.,MEDICAL EQUIPMENTS,107682
AGASH PLAST INDIA,PLASTIC PRODUCTS,40437
AGGARWAL TEXTILES,COTTON GARMENTS,12736
AGHORI TRADING,BAGS,476
AGNEEYA AGRO AND ENGINEERING,ENGINEERING GOODS,3826
AGNEYA AGRO AND ENGING.LTD.,SPARES,6232
AGNI APPARELS,COTTON GARMENTS,20678
AGRIUM EXPORTERS,COCONUTS,26240
AGRO  EQUIPMENT INDUSTRIES LTD.,AGRICULTURAL MACHINERY & PARTS,52141
AGRO BIO TECH RESEARCH CENTRE LTD.,PINEAPPLE,24600
AGRO BROTHERS COIR CO.,COIR PITH,518743
AGRO EXIM,RICE,50180
AGROLLIANCE NATURALS & IMPEX,SPICES,41887
AGUS ENTERPRISES,FURNITURE,250
AHILL KNIT EXPORTS,COTTON GARMENTS,14596
AHUJA FASHIONS,COTTON GARMENTS,5937
AIKN - INGINAOUS EC P.LTD.,SPICES,9217
AIM OVERSEAS,RICE,282563
AIMON DISTRIBUTORS,FOOD STUFFS,4711
AINCIENT GREENFIELDS,TURMERIC,10096
AIR COIL INCORPORATION,MACHINERIES,700
AIR INDIA LTD.,TYRES/TUBES,5170
AIR LOCK  INDIA P.LTD.,MACHINERIES,9966
AIRNTERPRISES,COTTON GARMENTS,2927
AIRTEK COMPRESSORS,AIR COMPRESSORS,2840
AIRWILL HOME COLLECTION,HOME APPLIANCES,6814
AISHWARYA FEEDS,CATTLE FEEDS,24974
AISHWARYA OVERSEAS EXPORTERS,RICE,185488
AISSOL SYSTEM SERVICES INDIA P.LTD.,SPARES,57
AISWARYA POLYMERS,TYRE RETREADING MATERIALS,29304
AJAYA PLASTICS,PLASTIC PRODUCTS,292
AJGAR KHAN M.K,GENERAL CARGO,7482
