Exporter,Product,QTY.(KGS)
ADARSH INDUSTRIAL CHEMICALS,CHEMICALS,4191
ADARSH KNITWEAR P.LTD.,COTTON GOODS,29655
ADARSH TEXTILES,COTTON GOODS,6002
ADD PRINT(INDIA)ENTERPRISES P.LTD.,MACHINERIES,1689
ADDRESS APPAREL,COTTON GOODS,33442
ADEPT HUNTERS,PLASTIC PRODUCTS,8112
ADHARSHANA KNITWEAR,COTTON GOODS,8074
ADIDEV GROUP OF INDUSTRIES,TURMERIC POWDER,32062
ADIF MAT EXPORTS,RUBBER MATS,16350
ADIL EXPORTERS,COTTON GOODS,5281
ADIL TEXTILES PVT LTD,TENT ACCOSSORIES,254500
ADINATH AGRO PROCCESSED FOODS P.LTD.,PICKLES,5820
ADITH APPARELS,COTTON GARMENTS,2064
ADITI APPAREL GROUP  ,COTTON GARMENTS,690
ADITI CREATION,PICKLES,26221
ADITI EXPORTS,RUSK,34662
ADITYA BIRLA FASHION  LTD.,COTTON GOODS,10074
ADITYA EXPORTS,FOOD STUFFS,14000
ADITYA TRADING CO.,TEA,550410
ADLER HANDELSHAUS P.LTD.,SURGICAL GLOVES,14945
ADS APPARELS,COTTON GOODS,39202
ADSO NATURALS,HERBAL MINERAL PRODUCTS,2446
ADTECH SYSTEMS LTD.,MACHINERIES,169
ADVA MEDICAL INDIA P. LTD.,SURGICAL GOODS,18936
ADVENT FOUNDRY & ALLIED SUPPLIES P.LTD.,FOUNDRY CONSUMABLES/EQUIPMENTS,136170
ADWAITH LAKSHMI INDUSTRIES LTD.,MACHINERIES,54478
AERATH BUSINESS CORPORATION,TURMERIC,818625
AERATHAYIL  ENTERPRISES,FOOD STUFFS,52579
AEROLITE COTTONS,COTTON GOODS,277
AERTHAYIL ENTERPRISES,RUBBER MATS,11119
AES IMPORTS&EXPORTS,FOOD STUFFS,23840
AFAQ INDIA EXPORTERS&IMPORTERS,CAR SEAT COVER,8323
AFCO ENTERPRISES,FOOD STUFFS,19068
AFFCO EXIM P. LTD.,FOOD STUFFS,9200
AFFORD EXIM,CHAIRS,7130
AFRAS CASHEW  TRADERS,CASHEW KERNELS,690000
AFRINEXT OVERSEAS  P.LTD.,WELDING ELECTRODES,96900
AGAPPE DIAGNOSTICS LTD.,DISPOSABLE HOSPITAL PRODUCTS,92458
AGASH PLAST INDIA,PLASTIC PRODUCTS,43298
AGASTHYA SUPER FOODS INDIA P.TD.,FOOD STUFFS,5749
AGATHYAN EXPORTS,COTTON GOODS,18415
AGFOR SYSTEEMS,COCONUTS,28600
AGNEYA AGRO AND ENGING.LTD.,TURMERIC POWDER,4342
AGNI APPARELS,COTTON GARMENTS,17607
AGRI CHEMICALS,CHEMICALS,26416
AGRO BROTHERS COIR CO.,COIR PITH,349734
AGRO COIR EXPORTS,COIR PITH,1353650
AGROLLIANCE NATURALS & IMPEX,OLEORESINS OF SPICES,3472
AGROPINE FOOD PROCESSORS,FOOD STUFFS,13543
AHAMED SHAREEF,CAR,1580
AHIL APPAREL EXPORTS,COTTON GOODS,247
AHILA WOOD PRODUCTS&PLYWOOD INDUSTRIES,PLYWOOD,205078
AHILL KNIT EXPORTS,COTTON GOODS,22045
AI MARINE PRODUCTS INDIA P.LTD.,FROZEN YELLOW TUNA,660124
AIBEL APPARELS,COTTON GOODS,5242
AIFFA PLASTICS,PLASTIC PRODUCTS,18938
AIKN - INGINAOUS EC P.LTD.,SPICES,2524
AIM OVERSEAS,RICE  ADA,250122
AIMM EXPORTS,FOOD STUFFS,14675
AIR INDIA LTD.,TYRES/TUBES,75940
AISHWARYA FEEDS,EGGS,319650
AISHWARYA OVERSEAS EXPORTERS,RICE,312326
AISSOL SYSTEM SERVICES INDIA P.LTD.,SPARES,2272
AISWARYA POLYMERS,TYRE RETREADING MATERIALS,38941
AIWSARIA MODERN RICE MILL,RICE,75975
AIZIN HAANI IMPORT&EXPORT,COCONUTS,113400
AJMI FLOUR MILL(I)P.LTD.,RICE,1801713
AJWA EXPORTING CO.,RICE POWDER,442551
AK GARMENTS,COTTON GARMENTS,761
AKASH PETS,BOTTLES,5165
AKAY NATURAL INGREDIENTS,SPICES,1136374
AKAY SPICES P.LTD.,TURMERIC POWDER,3562313
AKBER EXPORTS,CRUSHED CHILLIES,13221
AKG AGRO P.LTD.,CURRY POWDER,14870
AKG INDIA P.LTD.,SPARES,4775
AKHIL KNIT EXPOTS,COTTON GARMENTS,1545
AKHILESH EXPORTS,COTTON GARMENTS,1576
AKM TRADERS,COCONUTS,28125
AKRUTHI APPARELS,COTTON GOODS,549448
AKS GLOBAL LOGISTICS(OPC)P.LTD.,GENERAL CARGO,18000
AKSA FOODS AND SPICES P.LTD.,CURRY POWDER,8734
AKSHATH GARMENTS,COTTON GOODS,10445
AKSHAYA ENGINEERING,SPARES,5924
AKSHAYA GLOBAL TRADING,FOOD STUFFS,9941
AKSHIT KNIT FASHION,COTTON GARMENTS,123
AL AMEEN PLANTAIN MERCHANT,BANANA,1726141
AL BADRA SEAFOODS P.LTD.,FROZEN YELLOW TUNA,524930
AL BIA EXPORTS LLP,COTTON GOODS,5232
AL BUROOJ IMPORT,AUTOMOBILES PARTS,2630
AL FANOOS CASHEWS,CASHEW KERNELS,46800
AL FINE KNIT P.LTD.,COTTON GARMENTS,5158
AL HAR INTERNATIONAL,COCONUTS,112900
AL HASSAN EXPORTS&IMPORTS,GHEE,62656
AL M&M T SHIRT MART,COTTON GOODS,65047
AL MANAAL TRADING & EXPORTS ,FOOD STUFFS,7140
AL MARINE PRODUCTS,FROZEN YELLOW TUNA,129120
AL MUBARAK FACTORY AGENCY,FOOD STUFFS,76946
AL MUDASSAR TRADING,COCONUTS,255550
AL NASSAR EXPORTS,BANANA,21681
AL NAWAL EXPORTS LLP,FOOD STUFFS,269024
AL-GAYATHRI TRADING CO. P. LTD.,TEA,3275458
AL-HASANATH GLOBAL,TAMARIND,232707
AL-JAMEEL EXPORTERS,CHEMICALS,925
AL-MANAR TRADING,COCONUTS,28500
AL-MELA INTERNATIONAL P.LTD.,FOOD STUFFS,38610
AL-MIDA INTERNATIONAL,FOOD STUFFS,13100
ALAGAR APPARELS,COTTON GARMENTS,939
ALAN TECH INDISTRIAL SOLUTIONS,WATER TREATMENT MACHINERIES,18465
ALASKA EXPORTS,COTTON GOODS,36005
ALASKA INTERNAITONAL,PLYWOOD,112000
ALAYA COIR,COIR FIBER,543880
ALCHEM DIAGNOSTICS,DISPOSABLE HOSPITAL PRODUCTS,14923
ALCHEMY ALLOYS ,STEEL CASTINGS,45100
ALCOT FABRICS,COTTON GOODS,23282
ALDA EXPORTS,SPARES,67076
ALEEZA EXPORTS&IMPORTS,RICE,127831
ALEEZE EXPORTS,PICKLES,2370
ALEN TECHNOLOGY P.LTD.,IRON CASTINGS,8000
ALFA LAVAL,MEDICAL EQUIPMENTS,7500
ALGO FLUID SYSEMS P.LTD.,SPARES,13740
ALHIND EXIM,FOOD STUFFS,18000
ALIEN ENGINEERING,SPARES,32140
ALIF ENTERPRISES,COCONUTS,63640
ALIF EXPORTS,BOOKS,2700
ALIVE EXPORTS,COCONUTS,66950
ALL TRADING TEX,COTTON GOODS,432
ALLAKKAT INTERNATIONAL,RUBBER MATS,145967
ALLANASONS LTD.,INSTANT COFFEE,4570164
ALLEPPEY CO. LTD.,RUBBER MATS,3189816
ALLEPPEY DIESEL SERVICES,SPARES,390
ALLKOSHYS ALLSPICES,GREEN PEPPER IN BRINE,76160
ALM AND M SHIRTS,COTTON GARMENTS,15513
ALMAS PERFUMES,PERFUME,27107
ALOK INDUSTRIES,COTTON GOODS,51184
ALORA TRADING,FOOD STUFFS,22000
ALPEN GLOW GARMENTS,COTTON GOODS,2287
ALPHA EXPORTS,RUBBER MATS,157784
ALPHA MACHINERIES,SPARES,117
ALPHA MATS,RUBBER MATS,177659
ALPHA OMEGA IMPORTS&EXPORTS,COCONUTS,271514
ALPHARUB TRADING&MFG.P.LTD.,RUBBER MATS,63000
ALPHONSA CASHEW INDUSTRIES,CASHEW KERNELS,1019626
ALRAHIMA EXPORTERS LLP,FOOD STUFFS,6530
ALTERSOFT INNOVATIONS INDIA P.LTD.,BATHROOM ACCESSORIES,3000
ALUCRAFT MANUFACTURING & MARKETING LLP ,ALUMINIUM PRODUCTS,356719
ALUTECH,ROOFINGS,21810
ALWAN EXPORTS & IMPORTS,TURMERIC POWDER,19000
AM POWER CORD CORPORATION,HEAT RESISTANT LATEX RUBBER PL,54836
AMACO IMPEX P.LTD.,TEA,4076013
AMAIRA AGRO EMPIRE LLP,COCONUTS,28600
AMALGAM FROZEN FOODS,FROZEN PAROTTA,269637
AMANA ENTERPRISES,TYRE RETREADING MATERIALS,60300
AMAR EXPORTS,FOOD STUFFS,24773
AMAR KRISHNA INNOVATIONS,COTTON GOODS,19727
AMARAVATHI GARMENT MFG. CO.,COTTON GARMENTS,9691
AMARAVATHI TEXTILES,COTTON GOODS,19384
AMAZ EXPORTS,COTTON GOODS,7758
AMAZING EXPORT CORPORATION,COTTON GOODS,17316
AMAZING RUBBER PRODUCTS P. LTD.,SURGICAL GLOVES,530386
AMBA EXPORTS,RICE,758224
AMBAL IMPORT&EXPORTS,FOOD STUFFS,2075
AMBARA EXPORTS,COTTON GOODS,887
AMBIKA COTTON MILLS LTD.,COTTON YARN,1443076
AMBITN LIFESCIENCES,OLIVINE GRAINE,13661
AMBROSIA TEXTILES,COTTON GOODS,1131
AMC BIO INPUT,COIR PITH,101940
AMCON TRADING INTERNATIONAL,COCONUTS,137420
AMEEN EXPORTS & IMPORTS(P)LTD.,FOOD STUFFS,18050
AMENSCO MEDICAL TECHNOLOGIES,MEDICAL EQUIPMENTS,13400
AMEX ALLOYS P.LTD.,VALVES,12161
AMICO INTERNATIONAL,BANANA,21500
AMICUS COMMUNICATIONS,ELECTRONIC COMPONENTS,19597
AMIRTHA TEXTILES,COTTON GOODS,17038
AMMAR EXPORTS,FOOD STUFFS,14000
AMMARUN FOUNDRIES,IRON CASTINGS,10583
AMMAYAPPER TEXTILES P.LTD.,COTTON GOODS,102234
AMRUTHA ENTERPRISES,BOOKS,206
AMRUTHA EXIM,FOOD STUFFS,30505
