Exporter,Product,QTY.(KGS)
AGROLLIANCE NATURALS & IMPEX,OLEORESINS OF SPICES,4384
AHAD HOSIERY P.LTD.,COTTON GARMENTS,24317
AHIL APPAREL EXPORTS,COTTON GARMENTS,660
AHILA WOOD PRODUCTS&PLYWOOD INDUSTRIES,PLYWOOD,18000
AHILL CLOTHING,COTTON GARMENTS,1143
AHILL KNIT EXPORTS,COTTON GARMENTS,22507
AIKEX SPICE EXTRACTS P.LTD.,OLEORESINS OF SPICES,693
AIM GARMENTS,COTTON GARMENTS,5760
AIM OVERSEAS,RICE,154234
AIRTEK COMPRESSORS,HYDRAULIC FITTINGS,6355
AISHWARYA INDUSTRIES,RUBBER MOULDES GOODS,47925
AISHWARYA OVERSEAS EXPORTERS,FOOD STUFFS,32890
AISWARIYA TEX,COTTON GARMENTS,3875
AISWARIYA TEXTILES,COTTON GOODS,22047
AISWARYA POLYMERS,TYRE RETREADING MATERIALS,36228
AIWA EXPORTS,FOOD STUFFS,15115
AJMI FLOUR MILL(I)P.LTD.,FOOD STUFFS,428754
AJWA EXPORTING CO.,RICE,136992
AKASH PETS,BOTTLES,5015
AKAY FLAVOURS & AROMATICS LTD.,SPICES,1052759
AKAY SPICES P.LTD.,TURMERIC,2257353
AKBER EXPORTS,SPICES,25000
AKRUTHI APPARELS,COTTON GARMENTS,1014895
AKSA EXPORTS P. LTD.,SPICES,18000
AKSA FOODS AND SPICES P.LTD.,CHILLI POWDER,3398
AKSARA APPARELS,COTTON GARMENTS,16047
AKSHARA KNIT CREATIONS,COTTON GARMENTS,120
AKSHAYA TEXTILE,COTTON GOODS,103338
AL AHLI EXPORTERS,CHAPPALS,21675
AL ASIF,COTTON GARMENTS,300
AL BADRA SEAFOODS P.LTD.,CANNED MARINE PRODUCTS,1949795
AL BARAKHA EXPORTS,SPARES,11818
AL FANOOS CASHEWS,CASHEW KERNELS,76800
AL FANOOS GARMENTS,COTTON GARMENTS,3200
AL FATHAB ENGINEERING,SPARES,5172
AL FINE KNIT P.LTD.,COTTON GARMENTS,3421
AL FOUZAN EXPORTS,YAM,31340
AL GLOBAL STAR,COFFEE,126000
AL HAADI EXPORTERS,FOOD STUFFS,28000
AL KABEER EXPORTS,FOOD STUFFS,8161
AL MUBARAK FACTORY AGENCY,FOOD STUFFS,16800
AL SHAMS ENTERPRISES,CHAPPALS,6306
AL ZAIM INTERNATIONAL,COCONUTS,224839
AL-GAYATHRI TRADING CO. P. LTD.,TEA,2293358
AL-HASANATH GLOBAL,TURMERIC,29908
AL-KABEER EXPORTS P.LTD.,FOOD STUFFS,10851
AL-MELA MARKETING P.LTD.,CHOCOLATE PRODUCTS,6396
AL-TASHKEEL IMPORTS & EXPORTS,COCONUTS,95500
ALAASKER EXPORTS,COCONUTS,81510
ALAGAR APPARELS,COTTON GARMENTS,2618
ALAIJA RUBBER FACTORY,CHAPPALS,7776
ALAN EXPORTS,COCONUTS,28000
ALAN TECH INDISTRIAL SOLUTIONS,SPARES,15260
ALANA EXPORTS,COCONUTS,28140
ALCO ALUMINIUM PRODUCTS,LADDER,9224
ALDA TRADING,FOOD STUFFS,12140
ALEENA FOODS,CURRY POWDER,2557
ALEXANDER COIR WORKS,COIR MATS,27300
ALFA ENGINEERING WORKS,MACHINERIES,2279
ALFA-TEX OVERSEAS,COTTON GARMENTS,213
ALFATEK INDUSTRIES,SPARES,430
ALFINE MARKETING,FURNITURE,1530
ALFLAQ TRADE INC.,COTTON GARMENTS,2820
ALHIND INTERNATIONAL EXPORTS,COCONUTS,81230
ALI AND COMPANY,HANDICRAFTS,332
ALIF EXPORTS,BOOKS,5616
ALIF TRADING,COCONUTS,34484
ALIN CASHEW TRADERS,CASHEW KERNELS,745632
ALLAKKAT INTERNATIONAL,RUBBER MATS,108918
ALLAN EXPORTS,COCONUTS,13500
ALLANASONS LTD.,COFFEE,8189744
ALLEPPEY CO. LTD.,RUBBER MATS,5699132
ALLIANCE GRAIN PRODUCTS P.LTD.,WHEAT FLOUR,1805893
ALLKOSHYS ALLSPICES,GREEN PEPPER IN BRINE,260036
ALOK INDUSTRIES,COTTON GARMENTS,557
ALPHA EXPORTS,COTTON GOODS,13421
ALPHA PVC,CHAPPALS,7778
ALPHONSA CASHEW INDUSTRIES,CASHEW KERNELS,1312388
ALS EXPORTS,TRACTOR,3100
ALSTOM INSTRUMENT TRANSFORMER,SPARES,2203
ALSTOM TRANSPORT,SPARES,199943
ALWAN EXPORTS & IMPORTS,TURMERIC POWDER,20000
AMACO IMPEX P.LTD.,TEA,1969041
AMALGAM FOODS & BEVERAGES LTD.,FOOD STUFFS,21000
AMALGAM FOODS LTD.,FROZEN MARINE FOODS,48048
AMALGAM FROZEN FOODS,FOOD STUFFS,11000
AMALGAM NUTRIENTS & FEEDS LTD.,FOOD STUFFS,10800
AMAR EXPORTS,COCONUTS,6582
AMAR KRISHNA INNOVATIONS,COTTON GARMENTS,3114
AMAR SINGH CHAWAL WALA,RICE,21000
AMAZING EXPORT CORPORATION,COTTON GARMENTS,1960
AMBA EXPORTS,RICE,73125
AMBAL CREATIONS,COTTON GARMENTS,1100
AMBO VALVES INDUSTRIES,VALVES,11576
AMBOOTIA TEA EXPORTS,TEA,692022
AMC COOKWARE,PRESSURE COOKER,6215
AMEEN EXPORTS & IMPORTS(P)LTD.,FOOD STUFFS,139030
AMEENA EXPORTS P. LTD.,FOOD STUFFS,33593
AMFS FOODS PROCESSORS,FROZEN MARINE FOODS,24000
AMMAM IMPEX,COTTON GARMENTS,8440
AMMAN COIRS,COIR FIBER,241110
AMMAN FASHIONS,COTTON GARMENTS,552
AMMAYAPPER TEXTILES P.LTD.,COTTON GARMENTS,97578
AMNA FOOD INDUSTRIES P.LTD.,CHILLIES,9901
AMRUTHA ENTERPRISES,COTTON GARMENTS,5395
AMS AGRO INDUSTRIES,COCONUT OIL,40273
ANACARDO FOODS,JACKFRUITS/MANGOS,19230
ANAKKARA FOOD PROCESSING & EXPORTS,SPICES,36584
ANAND TEXTILES,COTTON GOODS,12025
ANANDHA MODERN RICE MILL,RICE,322134
ANANKE INDIA P.LTD.,SPICES,13787
ANANT INTERLININGS,COCONUTS,28400
ANAPPADIKKAL TRADING COMPANY,FOOD STUFFS,48990
ANASWARA OFFSET P.LTD,PRINTED MATERIALS,1023
ANBALAGAN P,COCONUTS,14175
ANBU EXPORTS,VEGETABLES,48000
ANCHERIAL PLASTICS,PLASTIC PRODUCTS,5199
ANCHUTHARA FOOD PRODUCTS,RICE,133054
ANCHUTHENGIL AGRI SUPPLY,COVER CROP SEEDS,18192
ANDAVAR CLOTHING CO.,COTTON GARMENTS,26654
ANF,COTTON GARMENTS,2438
ANGELA COIR MILLS,COCONUTS,207922
ANGIPLAST P.LTD.,DISPOSABLE HOSPITAL PRODUCTS,47828
ANIL CASHEWS,CASHEW KERNELS,30000
ANIL TRADERS,FOOD STUFFS,4205
ANIS AHAMED,SULPHUR POWDER,60000
ANIS THERMAL ENGINEERING,MACHINERIES,4440
ANITA EXPORTS,TEA,659572
ANJANA EXPORTS,COTTON GARMENTS,791
ANNA ALUMINIUM  COMPANY P.LTD.,RICE,1017854
ANNA MALAI EXIM,COIR PITH,12226374
ANNA TRADE LINKS,COTTON GARMENTS,1438
ANNA TROUVER,COTTON GOODS,13382
ANNAPOORNESWARI EXIM P.LTD.,COIR MATS,14592
ANNATEX EXPORTS,COTTON GARMENTS,7193
ANNS FLOOR DECORATION,COIR MATS,26694
ANNVIN FPS,SPARES,2845
ANPHARMA EQUIPMENTS,SPARES,230
ANS EXPORTS P.LTD.,COTTON GOODS,9231
ANSARI ESTATE P.LTD.,COCONUTS,79730
ANTON EXPORTS&IMPORTS,COTTON GOODS,4579
ANUGRAHA VALVE CASTINGS LTD.,VALVES,10106
ANUSAM APPARELS,COTTON GARMENTS,13624
ANVI MARKETING,COCONUTS,27950
ANZEN EXPORTS,P.P.WOVEN BAGS,18783
AP EXPORTERS,COIR PITH,105414
APEEJAY TEA COMPANY,TEA,145320
APEX MSTCH CONSORTIUM INDIA P.LTD.,COIR GEO FABRICS,49451
APG FISHERIES,FROZEN SHRIMPS,463349
APOLLO TYRES LTD.,TYRES/TUBES,13550683
APRIARIUM P.LTD.,FOOD STUFFS,15925
APT GLOBAL MARINE ENGINEERING,SPARES,22717
APT REALITY LTD.,COVER CROP SEEDS,68636
APTIV CONNECTION SYSTEMS INDIA P.LTD.,CONNECTORS,30607
AQJ APPARELS,COTTON GARMENTS,50901
AQUA ENGINEERING SERVICES,SPARES,2103
AQUA GENO EXIM,FROZEN SQUID,1407420
AQUA MARINE EXPORTS,FROZEN SQUID,190200
AQUARELLE INDIA PVT LTD,COTTON GARMENTS,19425
AQUASTAR MARINE FOODS,FROZEN SQUID,2388774
AQUASUB ENGINEERING,PUMPS,478208
AQUILD ENGINEERING,SPARES,1066
ARA MATS INTERNATIONAL,RUBBER MATS,1041675
ARACKATHARA RECLAIMATIONS,TYRE RETREADING MATERIALS,294297
ARAKKATHARA EXPORTS,FOOD STUFFS,12626
ARAKU ORIGINALS LTD.,COFFEE,37660
ARASAN ALUMINIUM INDUSTRIES,ALUMINIUM POWDER,88027
ARASCO FRUIT PRODUCTS,FOOD STUFFS,10437
ARASU INDUSTRY,SPARES,972
ARAVIND KNIT FAB,COTTON GARMENTS,56312
ARBEE AGENCIES,FISH OIL,5742
ARBEE AQUATIC PROTEINS P.LTD.,FISH OIL,1106750
ARBEE BIOMARINE EXTRACTS P.LTD.,FISH OIL,3176
ARBEE BIOSPECIALITIES P.LTD.,CHEMICALS,108
AREMPEE COMPRESSORS P.LTD.,MACHINERIES,17953
ARESSERIL EXPORTS,FOOD STUFFS,34554
ARGON IMPEX P.LTD.,CLEANING LIQUID,4900
ARIANE TOOLS & COMPONENTS,SPARES,49624
ARICIA INDIA INTERNATIONAL P.LTD.,RUBBER MATS,87999
ARIHANT ASSOCIATES,ELECTRICAL ITEMS,9000
ARIHANT ENTERPRISES,PLYWOOD,1133719
ARIKKAT TRADES & EXPORTS,COCONUTS,33816
ARJUNA NATURAL P.LTD.,TRIBULUS EXTRACT,56463
ARMSTRONG KNITTING MILLS (P) LTD.,COTTON GARMENTS,28766
AROMA FOODS TRADING,FOOD STUFFS,9656
AROMATIC  INGREDIENTS P.LTD.,OLEORESINS OF SPICES,167888
ARRASU INDUSTRIES,SPARES,5527
ARROW KNITS,COTTON GARMENTS,4486
ART EXIM P.LTD.,GENERAL CARGO,20000
ART YARN EXPORTS,COTTON YARN,60176
ARTECH INTERNATIONAL,STEEL PRODUCTS,2812
ARTOCARPUS FOODS P.LTD.,OLEORESINS OF SPICES,3292
ARUNA ALLOY STEELS P. LTD.,STEEL CASTINGS,36296
ARUNA ALLOY STEELS P.LTD.,STEEL CASTINGS,7819
ARVIN KNIT WEAR,COTTON GARMENTS,3607
ARVIND LTD.,COTTON GARMENTS,2848
ARYA VAIDYA PHARMACY (CBE) LTD.,AYURVEDIC PRODUCTS,30000
ARYABHANGY,HANDICRAFTS,1120
ARYAN CLOTHING,COTTON GARMENTS,8053
ASALAH EXPORTING&IMPORTING,UTENSIL,7548
ASG INDUSTRIES P.LTD.,COCONUTS,55212
ASHA RUBBER PRODUCTS PVT. LTD.,LATEX GLOVES,10550
ASHIQUE CHEMICALS&COSMETICS,SOAP,100380
ASHIYA INTERNATIONAL,COIR MATS,42225
ASHOK WOOD WORKS&TIMBER,ROSEWOOD PRODUCTS,720
ASHTANGA VAIDYAM AYURVEDICS,AYURVEDIC PRODUCTS,58688
ASIAN FIRDOUS CASHEWS,CASHEW KERNELS,54000
ASIAN KNIT GARMENTS,COTTON GARMENTS,6016
ASIAN SPICES,SPICES,52076
ASIAN TEA COMPANY PRIVATE LTD,TEA,1789344
ASKER KNIT WEAR,COTTON GARMENTS,9192
ASMA RUBBER PRODUCTS P. LTD.,SURGICAL GLOVES,45713
ASPINWALL & CO. LTD.,RUBBER MATS,1724510
ASSA SEA FOODS,FROZEN MARINE FOODS,292000
ASSOCIATED CASHEW INDUSTRIES,CASHEW KERNELS,206513
ASSOCIATED COCONUT PRODUCTS,COCONUT OIL,2500
ASSOCIATED RUBBER CHEMICALS P.LTD.,RUBBER CHEMICALS,10869
ASSOCIATED RUBBER INDUSTRIES,RUBBER MATS,5060
ASSOCIATED TRADERS,ROSEWOOD PRODUCTS,22992
ASTRA BIOSCIENCE LTD,LABORATORY CHEMICALS & EQUIP.,3037
ASTRA FASHION,COTTON GARMENTS,679
ASTRON CONCRETE PRODUCTS,CONCRETE MIXER,583995
ASWATH  CREATIONS,COTTON GARMENTS,47807
ASWATHI TEXTILES,COTTON GARMENTS,1288
ASWATHY ENGINEERING WORKS,MACHINERIES,2750
ASWIN ASSOCIATES,FROZEN YELLOW TUNA,2492715
ATARIA ENTEPRISES,COCONUTS,27500
ATC  TYRES P.LTD.,TYRES/TUBES,97570
ATCHERRA IMPEX,COTTON GARMENTS,17101
ATHARVA INTERNATIONAL,COTTON GARMENTS,320
ATHAVAN APPARELS,COTTON GARMENTS,489
ATHAVAN CLOTHING COMPANY,COTTON GARMENTS,26320
ATHEENA EXPORTS,ROSEWOOD VENEERS,119304
ATHISH PRESSING MILL,COIR FIBER,532890
ATIRA DESIGNS P.LTD.,COTTON GOODS,2613
ATLANDES METAL AND TOOL INDUSTRIES PVT LTD,SPARES,1051
ATLANTIC CARE CHEMICALS,DETERGENT POWDER,919697
ATLANTIC FOODS INDIA P.LTD.,FOOD STUFFS,31719
ATLAS EXPORT ENTERPRISES,COTTON GOODS,11085
ATLAS EXPORTERS,COTTON GARMENTS,9556
ATLAS MACHINE TOOLS,SPARES,1021
ATOLL TRADING COMPANY,MACHINERIES,6000
ATS ELGI LTD.,HYDRAULIC FITTINGS,312058
AUREA BIOLABS P.LTD.,OLEORESIN TURMERIC,2043
AUSSEE OATS INDIA PVT LTD,OATS,15877
AUTHENTIC EXPORTS,COTTON GARMENTS,4138
AUTOCAST FOUNDRY INDIA P.LTD.,MACHINERIES,12460
AUTOFIT CAR INTERIORS P.LTD.,CAR SEAT COVER,301281
AUTOMOTION AND CONTROL SYSTEMS,AUTOMOBILES PARTS,544
AUTOPRINT MACHINERY MANUFACTURES,SPARES,110284
AVA AND AP NATURAL P;LTD.,CHEMICALS,1299
AVA CONDIMENTS LLP,FOOD STUFFS,282325
AVE EXPORTS,COTTON GARMENTS,230
AVEES FOODS,RICE,46000
AVENIR TRADERS&EXPORTERS,COCONUTS,27500
AVENTURES CORPORATION,MACHINERIES,12659
AVESH CLOTHING,COTTON GARMENTS,6899
AVIRAM KNITTERS,COTTON GARMENTS,23745
AVL MARKETING,SPEAKERS,92
AVLA NETTOS EXPORTS,FROZEN YELLOW TUNA,2583904
AVS TRADERS,RICE,18500
AVT MCCORMICK INGREDIENTS LTD.,TURMERIC POWDER,16207350
AVT NATURAL PRODUCTS LTD.,TEA,3463950
AVY TEXPORT,COTTON GARMENTS,1018
AWAFI INTERNATIONAL GROUP,FOOD STUFFS,4142
AY TEE CEE FOOTCARE,CHAPPALS,32321
AYISH TRADERS,COTTON GARMENTS,32
AYKARA PHARMACEUTICALS,MEDICINES,1210
AYSHA EXPORTS,FOOD STUFFS,17500
AYUR PANCHAKARMA EQUIPMENTS,AYURVEDICA TREATMENT EQUP.,550
AYUSH JYOTHI PANCHAKARMA EQUIPMENTS,AYURVEDIC PRODUCTS,30
AYVA APPARELS P.LTD.,COTTON GARMENTS,2170
AYYA  APPARELS,COTTON GARMENTS,759
AZHIKAL BROTHERS,RICE,21000
B.C.IMPEX,COTTON GARMENTS,20555
B.K.ENGINEERING,SPARES,11340
B.K.S. TEXTILES PRIVATE LTD,COTTON GARMENTS,1293
B.N.T. CONNECTIONS,COTTON GARMENTS,7944
B.P. EXPORTS,COTTON GOODS,20728
B.P. IMPEX,COTTON GARMENTS,490
B.S. SANTHOSH,COFFEE,57600
B.S.RUBBERS,RUBBER MATS,554904
B.S.TEX,COTTON GOODS,8711
BABIN TECHNOLOGIES,PRESSURE COOKER,9321
BABU COIR WORKS,RUBBERISED COIR MATS,1134556
BABY MARINE EASTERN EXPORTS,FROZEN SHRIMPS,1139398
BABY MARINE INTERNATIONAL,FROZEN SQUID,1438568
BABY MARINE SARASS,FROZEN SHRIMPS,601000
BAFNA ENTERPRISES,TURMERIC,624548
BAKEMILL FOODS,FOOD STUFFS,61165
BALAJI FABRICS,COTTON GARMENTS,2500
BALAJI IMPEX,COTTON GARMENTS,5341
BALAJI MACHINE TOOLS,TOOLS,189
BALAXI OVERSEAS P.LTD.,WELDING ELECTRODES,216000
BALIN CLOTHING,COTTON GARMENTS,508
BAMS CONDIMENTS IMPEX (P) LTD.,RICE,1156887
BANAN GLOBAL TRADING,FOOD STUFFS,8276
BANRO EXPORTS,SPICES,24000
BARAF INTERNATIONAL,FANCY ITEMS,4808
BARAKA OVERSEAS TRADERS,FROZEN MARINE FOODS,40586
BARAKATH GARMENTS(INDIA)P.LTD.,COTTON GOODS,75331
BARAMY EXPORTS,COIR YARN,16410
BARANI HYDRALICS  INDIA P.LTD.,VALVES,38017
BASCO FOODS (INDIA )PVT. LTD ,RICE,92699
BASE EXPORTS,COTTON GARMENTS,291
BASF INDIA LTD.,CHEMICALS,27404
BASIC COTTON BOOK,COTTON GARMENTS,3816
BASKI EXPORTS & IMPORTS,SPARES,1200
BATHRI BATHWARE(I)P.LTD.,BATHROOM ACCESSORIES,16850
BATHSHA MARINE EXPORTS,FROZEN YELLOW TUNA,1195144
BATLEYS NUTRIMENTS INDIA P.LTD.,FOOD STUFFS,19697
BEACH SAND MINERALS,SILLIMANITE SAND,49100
BEENA CASHEW CO.,CASHEW KERNELS,213126
BEENA COIR WORKS,COIR MATS,21749
BEETEX INDUSTRIES,KITCHEN FIXTURES,8935
BEFFY CASHEW CO.,CASHEW KERNELS,770852
BELL EXIM P.LTD.,FROZEN MARINE FOODS,18000
BELL FOODS,FROZEN SQUID,2496982
BEML LTD.,SPARES,1350
BENLION COIR INDUSTRIES,COIR PITH,1381008
BENNYS BIO COIR,COIR PITH,137990
BENSO GARMENTS,COTTON GARMENTS,3818
BESCOAT,KAOLIN,54095
BEST CORPORATION LTD.,COTTON GARMENTS,48880
BEST DEALS,CHAPPALS,14500
BEST ENGINEERING COMPANY,SPARES,900
BETA HEALTH CARE PRODUCTS P.LTD.,SURGICAL GLOVES,309761
BETA POWER CONTROLS,SPARES,2880
BETHANYA CASHEW COMPANY,CASHEW KERNELS,138504
BETHSAIDA CASHEW COMPANY,CASHEW KERNELS,172334
BHANSALI & CO.,TEA,2677338
BHARATH PAPER CONVERSIONS,PAPER CONES,197455
BHARATH PETROLIUM CORPN.LTD.,CHEMICALS,1666
BHARATH VAIDYASALA,AYURVEDIC PRODUCTS,1500
BHOOMI NATURAL PRODUCTS & EXPORTS ,OLEORESINS OF SPICES,26247
BHUVANESWARI TEX,COTTON GOODS,54367
BIG BAG INTERNATIONAL P. LTD.,P.P.WOVEN BAGS,11147520
BIO FLAME,BIO GAS PLANT,800
BIOGROW SUBSTRATES INDIA,COIR PITH,3104656
BIOINGREDIA NATURAL P.LTD.,OLEORESINS OF SPICES,28121
BIOWIN AGRO RESEARCH,SPICES,2136278
BIPHA DRUG LABORATORIES,MEDICINES,1984
BISMI CASHEWS,CASHEW KERNELS,228504
BISMI CATERING SERVICES,MACHINERIES,2947
BISMI TRADING COMPANY,RICE,174100
BISMILLAH INTERNATIONAL,RUBBER MATS,497
BLACK DAMMER ENTERPRISES P.LTD.,FOOD STUFFS,136000
BLACK SHADOW DESIGNERS,COTTON GARMENTS,731
BLASTLINE  INDIA,SPARES,91046
BLOOM CRAFT,COTTON GOODS,8881
BLOOMS ENTERPRISES,MACHINERIES,2300
BLUE BREEZE ENTERPRISE,COTTON GARMENTS,190146
BLUE CLOTHING,COTTON GARMENTS,35072
BLUE COSTAL EXPORTS P.LTD.,COCONUTS,52520
BLUE LEAF TRADING COMPANY,RICE,923673
BLUE MOUNTAIN TEA & COMMODITIES P.LTD.,TEA,1982870
BLUE SEA (INDIA) EXPORTS,FROZEN SHRIMPS,68400
BLUE STAR APPARELS,COTTON GARMENTS,4317
BLUE STAR COFFEE CURING WORKS,COFFEE,38400
BLUE STRIPES APPARELS,COTTON GARMENTS,35825
BLUE WIN CLOTHING COMPANY,COTTON GARMENTS,1970
BLUECREST FROZEN FOODS P.LTD.,FROZEN SHRIMPS,636613
BLUELINE FOODS,FOOD STUFFS,653452
BLUEMOUNTAIN EXPORTERS,ROSEWOOD PRODUCTS,14074
BNS EXPORTS,ARECANUT,6104
BODY LAND GARMENTS P.LTD.,COTTON GARMENTS,104731
BODYGEAR INTERNATIONAL(P)LTD.,PLUSH TOYS,322816
BOLA RAGHAVENDRA KAMATH & SONS,CASHEW KERNELS,15000
BOMBAY BURMAH TRADING CORPN.,TEA,594495
BOMMIDALA ENTERPRISES P.LTD.,WHISKY,235364
BONHEUR FABS,COTTON GARMENTS,2661
BOS NATURAL FLAVORS P.LTD.,SPICES,504235
BOSE EXPORTS,RUBBER MATS,15432
BRAHMINS FOOD INDIA P.LTD.,RICE,932498
BRAND RUBBER,RUBBER MATS,11143
BRIGHT ENGINEERING COMPANY,SPARES,2355
BRIGHT TYRE MOULDS&ENGINEERINGS WORKS,MACHINERIES,2750
BROCADE INDIA PLYTEX LTD.,P.P.WOVEN BAGS,523662
