Exporter,Product,QTY.(KGS)
12D APPARELS&CORPORATE SUPPLIERS,COTTON GARMENTS,800
2M INDUSTRIAL ENTERPRISES LLP,AUTOMOBILES PARTS,12818
A & B TOOLLERS,SPARES,3060
A & T EXPORTS,RICE,72000
A L M ENDEAVOURS,FURNITURE,5309
A TO Z PACKAGINGS,PACKING MATERIALS,574
A&A REFERIGERATION&ENGINEERING WORKS,SPARES,2560
A-1 CHIPS AND EXPORTS(I)P.LTD.,FOOD STUFFS,131883
A. TOSH & SONS (I) LTD.,TEA,2420330
A.A.K INTERNATIONAL EXPORTERS,COCONUTS,52500
A.A.K.EXPORTS,COCONUTS,110800
A.B.R.GARMENTS P.LTD.,COTTON GARMENTS,2613
A.C.N. TEXTILES P. LTD.,COTTON GARMENTS,334765
A.F.CASHEW,CASHEW KERNELS,15000
A.G.M TRADING,COCONUTS,53250
A.G.R.APPARELS,COTTON GARMENTS,19355
A.G.S.FASHION,COTTON GARMENTS,1439
A.I. ENTERPRISES,COTTON GOODS,128007
A.J. EXPORTS,COCONUTS,26130
A.K. AHAMED MODERAN RICE MILL,RICE,24000
A.K.PLYWOOD P.LTD.,PLYWOOD,10
A.K.R. TEXTILES,COTTON GOODS,568203
A.K.S.EXIM INDIA,GINGER,8000
A.K.VENEERS,PLYWOOD,30000
A.M.FISHERIES,FROZEN SHRIMPS,3308895
A.M.K.EXPORTS,CASHEW KERNELS,236384
A.M.OVERSEAS,GRANITE SLABS\TILES,5687
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,117694
A.M.S. TRADING COMPANY,COCONUT OIL,26830
A.N.G. OVERSEAS,FOOD STUFFS,43000
A.N.S.,COTTON GOODS,26236
A.P.D.EXPORTS,COTTON GARMENTS,3843
A.P.ENGINEERS,AIR COMPRESSORS,197771
A.R. EXPORTERS & IMPORTERS,COCONUTS,26220
A.R. TRADING CO,COFFEE,100800
A.R.INDUSRTRIES,RUBBER MOULDES GOODS,12402
A.R.INDUSTRIES,RUBBER MOULDES GOODS,7827
A.S.K. APPARELS,COTTON GOODS,127016
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,2093155
A.S.P. & SON ENTERPRISES P.LTD.,COCONUTS,21705
A.S.TRADERS,COPRA DRY,25500
A.S.TRADING,FOOD STUFFS,7400
A.T.R. BAKERS&FOOD PRODUCTS,FOOD STUFFS,32426
A.V.FASHION,COTTON GARMENTS,539
A.V.THOMAS & CO. LTD.,TEA,443430
AADHYA INGREDIENTS,SPICES,15000
AANAM AGRO EXPORTING CO.,COCONUTS,13150
AANCHAL ENTERPRISES,PLYWOOD,1313589
AARABHI EXPORTS,RICE,104852
AARON AGENCIES,PLASTIC PRODUCTS,19425
AARSHAVEDA WELLNESS PVT LTD,GENERAL CARGO,2008
AASHA BIOCHEM,FISH OIL,15760
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,47084
AAYDEE EXPORTS P.LTD.,COTTON YARN,625357
AAZRA MARINE INDUSTRIES,FROZEN SHRIMPS,374660
AB MAURI INDIA P.LTD.,TURMERIC POWDER,3834622
ABA APPARELS,COTTON GARMENTS,10288
ABAD EXIM P. LTD.,FROZEN SQUID,718128
ABAD FISHERIES,FROZEN SQUID,6075897
ABAD OVERSEAS,FROZEN MARINE FOODS,9000
ABB LTD.,ELECTRICAL ITEMS,687049
ABDUL SALAM MANJANA,PUTTU MAKER,160
ABHEK LIFE STYLES,COTTON GARMENTS,70
ABI EGG TRADERS,EGGS,27071
ABI SOURCING,COTTON GARMENTS,55797
ABIL TEXTILES,COTTON GARMENTS,6959
ABIRAMI TECHNOLOGIES LTD.,SPARES,7220
ABISHA EXPORTS,COCONUTS,27500
ABISHEK EXPORTS,COTTON GOODS,151590
ABLE ENGINERRING COMPANY,STEEL PRODUCTS,26620
ABM MARINE PRODUCTS,FROZEN SQUID\CUTTLEFISH,1256905
ABN TRADERS,SPICES,821832
ABU IMPEX,COCONUTS,27930
ABUFAIZAL EXPORTS,RICE,53804
ACCELERATED FREEZE DRYING CO LTD.,SPICES,1190201
ACCUMENS ENGINEERING,SPARES,1600
ACCUPLAST TECHNOLIOGIES,PLASTIC PRODUCTS,357135
ACE FINE PACK P.LTD.,SPARES,305
ACHAL INDUSTRIES,RUBBER MATS,400
ACTIVE CHAR PRODUCTS P.LTD.,ACTIVATED CARBON,1164078
ADAM TRADING COMPANY,RICE,18000
ADARSH KNITWEAR P.LTD.,COTTON GARMENTS,14547
ADCO CHEMICALS,CHEMICALS,24144
ADD PRINT(INDIA)ENTERPRISES P.LTD.,PLASTIC PRODUCTS,435
ADDRESS APPAREL,COTTON GARMENTS,6322
ADIDEV GROUP OF INDUSTRIES,SPICES,50000
ADIL TEXTILES PVT LTD,COTTON YARN,113005
ADITRI ENTERPRISES,PRINTED MATERIALS,5679
ADITYA TRADING CO.,TEA,864786
ADON EXPORTS,FOOD STUFFS,10848
ADRASH KNITWEAR,COTTON GARMENTS,862
ADVANCED MEDICAL TECHNOLOGIES,SURGICAL GLOVES,6200
ADVENT FOUNDRY & ALLIED SUPPLIES P.LTD.,FOUNDRY CONSUMABLES/EQUIPMENTS,107866
ADVIKA EXPORTS,COTTON GARMENTS,2059
ADVIN INTERNATIONAL,JUTE PRODUCTS,18973
ADWAITH LAKSHMI INDUSTRIES LTD.,COTTON GOODS,54503
AEON COMMODITIES,TEA,40317
AERATH BUSINESS CORPORATION,FOOD STUFFS,554902
AFFCO EXIM P. LTD.,COIR MATS,4700
AFFCO IMPEX P.LTD.,FOOD STUFFS,29325
AFFORD EXIM,PACKING MATERIALS,10948
AFRAS CASHEW  TRADERS,CASHEW KERNELS,197751
AFRIS CASHEW,CASHEW KERNELS,15000
AGAPPE DIAGNOSTICS LTD.,ORTHOPEADIC APPLIANCES,20185
AGASH PLAST INDIA,PLASTIC PRODUCTS,42826
AGGARWAL TEXTILES,COTTON YARN,13192
AGHIN AGRO FOOD INDUSTRIES P.LTD.,RICE,47998
AGM TRADING,COCONUTS,27460
AGNEYA AGRO AND ENGING.LTD.,SPARES,2206
AGNI APPARELS,COTTON GARMENTS,32722
AGREENCO FIBRE FOAM P.LTD.,RUBBERISED COIR MATRESSES,4210
AGRI START BIOTECH,FRUITS,55440
AGRO BROTHERS COIR CO.,COIR PITH,756580
AGRO COMMODITIES,COFFEE,243257
