Exporter,Product,QTY.(KGS)
2M COMPONENTS LLP,SPARES,36531
2M LIFTS AND ESCALATORS P.LTD.,LIGHT ASSAY MATERIALS,36966
3 KINGS,GENERAL CARGO,540
4R FLEXIBLES LLP,PACKING MATERIALS,75057
7TH FOOD FACTORY,FOOD STUFFS,33675
A AND APPARELS,COTTON GARMENTS,4508
A AND S APPRELS,COTTON GOODS,7771
A ARUNANCHALAM & COMPANAY,GHEE,13595
A-1 CHIPS AND EXPORTS(I)P.LTD.,TAPIOCA CHIPS,18208
A. TOSH & SONS (I) LTD.,TEA,129923
A.1 ENTERPRISES,COTTON GOODS,98949
A.1ENTERPRISES,COTTON GOODS,72251
A.A. EXPORTS,COCONUTS,28850
A.A.K.EXPORTS,COCONUTS,85500
A.B.EXPORTERS,COCONUTS,54500
A.B.EXPORTS,COCONUTS,28560
A.B.MARINE  INTERNATIONAL,FROZEN MARINE FOODS,23000
A.BLUES CLOTHING,COTTON GOODS,9391
A.C.N. TEXTILES P. LTD.,COTTON GOODS,141698
A.F.CASHEW,CASHEW KERNELS,76625
A.G.R.APPARELS,COTTON GOODS,14213
A.K. AHAMED MODERAN RICE MILL,RICE,1653150
A.K.EXPORTS,COTTON GOODS,59716
A.K.KNITS,COTTON GOODS,1673
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,57003
A.K.TRADE LINKS,RUBBER MATS,54746
A.K.TRADERS,RICE,162680
A.K.TRADING,FOOD STUFFS,20000
A.M.AGRO FRUITS P.LTD.,COCONUTS,84500
A.M.FISHERIES,FROZEN YELLOW TUNA,3315054
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,75752
A.N.EXPORTS,COTTON GARMENTS,4213
A.N.G. OVERSEAS,RICE,74000
A.N.P.APPARELS,COTTON GOODS,37999
A.P.ENGINEERS,WATER TREATMENT MACHINERIES,451180
A.R. INTERNATIONAL,FOOD STUFFS,1236
A.R.INDUSTRIAL SOLUTIONS,PIPE FITTINGS,5250
A.R.PIPES,PIPE FITTINGS,9808
A.S.M.KNITS,COTTON GOODS,4701
