Exporter,Product,QTY.(KGS)
12D APPARELS&CORPORATE SUPPLIERS,COTTON GARMENTS,251
2M COMPONENTS LLP,SPARES,76246
3 SQUIRE,COIR MATS,750
4 HEALTH,HERBAL  EXTRACTS,11611
4 YOU IMPEX P.LTD.,COCONUTS,55522
7 SKY INTERNATIONAL,PLYWOOD,586500
A & B TOOLLERS,SPARES,7558
A-1 CHIPS AND EXPORTS(I)P.LTD.,FOOD STUFFS,41974
A. TOSH & SONS (I) LTD.,TEA,1816853
A.A.ENTERPRISES,FOOD STUFFS,20000
A.C.K.D.FOOD FACTORY  LLP,FOOD STUFFS,29370
A.C.N. TEXTILES P. LTD.,COTTON GOODS,231136
A.D.INDUSTRIES,PACKING MATERIALS,59979
A.F.CASHEW,CASHEW KERNELS,15000
A.G.L. FOOTCARE,CHAPPALS,3060
A.G.R.APPARELS,COTTON GARMENTS,21155
A.I. ENTERPRISES,FOOD STUFFS,133198
A.K. AHAMED MODERAN RICE MILL,RICE,24000
A.K. INDUSTRIES,SPARES,1029
A.K.R. TEXTILES,COTTON GOODS,197687
A.K.R.INDUSTRIES P.LTD.,SPARES,346154
A.M.EXPORTERS,COCONUT SHELLS\CUPS,15925
A.M.FISHERIES,FROZEN SHRIMPS,2385049
A.M.K.EXPORTS,CASHEW KERNELS,135876
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,111772
A.N.G. OVERSEAS,RICE,116266
A.N.S.,COTTON GOODS,18882
A.P. GLOBAL MARKETING,COCONUTS,27000
A.P.D.EXPORTS,COTTON GARMENTS,1284
A.P.ENGINEERS,WATER TREATMENT MACHINERIES,293091
A.P.MURUGAN & CO.,TYRES/TUBES,7472
A.R. TRADING CO,COFFEE,174790
A.R.INDUSRTRIES,RUBBER MOULDES GOODS,3448
A.R.K.TEX,COTTON GARMENTS,3627
A.S.K. APPARELS,COTTON GOODS,210735
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,1857700
A.S.P. & SON ENTERPRISES P.LTD.,FOOD STUFFS,33783
A.T.R. BAKERS&FOOD PRODUCTS,FOOD STUFFS,16824
A.V.THOMAS & CO. LTD.,TEA,412682
AADHAVAN ENTERPRISES,COCONUTS,28000
AADHI EXPORTS,COTTON GARMENTS,6589
AADHYA INGREDIENTS,SPICES,15000
AADRICS AGRO,COCONUT OIL,1558
AAHANA INTERNATIOAL LLP,COTTON GARMENTS,59360
AALIBA KARAK INDIA P.LTD.,TEA,11000
AANCHAL ENTERPRISES,PLYWOOD,714980
AANCHERY DRUGS,MEDICINES,922
AANYA EXPORTS,P.P.WOVEN BAGS,21733
AARA TEX,COTTON GARMENTS,9414
AARABHI EXPORTS,FOOD STUFFS,136384
AARADHYA EXPORTS,COCONUTS,85200
AARON AGENCIES,PLASTIC PRODUCTS,44898
AARUDHRHA FASHION,COTTON GARMENTS,9058
AASHA BIOCHEM,FISH OIL,7350
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,60401
AAYDEE EXPORTS P.LTD.,COTTON YARN,537016
AAZRA MARINE INDUSTRIES,FROZEN MARINE FOODS,48000
AB MAURI INDIA P.LTD.,TURMERIC POWDER,5135462
ABA APPARELS,COTTON GARMENTS,34645
ABAD EXIM P. LTD.,FROZEN SQUID,845349
ABAD FISHERIES,FROZEN SQUID,6054924
ABB LTD.,ELECTRICAL ITEMS,403311
ABC INTERNATIONAL,FOOD STUFFS,6127
ABEY JACOB,PERSONAL EFFECTS,1545
ABHI EXPORTS,RICE,308025
ABI EGG TRADERS,COCONUTS,28000
ABI SOURCING,COTTON GARMENTS,22696
ABIN CASHEW,CASHEW KERNELS,30000
ABINAYA GARMENTS,COTTON GARMENTS,141
ABIRAMI EXPORTS,COTTON GARMENTS,7200
