Exporter,Product,QTY.(KGS)
2M INDUSTRIAL ENTERPRISES LLP,SPARES,10260
5P HORTIPLEX,LIVE PLANTS,20000
A & B TOOLLERS,SPARES,3175
A HANDICRAFTS,COCONUTS,53000
A ONE BUSINESS,COTTON GARMENTS,2928
A PLUS B INDUSTRIES,RUBBER MATS,49766
A-1 CHIPS AND EXPORTS(I)P.LTD.,BANANA CHIPS,78994
A. TOSH & SONS (I) LTD.,TEA,476080
A.1ENTERPRISES,COTTON GARMENTS,7970
A.A.&N EXPORTS,COTTON GOODS,1385
A.A.NUTS,CASHEW KERNELS,1346288
A.A.SNACK,CASHEW KERNELS,142884
A.B.C. GARMENTS,COTTON GARMENTS,3643
A.B.MARINE  INTERNATIONAL,FROZEN MARINE FOODS,20000
A.C.N. TEXTILES P. LTD.,COTTON GOODS,241024
A.G.ENTERPRISES,GENERAL CARGO,990
A.G.K AGRO PVT LTD,FOOD STUFFS,41000
A.G.R.APPARELS,COTTON GARMENTS,4161
A.J. INDUSTRIES,CASHEW KERNELS,2000
A.K. AHAMED MODERAN RICE MILL,RICE,214500
A.K.ENGINEERING,SPARES,212
A.K.M CASHEWS,CASHEW KERNELS,120000
A.K.M.SULAIMAN,PEPPER,248350
A.K.R. TEXTILES,COTTON GOODS,441797
A.K.TRADING,ELECTRICAL ITEMS,1660
A.M. INDUSTRIES,GRAPHITE MATERIAL,14000
A.M.FISHERIES,FROZEN MARINE FOODS,1374800
A.M.K.EXPORTS,CASHEW KERNELS,142008
A.M.MOHAMMED USMAN & BROS.,PIPE FITTINGS,10120
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,176099
A.M.S. TRADING COMPANY,GINGELLY OIL,202834
A.N.FOUNDRY,SPARES,2052
A.N.P.APPARELS,COTTON GARMENTS,2721
A.N.S.,COTTON GOODS,17072
A.P. GLOBAL MARKETING,COCONUTS,56000
A.P.D.EXPORTS,COTTON GOODS,36202
A.P.ENGINEERS,SPARES,139924
A.R.INDUSTRIES,RUBBER MOULDES GOODS,1576
A.R.J.EXPORTS,COTTON GARMENTS,309
A.R.K.TEX,COTTON GARMENTS,408
A.S.K. APPARELS,COTTON GOODS,196727
A.S.M.KNITS,COTTON GARMENTS,854
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,883280
A.S.P. & SON ENTERPRISES P.LTD.,COCONUTS,763665
A.T.R. BAKERS&FOOD PRODUCTS,FOOD STUFFS,45547
A.V.FASHION,COTTON GOODS,10762
A.V.THOMAS & CO. LTD.,TEA,613131
A.W TRADE IMPEX LLP,COCONUTS,84000
AADHI EXPORTS,FOOD STUFFS,7801
AARGEE ASSOCIATES,RUBBER MATS,793
AARON AGENCIES,SAND BLAST POT,8000
AARONS,RUBBER MATS,655486
AASHA BIOCHEM,FISH OIL,11002
AAZRA MARINE INDUSTRIES,FROZEN SHRIMPS,359290
AB MAURI INDIA P.LTD.,TURMERIC POWDER,3048882
ABAD EXIM P. LTD.,FROZEN SQUID,170236
ABAD FISHERIES,FROZEN SQUID,5109702
ABAD OVERSEAS,FROZEN SHRIMPS,838146
ABB LTD.,ELECTRICAL ITEMS,779012
ABC GARMENTS,COTTON GARMENTS,4095
ABC INTERNATIONAL,COTTON GARMENTS,21170
ABI SOURCING,COTTON GARMENTS,26747
ABIRAMI EXPORTS,COTTON GARMENTS,393
ABISHA EXPORTS,COCONUTS,26200
ABISHEK EXPORTS,COTTON GARMENTS,566035
ABLA IMPEX P.LTD.,MACHINERIES,9750
ABM MARINE PRODUCTS,FROZEN SQUID,461980
ABN TRADERS,RICE,702590
ABUFAIZAL EXPORTS,RICE,110642
ACCELERATED FREEZE DRYING CO LTD.,GREENPEAS/DAL ETC.,237764
ACCOLADE INTERNATIONAL INC.,PEPPER,14000
ACCURATE SYSTEMS,SPARES,3575
ACE MANUFACTURING SYSTEMS LTD.,MACHINERIES,5300
ACHAL CASHEWS P. LTD.,CASHEW KERNELS,4762
ACHUTHA ENTERPRISES,KITCHEN ITEMS,1150
ACME CLOTHING,COTTON GARMENTS,3405
ACTIVE CHAR PRODUCTS P.LTD.,ACTIVATED CARBON,2458952
ACTUAL TRADERS,ROSEWOOD PRODUCTS,1390
ADANI FOOD PRODUCTS,PEPPER,30112
ADARSH KNITWEAR P.LTD.,COTTON GOODS,33997
ADD PRINT(INDIA)ENTERPRISES P.LTD.,SPARES,3696
ADHINATH TEXTILES MILLS,COTTON GARMENTS,3076
ADHIRA EXPORTS,COTTON GARMENTS,1476
ADHUVIKHA EXPORTS,RUBBERISED COIR PADS,2460
ADIDEV GROUP OF INDUSTRIES,PEPPER HUSK,7236
ADIL TEXTILES PVT LTD,COTTON YARN,536432
ADITI CREATION,COTTON GOODS,11599
ADITYA BIRLA BUVO LTD.,COTTON GARMENTS,54362
ADITYA TRADING CO.,TEA,1167991
ADONIS MARKETING,COTTON GARMENTS,4112
ADORN GLASS ART,GLASS,4500
ADRASH KNITWEAR,COTTON GARMENTS,615
ADVANCE FINE MATERIALS,ALUMINIUM POWDER,8300
ADVENT FOUNDRY & ALLIED SUPPLIES P.LTD.,SPARES,17027
ADVENT FOUNDRY&ALLIED SUPPLES P.LTD.,MAGNESITE,11720
ADVENT STONE CALIBARATION P.LTD.,GRANITE SLABS\TILES,19000
ADVIN INTERNATIONAL,RUBBER MATS,92079
ADWAITH LAKSHMI INDUSTRIES LTD.,COTTON GOODS,2963
AEON COMMODITIES,TEA,39376
AERATH BUSINESS CORPORATION,TAPIOCA,397877
AFEEF CASHEW,CASHEW KERNELS,1177290
AFH INTERNATIONAL TRADING  P.LTD.,COCONUTS,26500
AGAPPE DIAGNOSTICS LTD.,MEDICAL EQUIPMENTS,1185
AGARAM KNITTERS,COTTON GARMENTS,7904
AGARMET INTERNATIONAL,TEA,947
AGASH PLAST INDIA,PLASTIC PRODUCTS,56754
AGATHY KNIT,COTTON GOODS,19968
AGGARWAL TEXTILES,COTTON GOODS,9450
AGI APPARELS,COTTON GOODS,5102
AGNI APPARELS,COTTON GOODS,49637
AGNI EXPORTERS,COTTON GARMENTS,5100
AGRO BROTHERS COIR CO.,COIR PITH,622620
AGRO ENGINEERING&MACHINERIES,MACHINERIES,4200
AGRO PRODUCTS & AGENCIES,TURMERIC POWDER,15358
AHEAD IMPEX,COTTON GARMENTS,4570
AHILL KNIT EXPORTS,COTTON GOODS,1831
AHLL KNIT EXPORTS\,COTTON GARMENTS,992
AIM OVERSEAS,SPICES,97235
AIR CARE ENGINEERING TECHNOLOGIES,MACHINERIES,7365
AIRLINES EXPORTS,COIR ROPE,7850
AISWARYA CASHEW COMPANY,CASHEW KERNELS,15000
AJMI FLOUR MILL(I)P.LTD.,RICE POWDER,31600
AJWA EXPORTING CO.,SPICES,68358
AKAY FLAVOURS & AROMATICS LTD.,TURMERIC,1386051
AKAY SPICES P.LTD.,TURMERIC,533042
AKG INDIA P.LTD.,COOLER,28478
AKRUTHI APPARELS,COTTON GOODS,453889
AKSHARA GARMENTS,COTTON GARMENTS,2032
AKSHAYA TEXTILE,COTTON GARMENTS,2775
AL AHLI EXPORTERS,CHAPPALS,12800
AL BADRA SEAFOODS P.LTD.,FROZEN MARINE FOODS,394673
AL BARAKHA EXPORTS,PUMPS/PUMPS  PARTS,11841
AL GLOBAL STAR,COFFEE,211200
AL HAR INTERNATIONAL,COCONUTS,53500
AL KHATBI EXPORTS,COTTON GARMENTS,4356
AL MASS INTERNATIONAL,COCONUTS,41500
AL SAFEER EXPORTS,CHAPPALS,5600
AL-AMEEN EXPORTERS,COTTON GARMENTS,1577
AL-AZIZ & COMPANY,CASHEW KERNELS,395672
AL-GAYATHRI TRADING CO. P. LTD.,TEA,1408439
AL-JAMIA ENTERPRISES,PEPPER,5000
AL-MELA MARKETING P.LTD.,CHOCOLATE PRODUCTS,8660
AL-NARZ RUBBERS,RUBBER PRODUCTS,6000
AL-SADIQ IMPORT & EXPORT,MACHINERIES,23092
AL-SHABIB TRADING CO.,RICE,46305
ALAGAR APPARELS,COTTON GARMENTS,6934
ALAIJA RUBBER FACTORY,CHAPPALS,14173
ALAN TECH INDISTRIAL SOLUTIONS,SPARES,29970
ALBERTS ARTS COLLECTIONS,FURNITURE,75
ALEPHA ENTERPRISES,CASHEW KERNELS,285678
ALEX MACHINES,MACHINERIES,9500
ALFFA PLASTICS,PLASTIC PRODUCTS,1230
ALGA INTERNATIONAL,FROZEN RIBBON FISH,51000
ALIES ESSENTIAL TRADING,FROZEN MARINE FOODS,39094
ALIF ENTERPRISES,FOOD STUFFS,15048
ALIF EXPORTS,KITCHEN ITEMS,4714
ALIF PACKS,PACKING MATERIALS,1003
ALIFF EXIM,COTTON GOODS,27530
ALIN CASHEW TRADERS,CASHEW KERNELS,120000
ALINA AV ENTERPRISES,COCONUTS,28350
ALIYA  CASHEW EXPORTS,CASHEW KERNELS,29742
ALLAKKAT INTERNATIONAL,COIR MATS,7312
ALLANASONS LTD.,COFFEE,7498538
ALLEPPEY BALERS P.LTD.,JUTE RUGS,5312
ALLEPPEY CO. LTD.,RUBBERISED COIR MATS,4420479
ALLIED CASHEW INDUSTRIES,CASHEW KERNELS,15876
ALLKOSHYS ALLSPICES,GREEN PEPPER IN BRINE,542133
ALOK INDUSTRIES,COTTON GOODS,969
ALPHA ENTERPRISES,CASHEW KERNELS,47628
ALPHA EXPORTS,COTTON GOODS,2438
ALPHA INTERNATIONAL,CASHEW KERNELS,633612
ALPHACRAFT P.LTD.,MACHINERIES,27840
ALPHONSA CASHEW INDUSTRIES,CASHEW KERNELS,1878064
ALPIN KNITS,COTTON GARMENTS,603
ALSTOM INSTRUMENT TRANSFORMER,MACHINERIES,14514
ALSTOM TRANSPORT,SPARES,91970
ALUMINIUM INDUSTRIES LTD.,ALUMINIUM UTENSILS,2115
AM SQUARE TRADE LINKS,FOOD STUFFS,2180
AMACO IMPEX P.LTD.,TEA,197951
AMAIN APPARELS INDIA P.LTD.,COTTON GARMENTS,3870
AMALGAM NUTRIENTS & FEEDS LTD.,DRIED CLAM,13740
AMANATH ARAFATH APPARELS,COTTON GARMENTS,43004
AMANCO FIRE & SAFETY,FIRE FIGHTING ACCESSORIES,8970
AMAR EXPORTS,SPICES,44637
AMAR SINGH CHAWAL WALA,RICE,63000
AMAZING EXPORT CORPORATION,COTTON GARMENTS,256
AMBA EXPORTS,FOOD STUFFS,7500
AMBADI ENTERPRISES LTD.,COTTON GOODS,4362
AMBAL CREATIONS,COTTON GARMENTS,135
AMBARAM TEMPLE CONSTRUCTIONS ,DOOR FRAMES,16500
AMBER INTERNATIONAL TRADING,COCONUTS,209908
AMBICO INTEGRATED MARKETING,COTTON FABRICS,5032
AMBIKA COTTON MILLS LTD.,COTTON YARN,19262
AMBO EXPORTS  LTD.,TEA,192629
AMEEN EXPORTS & IMPORTS(P)LTD.,TURMERIC POWDER,232892
AMES FOODS PROCESSORS INDIA P.LTD.,CASHEW KERNELS,172612
AMMA WOODS P.LTD.,PLYWOOD,17910
AMRITA ENTERPRISES LTD.,SPARES,14092
AMRUTHA ENTERPRISES,AYURVEDIC PRODUCTS,5890
AMUL DEHYDRATION,PEPPER,12000
ANAND INTERNATIONAL,HOSPITAL PRODUCTS,860
ANAND TEX KNIT,COTTON GOODS,503
ANAND TEXTILES,COTTON GOODS,64532
ANANDHA FABRICATIONS(CBE)P.LTD.,SPARES,1750
ANANKE INDIA P.LTD.,OLEORESINS OF SPICES,31663
ANASWARA OFFSET P.LTD,PRINTED MATERIALS,5240
ANCHUTHARA FOOD PRODUCTS,RICE,125309
ANCHUTHENGIL AGRI SUPPLY,COVER CROP SEEDS,14663
ANGEL CASHEWS,CASHEW KERNELS,15876
ANGELA COIR MILLS,COCONUTS,319500
ANIL CASHEWS,CASHEW KERNELS,15000
ANITA EXPORTS,TEA,216770
ANJALA EXPORTS,COTTON GARMENTS,3604
ANJANA EXPORTS,RUBBER MATS,24000
ANJANEYA TRADERS,COCONUTS,148373
ANJEENA EXPORTS,RUBBER MATS,20266
ANJIPARAMBIL ASSOCIATES,CLOVES,844
ANN IMPEX HOUSE OF SPICES,TURMERIC,185982
ANNA ALUMINIUM  COMPANY P.LTD.,UTENSIL,1894525
ANNA MALAI EXIM,COIR PITH,4329750
ANNAI SURAKSHA AGRO & COCONUT EXPORTS,COCONUTS,28300
ANNS FLOOR DECORATION,RUBBER MATS,53888
ANSWER MARK EXPORTS&IMPORTS P.LTD.,COCONUTS,79800
ANTHONY GARMENTS,COTTON GOODS,32597
ANTICHEM EQUIPMENT,WOODEN PARTS,110
ANTON EXPORTS&IMPORTS,COIR MATS,7057
ANU CASHEWS,CASHEW KERNELS,197157
ANUGRAHA FASHION MILL P.LTD.,COTTON GARMENTS,3675
ANUSAM APPARELS,COTTON GARMENTS,35831
ANUSHRI FASHION INDIA,COTTON GOODS,34917
APAGU TRADING,COTTON GARMENTS,3774
APEX FASHION,COTTON GOODS,1060
APEX MSTCH CONSORTIUM INDIA P.LTD.,COIR PITH,59213
APEX RUBBER,RUBBER MATS,1500
APOLLO TYRES LTD.,TYRES/TUBES,17173759
APPAREL WORLD,COTTON GARMENTS,5455
AQUA CARE SYSTEMS,ACCESSORIES,310
AQUA GENO EXIM,FROZEN MARINE FOODS,869736
AQUA MARINE EXPORTS,FROZEN YELLOW TUNA,142000
AQUA SEAFOOD(INDIA)P.LTD.,FROZEN YELLOW TUNA,1648460
AQUARELLE INDIA PVT LTD,COTTON GARMENTS,9334
AQUASTAR MARINE FOODS,FROZEN SHRIMPS,977600
AQUASUB ENGINEERING,PUMPS/PUMPS  PARTS,269946
AQUATIC FISHERIES,FOOD STUFFS,5910
ARA MATS INTERNATIONAL,RUBBER MATS,998372
ARAKU ORIGINALS LTD.,INSTANT COFFEE,21737
ARANI EXPORTS,COTTON GARMENTS,915
ARANYA AYURVEDA VAIDYA,HAIR OIL,724
ARASAN ALUMINIUM INDUSTRIES,ALUMINIUM POWDER,13200
ARASAN BUSINESS COMBINES P.LTD.,GENERAL CARGO,510
ARASCO FRUIT PRODUCTS,PICKLES,29990
ARBEE AGENCIES,FISH OIL,93440
ARC COIR YARN TRADING CO.,RUBBER MATS,8104
AREM FASHIONS,COTTON GARMENTS,1145
ARIANE TOOLS & COMPONENTS,TOOLS,277875
ARICIA INDIA INTERNATIONAL P.LTD.,RUBBER MATS,81016
ARIHANT APPARELS,COTTON GOODS,14805
ARIKKAT EXPORTS,COTTON GARMENTS,1700
ARJUNA NATURAL P.LTD.,OLEORESINS OF SPICES,100170
ARK GREASE AND LUBES,AIR COMPRESSORS,3200
ARKAY EXPORTS,SOAP,4635
ARMSTRONG KNITTING MILLS (P) LTD.,COTTON GARMENTS,2881
ARNO FASHION,COTTON GOODS,7803
AROMA HORTICULTURE,MACHINERIES,13315
AROMATIC  INGREDIENTS P.LTD.,SPICES,163588
AROMATO EXIM P.LTD.,FOOD STUFFS,14402
ARROW KNITS,COTTON GARMENTS,3509
ARROW SOLUTIONS,CHEMICALS,198
ARROW TEX,COTTON GARMENTS,79
ARS COMPACTERS,SPARES,12412
ART YARN EXPORTS,COTTON YARN,21168
ARTH IMPEX,COCONUTS,65288
ARUN REGA BAKERY  MACHINERIES P.LTD.,MACHINERIES,2450
ARVIND  LIFESTYLE BRANDS LTD.,COTTON GARMENTS,351
ARVIND GOOD HILL,COTTON GOODS,16795
ARVIND LTD.,COTTON GOODS,52386
ARYA EXPORTS,JAGGERY,111640
ARYA WOODS,ROSEWOOD PRODUCTS,1550
ARYABHANGY,TEAK WOOD PRODUCTS,780
ARYAS EXPORTS & IMPORTS,AYURVEDIC PRODUCTS,492
ASHER HOME FASHION,COTTON GARMENTS,1369
ASHIQUE CHEMICALS&COSMETICS,SOAP,47000
ASHJOE COLD CHAIN ESTABLISHMENT,SOLAR ITEMS,1883
ASHOK TRADE LINKS,LATEX RUBBER,400
ASHOKA FASHION HANDLOOMS,COTTON GOODS,3804
ASHRO TEXTILES PVT.LTD,COTTON GARMENTS,1978
ASHTANGA VAIDYAM AYURVEDICS,THAILAM,15648
ASHWIN SPICES,SPICES,45000
ASIA FOODS,FOOD STUFFS,12857
ASIA PACIFIC INTERNATIONAL,COTTON GOODS,40018
ASIAN FOOD INDUSTRIES,COCONUTS,125000
ASIAN FRESH,COCONUTS,101587
ASIAN OLEORESIN COMPANY,OLEORESINS OF SPICES,1000
ASIAN SPICES,GREEN PEPPER,16000
ASIAN TEA  EXPORTS LTD.,TEA,164494
ASIANN COIR PRODUCTS,COIR PITH,17765
ASKER KNIT WEAR,COTTON GARMENTS,8218
ASMA RUBBER PRODUCTS P. LTD.,SURGICAL GLOVES,3425
ASPINWALL & CO. LTD.,RUBBER MATS,1100244
ASSOCIATE POLYMERS,RUBBER MATS,3400
ASSOCIATED CASHEW INDUSTRIES,CASHEW KERNELS,456591
ASSOCIATED RUBBER CHEMICALS P.LTD.,RUBBER CHEMICALS,4967
ASSOCIATED TRADERS,TILES,18195
ASW EXPORTS,COTTON GARMENTS,1118
ASWATH  CREATIONS,COTTON GOODS,10916
ASWATH KNIT GARMENTS,COTTON GARMENTS,5060
ASWATHI EXPORTS,COTTON GARMENTS,1655
ASWATHY ENGINEERING WORKS,TROLLYS & RAILS,3750
ASWIN ASSOCIATES,FROZEN MARINE FOODS,544968
AT & S INDIA,MACHINERIES,284
AT HOME INDIA PVT LTD,COTTON GARMENTS,71
ATC  TYRES P.LTD.,TYRES/TUBES,27217
ATCHAYA EXPORTS,COTTON GARMENTS,6265
ATCHERRA IMPEX,COTTON GARMENTS,14046
ATHAVAN APPARELS,COTTON GARMENTS,907
ATHAVAN CLOTHING COMPANY,COTTON GOODS,24088
ATHEENA EXPORTS,ROSEWOOD VEENERS & PARQ.FLOORI,116012
ATIRA DESIGNS P.LTD.,COTTON GOODS,74772
ATLANTIC CARE CHEMICALS,DETERGENT POWDER,1197608
ATLANTIC FABRICS,COTTON GOODS,4500
ATLANTIC FOODS INDIA P.LTD.,SPICES,55825
ATLAS EXPORT ENTERPRISES,COTTON GARMENTS,55448
ATLAS EXPORTERS,COTTON GARMENTS,13332
ATLAS MACHINE TOOLS,SPARES,25
ATLAS STATIONERY INDIA PVT LTD,SPORTS ARTICLES,5101
ATS ELGI LTD.,HYDRAULIC FITTINGS,171955
ATTIRE CREATON CO.,COTTON GARMENTS,697
ATTIRE INCORPORATED,COTTON GARMENTS,4493
AUM EXPORTS,RICE,425900
AURRUM ENTERPRISES(P)LTD.,TAPIOCA,896199
