Exporter,Product,QTY.(KGS)
A.S.P. & SON ENTERPRISES P.LTD.,COCONUT OIL,84457
A.S.TRADERS,COCONUTS,25000
A.T.R. BAKERS&FOOD PRODUCTS,FOOD STUFFS,41176
A.V.M.FASHION,COTTON GOODS,19632
A.V.T LEATHER & ALLIED PRODUCTS LTD,LEATHER GOODS,394
A.V.THOMAS & CO. LTD.,TEA,407732
A.W INDUSTRIES,SPARES,3950
A.W.WORLDWIDE,COCONUTS,12150
AADHI LAKSHMI APPARELS,COTTON GARMENTS,358
AALAYA TRADE SERVICES,COCONUTS,28200
AAMIN EXPORTS,COCONUTS,12500
AANAM AGRO EXPORTING CO.,COCONUTS,13220
AANCHAL ENTERPRISES,PLYWOOD,883186
AARA TEX,COTTON GARMENTS,5270
AARABHI EXPORTS,RICE,42770
AARON AGENCIES,PLASTIC PRODUCTS,9642
AARONS,RUBBER MATS,59086
AASHA BIOCHEM,SOAP,19680
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,28013
AAURA INTERNATIONAL,COTTON GARMENTS,3949
AAYDEE EXPORTS P.LTD.,COTTON YARN,143504
AAYUSHI EXPORTS,MACHINERIES,2000
AAZRA MARINE INDUSTRIES,FROZEN MARINE FOODS,164533
AB MAURI INDIA P.LTD.,TURMERIC POWDER,3290603
ABAD EXIM P. LTD.,FROZEN YELLOW TUNA,485638
ABAD FISHERIES,FROZEN YELLOW TUNA,5244604
ABAD OVERSEAS,FROZEN MARINE FOODS,149550
ABAX TRADE LINKS,ORNAMENTS,110
ABB LTD.,ELECTRICAL ITEMS,1008994
ABC INTERNATIONAL,COTTON GARMENTS,4518
ABDUL SAMAD,GENERAL MERCHANDISE,1600
ABI MITRA APPARELS,COTTON GARMENTS,8594
ABI SOURCING,COTTON GARMENTS,60483
ABIRAMI TECHNOLOGIES LTD.,HOME APPLIANCES,9226
ABLA IMPEX P.LTD.,COTTON GOODS,10307
ABM MARINE PRODUCTS,FROZEN SQUID,549490
ABN AMEX,COCONUTS,82100
ABN TRADERS,SPICES,988372
ABUFAIZAL EXPORTS,RICE,55054
ACCELERATED FREEZE DRYING CO LTD.,GREEN PEPPER,497486
ACCUMENS ENGINEERING,ELECTRICAL ITEMS,1644
ACCUPLAST TECHNOLIOGIES,PLASTIC PRODUCTS,329410
ACE FINE PACK P.LTD.,SPARES,287
ACE FOODS P. LTD.,FOOD STUFFS,435
ACHUTHA ENTERPRISES,FOOD STUFFS,2000
ACME CLOTHING,COTTON GOODS,2952
ACTIVE CHAR PRODUCTS P.LTD.,ACTIVATED CARBON,1618043
ADAM TRADING COMPANY,RICE POWDER,8000
ADANIS MARKETING,COTTON GARMENTS,1088
ADARSH KNITWEAR P.LTD.,COTTON GARMENTS,41644
ADARSHI FOOD EXPORTS,COCONUTS,136164
ADDRESS APPAREL,COTTON GARMENTS,3399
ADEN GARMENTS,COTTON GARMENTS,5251
ADHINATH TEXTILES MILLS,COTTON GARMENTS,6652
ADHUVIKHA EXPORTS,RUBBER MATS,3060
ADI NATH TEXTILES MILLS,COTTON GARMENTS,6142
ADIL TEXTILES PVT LTD,COTTON YARN,670153
ADITI CREATION,COTTON GARMENTS,15642
ADITYA TRADING CO.,TEA,1234966
ADIYST GLOBAL EXPORTS,PLASTIC PRODUCTS,5990
ADON EXPORTS,COCONUTS,96260
ADONIS MARKETING,COTTON GARMENTS,2065
ADRASH KNITWEAR,COTTON GARMENTS,4805
ADVANCE FINE MATERIALS,ALUMINIUM POWDER,10000
ADVANCED MEDICAL TECHNOLOGIES,SURGICAL GLOVES,4106
ADVENT FOUNDRY & ALLIED SUPPLIES P.LTD.,INDUSTRIAL PRODUCTS,40296
ADVENT FOUNDRY&ALLIED SUPPLES P.LTD.,PADDY HUSK,5415
ADVIN INTERNATIONAL,RUBBER MATS,64486
ADWAITH LAKSHMI INDUSTRIES LTD.,GENERAL CARGO,46308
AEON COMMODITIES,TEA,19936
AERATH BUSINESS CORPORATION,FROZEN PAROTTA,663441
AFEEF CASHEW,CASHEW KERNELS,84056
AFRA TRADERS,FOOD STUFFS,8200
AFRAS CASHEW  TRADERS,CASHEW KERNELS,186132
AFRIS CASHEW,CASHEW KERNELS,15000
AGAPPE DIAGNOSTICS LTD.,MEDICAL EQUIPMENTS,9937
AGARAM KNITTERS,COTTON GARMENTS,22424
AGARMET INTERNATIONAL,TEA,43070
AGASH PLAST INDIA,PLASTIC PRODUCTS,46277
AGATHAVAN KNIT GARMENTS,COTTON GARMENTS,6120
AGGARWAL TEXTILES,COTTON YARN,32512
AGHIN AGRO FOOD INDUSTRIES P.LTD.,FOOD STUFFS,17841
AGNEYA AGRO AND ENGING.LTD.,FOOD STUFFS,815
AGNI APPARELS,COTTON GARMENTS,81165
AGRAHAR FOOD PRODUCTS,FOOD STUFFS,3176
AGREENCO FIBRE FOAM P.LTD.,RUBBERISED COIR SHEETS,12310
AGRO BIO TECH RESEARCH CENTRE LTD.,PINEAPPLE,16894
AGRO BROTHERS COIR CO.,COIR PITH,588940
AGROLLIANCE NATURALS & IMPEX,OLEORESINS OF SPICES,1900
AHAD HOSIERY P.LTD.,COTTON GARMENTS,42102
AHEAD IMPEX,COTTON GARMENTS,268
AHILL KNIT EXPORTS,COTTON GOODS,54555
AIM OVERSEAS,RICE,162033
AISHWARYA INDUSTRIES,MOULD,12580
AISHWARYA OVERSEAS EXPORTERS,FOOD STUFFS,14967
AJANI IMPEX P.LTD.,COCONUTS,84735
AJAYA PLASTICS,PLASTIC PRODUCTS,2609
AJITH,COTTON GARMENTS,257
AJMI FLOUR MILL(I)P.LTD.,PUTTU PODI,167570
AJWA COMMODITIES,FOOD STUFFS,40640
AJWA EXPORTING CO.,FOOD STUFFS,51443
AK GARMENTS,COTTON GARMENTS,1833
AKAY FLAVOURS & AROMATICS LTD.,TURMERIC,1173974
AKAY SPICES P.LTD.,TURMERIC,1904752
AKHIL KNIT EXPOTS,COTTON GARMENTS,2561
AKRUTHI APPARELS,COTTON GOODS,785932
AKSA FOODS AND SPICES P.LTD.,CHILLI POWDER,1884
AKSARA APPARELS,COTTON GARMENTS,9992
AKSARA TEX,COTTON GARMENTS,4490
AKSHARA GARMENTS,COTTON GARMENTS,4764
AKSHARA KNIT CREATIONS,COTTON GARMENTS,1534
AKSHAY GRANITES,GRANITE SLABS\TILES,1800
AKSHAYA TEXTILE,COTTON GOODS,60890
AL ADIF FASHIONS,COTTON GARMENTS,180
AL AHLI EXPORTERS,CHAPPALS,13030
AL ASIF,COTTON GARMENTS,320
AL BADRA SEAFOODS P.LTD.,FROZEN MARINE FOODS,918409
AL BANNA ENGINEERINGS(I)P.LTD.,WELDING SETS WITH SPARES,1599
AL BARAKHA EXPORTS,SPARES,31182
AL BUSTAN FIRE SYSTEMS,PUMPS,226
AL FANOOS CASHEWS,CASHEW KERNELS,63504
AL GLOBAL STAR,INSTANT COFFEE,129040
AL HASSAN EXPORTS&IMPORTS,COCONUTS,13300
AL KABEER EXPORTS,CHAPPALS,3715
AL M&M T SHIRT MART,COTTON GARMENTS,5674
AL SAFEER EXPORTS,CHAPPALS,350
AL SAMAIRA EXPORT P.LTD.,FOOD STUFFS,26000
AL SHAMS ENTERPRISES,CHAPPALS,3821
AL TEHENE ENTERPRISES P.LTD.,AGRICULTURE ITEMS,33134
AL ZAIM INTERNATIONAL,ROASTED GRAM,13020
AL ZAIM INTERNATIONAL EXPORTS,FOOD STUFFS,13100
AL-AHLI EXPORTS,CHAPPALS,19280
AL-GAYATHRI TRADING CO. P. LTD.,TEA,2034607
AL-GYAS EXPORTS P. LTD.,RICE,25000
AL-KABEER EXPORTS P.LTD.,FOOD STUFFS,15643
AL-MELA MARKETING P.LTD.,CHOCOLATE PRODUCTS,19202
AL-QUTUB EXPORTERS,FURNITURE,18707
AL-RA ID INTERNATIONAL TRADING,PIPE FITTINGS,755
AL-SADIQ IMPORT & EXPORT,PICKLES,16136
AL-SHABIB TRADING CO.,RICE,59280
AL-TASHKEEL IMPORTS & EXPORTS,COCONUTS,282800
ALAGAR APPARELS,COTTON GARMENTS,8562
ALAIJA RUBBER FACTORY,CHAPPALS,7520
ALAN TECH INDISTRIAL SOLUTIONS,PAINTING PLANT,4083
ALBANNA  ENGINEERING,SPARES,3200
ALBERTS ARTS COLLECTIONS,HANDICRAFTS,90
ALDA TRADING,RICE POWDER,66097
ALEXANDER COIR WORKS,JUTE MATTING,14800
ALFA ENGINEERING WORKS,SPARES,18396
ALFA IMPEX,COCONUTS,28350
ALFA INTERNATIONAL INC.,COIR MATS,31525
ALHIND INTERNATIONAL EXPORTS,COCONUTS,80060
ALHR INTERNATIONAL,COCONUTS,26500
ALI AND COMPANY,HANDICRAFTS,110
ALIF EXPORTS,KITCHEN ITEMS,9640
ALIKKAL WOODSY EXPORTS,ALUMINIUM PRODUCTS,2400
ALIN CASHEW TRADERS,CASHEW KERNELS,544380
ALINA CASHEW,CASHEW KERNELS,15000
ALINE INTRNATIONAL,COTTON GOODS,16781
ALLAKKAT INTERNATIONAL,RUBBER MATS,20712
ALLANASONS LTD.,COFFEE,11311224
ALLEPPEY CO. LTD.,RUBBER MATS,5164523
ALLIANCE TRADERS,TARPULINS,1085
ALLKOSHYS ALLSPICES,SPICES,366346
ALLTECH BIOTECHNOLOGY P.LTD.,ANIMAL FEED,20000
ALPHA EXPORTS,COTTON GARMENTS,8862
ALPHA INTERNATIONAL,CASHEW KERNELS,47628
ALPHA PACK P.LTD.,PLASTIC PRODUCTS,2051
ALPHA TRADE LINKS,ENGINE OIL,27100
ALPHARUB TRADING&MFG.P.LTD.,NATURAL RUBBER,740000
ALPHONSA CASHEW INDUSTRIES,CASHEW KERNELS,1240144
ALS EXPORTS,TRACTOR,2100
ALSTOM INSTRUMENT TRANSFORMER,MACHINERIES,9600
ALSTOM TRANSPORT,SPARES,172100
ALWAN EXPORTS & IMPORTS,TURMERIC POWDER,43080
ALWAYE RUBEX P.LTD.,NATURAL RUBBER,320000
AMAAZE CLOTHING,COTTON GARMENTS,5190
AMACO EXPORTS,TAPIOCA,26775
AMACO IMPEX P.LTD.,TEA,2319896
AMAIN APPARELS INDIA P.LTD.,COTTON GARMENTS,5603
AMALGAM FOODS LTD.,FROZEN SHRIMPS,9084
AMALGAM NUTRIENTS & FEEDS LTD.,FROZEN CLAM MEAT,21600
AMANATH ARAFATH APPARELS,COTTON GARMENTS,30546
AMAR EXPORTS,TAPIOCA CHIPS,36887
AMAZING EXPORT CORPORATION,COTTON GARMENTS,138
AMBO EXPORTS  LTD.,TEA,77888
AMBOOTIA TEA EXPORTS,TEA,88000
AMEEN EXPORTS & IMPORTS(P)LTD.,SPICES,138420
AMEENA EXPORTS P. LTD.,CHILLI POWDER,34000
AMERICAN POWERCONVERSIONS (I) LTD.,INVERTOR,1785
AMES FOODS PROCESSORS INDIA P.LTD.,CASHEW KERNELS,283907
AMFS FOODS PROCESSORS,FROZEN MARINE FOODS,24000
AMIT IMPEX,COCONUTS,66115
AMMAYAPPER TEXTILES P.LTD.,COTTON GARMENTS,18993
AMPO VALVES INDIA P.LTD.,VALVES,37230
AMRA  INDUSTRIES,PAPER CUP,2660
AMRITA ENTERPRISES LTD.,COTTON GOODS,4215
AMRUT DISTILLERIES LTD.,LIQUORS,7550
AMRUTHA ENTERPRISES,COTTON GARMENTS,5723
AMRUTHA OIL AND FOODS,COCONUT OIL,23579
AMRUTHA RUBBER WORKS,RUBBER MATS,4049
AMTRACK LABORATORIES P.LTD.,SURGICAL GLOVES,3702
ANAKKARA FOOD PROCESSING & EXPORTS,FOOD STUFFS,77600
ANAND INDUSTRIES,SPRING,1541
ANAND TEXTILES,COTTON GOODS,35548
ANANDHA MODERN RICE MILL,RICE,98050
ANANKE INDIA P.LTD.,SPICES,13020
ANAPPADIKKAL TRADING COMPANY,COCONUTS,9630
ANASWARA OFFSET P.LTD,PRINTED MATERIALS,3065
ANCHUTHARA FOOD PRODUCTS,RUBBER MATS,235584
ANCHUTHENGIL AGRI SUPPLY,COVER CROP SEEDS,20036
ANCHUVILA CASHEWS,CASHEW KERNELS,166752
ANDAVAR CLOTHING CO.,COTTON GARMENTS,33405
ANGELA COIR MILLS,COCONUTS,610725
ANIL CASHEWS,CASHEW KERNELS,45000
ANIL TRADERS,SPICES,3959
ANIS AHAMED,SULPHUR POWDER,52000
ANITA EXPORTS,TEA,720607
ANJALI HOTELS PVT LTD,FOOD STUFFS,3400
ANJANEYA TRADERS,COCONUTS,56100
ANN IMPEX HOUSE OF SPICES,COCONUTS,27825
ANNA ALUMINIUM  COMPANY P.LTD.,RICE,1354982
ANNA MALAI EXIM,COIR PITH,12262020
ANNA TRADE LINKS,TILES,2210
ANNA TROUVER,COTTON GOODS,31420
ANNAM IMPEX,COTTON GARMENTS,14288
ANNAX IMPEX,COTTON GARMENTS,12100
ANNIE IMPEX,COCONUTS,28165
ANNS FLOOR DECORATION,COIR YARN,68464
ANNS INTERNATIONAL,HOUSEHOLD ARTICLES,3791
ANNVIN FPS,COTTON GARMENTS,41940
ANSARI ESTATE P.LTD.,COIR PITH,536010
ANTHONY GARMENTS,COTTON GOODS,18048
ANTON EXPORTS&IMPORTS,JUTE PRODUCTS,8189
ANU CASHEWS,CASHEW KERNELS,137472
ANUGRAHA FASHION MILL P.LTD.,COTTON GARMENTS,43986
ANUPAMA FASHIONS,COTTON GARMENTS,19714
ANUPAMA INTERNATIONAL,COTTON GARMENTS,1881
APEEJAY TEA COMPANY,TEA,170400
APEX GLOBAL PROJECTS,COCONUTS,28140
APEX MSTCH CONSORTIUM INDIA P.LTD.,COIR MATS,32406
APG FISHERIES,FROZEN MARINE FOODS,239690
APOLLO TYRES LTD.,TYRES/TUBES,14940081
APPAREL WORLD,COTTON GOODS,11561
APPLE APPARLES,COTTON GARMENTS,3844
APRAS CASHEW,CASHEW KERNELS,15000
APSON EXPORTS,PEBBLES,350
AQJ APPARELS,COTTON GARMENTS,26707
AQUA GENO EXIM,FROZEN SQUID,1616572
AQUA PLAST INDIA,PLASTIC PRODUCTS,3661
AQUA SEAFOOD(INDIA)P.LTD.,FROZEN YELLOW TUNA,110000
AQUARELLE INDIA PVT LTD,COTTON GOODS,20007
AQUARIUS MARKETING P. LTD.,TEA,12000
AQUASTAR MARINE FOODS,FROZEN YELLOW TUNA,1869912
AQUASUB ENGINEERING,PUMPS,185708
AQUATIC FISHERIES,DRIED PRAWNS,608
ARA MATS INTERNATIONAL,RUBBER MATS,1334152
ARABIAN RUBBER,RUBBER PRODUCTS,965
ARACKATHARA RECLAIMATIONS,TYRE RETREADING MATERIALS,23450
ARAKU ORIGINALS LTD.,COFFEE,16180
ARAMBAN HEALTH AND LIFE STYLE,AYURVEDIC PRODUCTS,327
ARANYA PRODUCTS,SOAP,15000
ARASAN ALUMINIUM INDUSTRIES,ALUMINIUM POWDER,85609
ARASAN BUSINESS COMBINES P.LTD.,CLAY,16000
ARASCO FRUIT PRODUCTS,PICKLES,54877
ARAVIND INDUSTRIES,COTTON GARMENTS,4100
ARBEE AGENCIES,FISH OIL,226843
ARBEE AQUATIC PROTEINS P.LTD.,FISH OIL,366500
ARBEE BIOMARINE EXTRACTS P.LTD.,FISH OIL,100691
ARCH IMPEX,COCONUTS,138501
AREM FASHIONS,COTTON GOODS,3986
ARIANE TOOLS & COMPONENTS,SPARES,36786
ARICIA INDIA INTERNATIONAL P.LTD.,RUBBER MATS,189827
ARIHANT APPARELS,COTTON GARMENTS,9980
ARIKKAT TRADES & EXPORTS,COCONUT OIL,27778
ARIYAN KNITTING,COTTON GARMENTS,1711
ARJUNA NATURAL P.LTD.,TRIBULUS EXTRACT,98480
ARK EXPORTERS,COTTON GARMENTS,7880
ARMSTRONG KNITTING MILLS (P) LTD.,COTTON GOODS,19611
ARMSTRONG SPINNING MILLS (P) LTD.,COTTON YARN,546146
AROMA BANANA,COCONUTS,51485
AROMA FOODS TRADING,PEANUTS,9796
AROMATIC  INGREDIENTS P.LTD.,OLEORESINS OF SPICES,168740
ART YARN EXPORTS,COTTON YARN,148478
ART&FRAME 4X4,ARTISTIC PRODUCTS,29280
ARTECH INTERNATIONAL,STEEL PRODUCTS,1992
ARUNA ALLOY STEELS P. LTD.,STEEL CASTINGS,7322
ARUNA STEEL CASTINGS,STEEL CASTINGS,1219
ARUNAI PRODUCTS&SERVICES P.LTD.,COTTON GARMENTS,4772
ARVIND GOOD HILL,COTTON GARMENTS,32018
ARVIND LTD.,COTTON GOODS,9869
ARYA EXPORTS,JAGGERY,62429
ARYA VAIDYA PHARMACY (CBE) LTD.,AYURVEDIC PRODUCTS,34654
ARYA VAIDYA SALA,AYURVEDIC PRODUCTS,14086
ARYABHANGY,HANDICRAFTS,110
ASEER KNIT WEARS,COTTON GARMENTS,1031
ASHIQUE CHEMICALS&COSMETICS,SOAP,327746
ASHOK TRADE LINKS,NATURAL RUBBER,36590
ASHTANGA VAIDYAM AYURVEDICS,THAILAM,18482
ASHWIN INTERNATIONAL,THAILAM,166
ASI EXPORTS,COCONUTS,76500
ASIA FOODS,RICE,27260
ASIAN FERROTECH,GENERAL CARGO,7305
ASIAN OLEORESIN COMPANY,OLEORESINS OF SPICES,2966
ASIAN SPICES,SPICES,67185
ASIAN TEA  EXPORTS LTD.,TEA,391753
ASIAN TEA COMPANY PRIVATE LTD,TEA,352476
ASIAN TRADES & EXPORTS,COCONUTS,27500
ASK IMPEX,COTTON GOODS,2500
ASKER KNIT WEAR,COTTON GOODS,16323
ASMA RUBBER PRODUCTS P. LTD.,SURGICAL GLOVES,24994
ASPINWALL & CO. LTD.,RUBBER MATS,1683606
ASPIRE INNCORP.,COTTON GOODS,5651
ASSA SEA FOODS,FROZEN SHRIMPS,93000
ASSOCIATED AUTOTEX ANCILLARIES P.LTD.,SPARES,9885
ASSOCIATED CASHEW INDUSTRIES,CASHEW KERNELS,411024
ASSOCIATED COCONUT PRODUCTS,COCONUT OIL,17483
ASSOCIATED RUBBER CHEMICALS P.LTD.,RUBBER CHEMICALS,3837
ASSOCIATED TRADERS,TILES,12759
ASTRAL IMPEX INDIA,SPARES,2906
ASTRON CONCRETE PRODUCTS,BUILDING MATERIALS,252286
ASWATH  CREATIONS,COTTON GARMENTS,82644
ASWATH KNIT GARMENTS,COTTON GARMENTS,3221
ASWIN APPARELS P. LTD.,COTTON GARMENTS,172
ASWIN ASSOCIATES,FROZEN SQUID TENTACLES,1789010
ATC GROUP,CAR WASHER,1183
ATCHERRA IMPEX,COTTON GOODS,29339
ATHARVA INTERNATIONAL,COCONUTS,226381
ATHAVAN APPARELS,COTTON GARMENTS,6975
ATHAVAN CLOTHING COMPANY,COTTON GOODS,52535
ATHEENA EXPORTS,ROSEWOOD VENEERS,59502
ATHISH PRESSING MILL,COIR FIBER,477400
ATHIYAN EXPORTS,RICE,128500
ATIRA DESIGNS P.LTD.,COTTON GOODS,3833
ATLANDES METAL AND TOOL INDUSTRIES PVT LTD,SPARES,8003
ATLANTIC CARE CHEMICALS,DETERGENT POWDER,1410666
ATLANTIC FOODS INDIA P.LTD.,CHILLI POWDER,18619
ATLAS EXPORT ENTERPRISES,JUTE PRODUCTS,79684
ATLAS EXPORTERS,COTTON GOODS,474
ATLAS MACHINE TOOLS,MACHINERIES,148
ATS ELGI LTD.,MACHINERIES,226593
ATTIRE CREATON CO.,COTTON GOODS,10228
AURIEL SOLAR&GREEN TECH,SOLAR ITEMS,1850
AURORA GARMENTS,COTTON GARMENTS,1360
AURRUM ENTERPRISES(P)LTD.,TAPIOCA,35995
AUSSEE OATS INDIA PVT LTD,FOOD STUFFS,9000
AUSTIN PARFETT ENGINEERING PVT LTD.,STAINLESS STEEL,54522
AUTHENTIC EXPORTS,COTTON GARMENTS,8285
AUTOFIT CAR INTERIORS P.LTD.,CAR SEAT COVER,294546
AUTOMODS,CHAPPALS,3132
AUTOMOTION AND CONTROL SYSTEMS,SPARES,4221
AUTOPRINT MACHINERY MANUFACTURES,MACHINERIES,26920
AV TEE CEE FOOTCARE,CHAPPALS,7367
AVA CONDIMENTS LLP,ROSTED RAVA,326462
AVANEETHA TEXTILES,COTTON YARN,52021
AVANT GARDE AGRO,COCONUTS,53100
AVEES FOODS,RICE POWDER,60000
AVERY KNITWEAR,COTTON GARMENTS,694
AVESH CLOTHING,COTTON GARMENTS,3567
AVESH INTERNATIONAL,COTTON GARMENTS,3639
AVIAN INTERNATIONAL,LATEX GLOVES,14316
AVIRAM KNITTERS,COTTON GOODS,36356
AVL MARKETING,LIGHT ASSAY MATERIALS,1610
AVLA GOLD STORAGE,FROZEN MARINE FOODS,89170
AVLA NETTOS EXPORTS,FROZEN SHRIMPS,1663803
AVPA ENTERPRISES,COCONUTS,56750
AVT MCCORMICK INGREDIENTS LTD.,TURMERIC,16130206
AVT NATURAL PRODUCTS LTD.,TURMERIC,3862973
AVY TEXPORT,COTTON GARMENTS,2680
AVYA APPARLES,COTTON GARMENTS,2078
AY TEE CEE FOOTCARE,CHAPPALS,60313
AYSHA CASHEW ,CASHEW KERNELS,31751
AYSHA HOSIERY FACTORY P. LTD.,COTTON GARMENTS,7838
AYUSH ENGINEERING WORKS,SPARES,2770
AYUSH JYOTHI PANCHAKARMA EQUIPMENTS,AYURVEDICA TREATMENT EQUP.,905
AYYA  APPARELS,COTTON GOODS,19412
AZLON ARTS,COTTON GOODS,6831
B AND B MACHINES,MACHINERIES,2235
B-3 MACBIS LTD.,MACHINERIES,5183
B.B.IMPEX,COTTON GARMENTS,460
B.C.IMPEX,COTTON GOODS,3480
B.K.ENGINEERING,SPARES,2740
B.K.S. TEXTILES PRIVATE LTD,COTTON GARMENTS,4594
B.MANJI & COMPANY,COCONUTS,302800
B.N.T. CONNECTIONS,COTTON GOODS,73715
B.P. EXPORTS,COTTON GOODS,26762
B.S. INNOVATIONS,COTTON GOODS,14062
B.S.INTERNATIONAL,COTTON GARMENTS,153
B.S.RUBBERS,RUBBER MATS,289433
B.V.S.OVERSEAS P.LTD.,COCONUTS,52114
BABATHING INDIA,COTTON GARMENTS,342
BABIN TECHNOLOGIES,UTENSIL,7417
BABU COIR WORKS,RUBBER MATS,930585
BABY MARINE EASTERN EXPORTS,FROZEN SQUID,683471
BABY MARINE INTERNATIONAL,FROZEN SQUID,1793083
BABY MARINE SARASS,FROZEN SHRIMPS,733570
BACK TO NATURE EXIM P.LTD.,RUBBER MATS,21345
BAFNA ENTERPRISES,TURMERIC,1137553
BAGAVATHY EXPORTS,COTTON GOODS,6573
BAKEMILL FOODS,FOOD STUFFS,16364
BALA EXPORTS & GENERAL TRADING,COPPER ARTICLES,9574
BALAJI ELECTRONICS,ELECTRICAL ITEMS,300
BALAJI EXPORTS,COCONUTS,28600
BALAJI FABRICS,COTTON GARMENTS,12651
BALAJI SUPER ALLOYS,MACHINERIES,2842
BALAXI OVERSEAS P.LTD.,WELDING ELECTRODES,144000
BALIN CLOTHING,COTTON GOODS,377
BALU EXPORTERS,COTTON GARMENTS,271
BAMS CONDIMENTS IMPEX (P) LTD.,RICE,997053
BANAN GLOBAL TRADING,FOOD STUFFS,51301
BANKER HOLDINGS,PLYWOOD,33500
BANNARI AMAN SPNG.MILLS LTD.,COTTON GARMENTS,19545
BANNARI AMMAN SUGARS LTD.,COTTON GARMENTS,710
BANRO EXPORTS,SPICES,800
BAQIR EXIM,COIR PITH,24000
BARAKATH GARMENTS(INDIA)P.LTD.,COTTON GOODS,70071
BARAMY EXPORTS,COTTON GARMENTS,19000
BARANI HYDRALICS  INDIA P.LTD.,VALVES,28690
BASCO FOODS (INDIA )PVT. LTD ,RICE,306980
BASF INDIA LTD.,CHEMICALS,57699
BASIC COTTON BOOK,COTTON GOODS,11221
BASIL COMMODITIES P.LTD.,TITANIUM DIOXIDE,24000
BASIL RUBBER FACTORY (P)LTD.,NATURAL RUBBER,100000
BATHLINE SANITARYWARE TRDING,BATHROOM ACCESSORIES,240
BATHSHA MARINE EXPORTS,FROZEN YELLOW TUNA,769527
BAWA FISH MEAL & OIL CO.,FISH MEAL,100000
BBN EXPORTS,COIR MATS,5644
BEACH SAND MINERALS,SILLIMANITE SAND,257900
BEE TEX INDUSTRIES,GRINDER,234
BEE VEE IMPEX,COTTON GARMENTS,2648
BEENA CASHEW CO.,CASHEW KERNELS,377628
BEENA COIR WORKS,COIR MATS,30113
BEFFY CASHEW CO.,CASHEW KERNELS,1259442
BELL FOODS,FROZEN YELLOW TUNA,2419963
BELO GARMENTS,COTTON GOODS,1069
BEN ROSH,NATURAL RUBBER,736000
BENLION COIR INDUSTRIES,COIR PITH,3874370
BENSO GARMENTS,COTTON GARMENTS,1856
BESCOAT,KAOLIN,24000
BEST CORPORATION LTD.,COTTON GARMENTS,35856
BEST ENGINEERING COMPANY,SPARES,140
BESTOW INTERNATIONAL,MACHINERIES,1077
BETA HEALTH CARE PRODUCTS P.LTD.,SURGICAL GLOVES,475237
BETHANYA CASHEW COMPANY,CASHEW KERNELS,171636
BETHEL CASHEW COMPANY,CASHEW KERNELS,15876
BETHLEHEM ART STUDIO,CHURCH ARTICLES,1250
BETHSAIDA CASHEW COMPANY,CASHEW KERNELS,188760
BHABHA ENGINEERING ENTERPRISES,SPARES,550
BHADRA INDUSTRIES,SPARES,600
BHAIRAV IMPEX,RUBBER MATS,8178
BHANSALI & CO.,TEA,3334288
