Exporter,Product,QTY.(KGS)
2F WIND POWER COIMBATORE PVT LTD,AUTOMOBILES PARTS,8520
2M INDUSTRIAL ENTERPRISES LLP,AUTOMOBILES PARTS,89425
4 YOU IMPEX P.LTD.,COCONUTS,81000
4M IMPEX,COTTON GARMENTS,3200
7 HI WELLNESS,HERBAL MINERAL PRODUCTS,25750
A & B TOOLLERS,TOOLS,16192
A LINE APPARELS,COTTON GOODS,20607
A ONE GREENS EXPORTS,COCONUTS,27300
A ONE SURGICAL CO,SPARES,2000
A&A REFERIGERATION&ENGINEERING WORKS,MACHINERIES,4100
A-1 CHIPS AND EXPORTS(I)P.LTD.,FOOD STUFFS,79816
A-ONE BUSINESS CORPORATION,COTTON GARMENTS,3119
A. TOSH & SONS (I) LTD.,TEA,1695880
A.1ENTERPRISES,COTTON GOODS,190943
A.A.A. FRESH GREENS&FRUITS,COCONUTS,222200
A.B.C.GROUP FAST TRACK,SPARES,9648
A.B.MARINE  INTERNATIONAL,FROZEN SHRIMPS,21000
A.C.K.D.FOOD FACTORY  LLP,FOOD STUFFS,32505
A.C.N. TEXTILES P. LTD.,COTTON GOODS,350831
A.G.K AGRO PVT LTD,FOOD STUFFS,37360
A.G.P.INDUSTRIAL EXPORTS,COTTON WASTE,5157
A.G.R.APPARELS,COTTON GARMENTS,2608
A.J.INTERNATIONAL,SOAP,7455
A.K.EXPORTS,COTTON GARMENTS,3714
A.K.M CASHEWS,CASHEW KERNELS,105000
A.K.R. TEXTILES,COTTON GOODS,679656
A.M.FISHERIES,FROZEN SHRIMPS,2034720
A.M.K.EXPORTS,CASHEW KERNELS,269892
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,113295
A.M.S. TRADING COMPANY,COCONUT OIL,121570
A.M.SONS COCO PRODUCTS,COCONUTS,28000
A.N.ASSOCIATES,COTTON GARMENTS,334
A.N.P.APPARELS,COTTON GARMENTS,4421
A.N.S.,COTTON GOODS,14170
A.P. GLOBAL MARKETING,COCONUTS,55900
A.P.D.EXPORTS,COTTON GOODS,13040
A.P.ENGINEERS,SPARES,12617
A.P.K.METAL COOKWARES,UTENSIL,1361
A.R. EXPORTERS & IMPORTERS,COCONUTS,83000
A.R.INDUSTRIES,RUBBER MOULDES GOODS,19048
A.R.K.TEX,COTTON GARMENTS,338
A.S.K. APPARELS,COTTON GOODS,87995
A.S.MARINE INDUSTRIES P.LTD.,FROZEN SHRIMPS,1871884
