Exporter,Product,QTY.(KGS)
2F WIND POWER COIMBATORE PVT LTD,SHAFT,56978
2M INDUSTRIAL ENTERPRISES LLP,SPARES,31320
A & B TOOLLERS,TOOLS,6815
A & H MARKETING AND EXPORTS,GENERAL CARGO,1480
A ONE FURNITURE,FURNITURE,380
A ONE SURGICAL CO,SPARES,6000
A PLUS B INDUSTRIES,RUBBER MATS,24000
A&A REFERIGERATION&ENGINEERING WORKS,MACHINERIES,13969
A-1 CHIPS AND EXPORTS(I)P.LTD.,FOOD STUFFS,104752
A-ONE BUSINESS CORPORATION,COTTON GARMENTS,403
A. TOSH & SONS (I) LTD.,TEA,911491
A.1 ENTERPRISES,COTTON GARMENTS,764
A.1ENTERPRISES,COTTON GOODS,62730
A.A.A. FRESH GREENS&FRUITS,COCONUTS,53500
A.A.HANDICRAFT INDIA,COCONUTS,280000
A.A.SNACK,CASHEW KERNELS,15876
A.B.C. GARMENTS,COTTON GARMENTS,10379
A.B.C.GROUP FAST TRACK,COCONUT OIL,60903
A.C.N. TEXTILES P. LTD.,COTTON GOODS,370900
A.D JAYAVEERAPANDIA,COIR PITH,30160
A.G.K AGRO PVT LTD,FOOD STUFFS,23360
A.G.M INDUSTRIES,STEEL UTENSILS,2110
A.G.R.APPARELS,COTTON GARMENTS,1072
A.H. EXPORTS,NYLON FISHING NETS,1620
A.K. AHAMED MODERAN RICE MILL,RICE,48600
A.K.ANTO,FURNITURE,3300
A.K.M CASHEWS,CASHEW KERNELS,45000
A.K.M.SULAIMAN,PEPPER PINHEAD,279575
A.K.P.TEX,COTTON GARMENTS,2250
A.K.R. TEXTILES,COTTON GOODS,361413
A.M. TRADE IMPEX,COCONUTS,28000
A.M.CASHEW,CASHEW KERNELS,4536
A.M.FISHERIES,FROZEN SHRIMPS,1961480
A.M.K.EXPORTS,FOOD STUFFS,102318
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,151201
A.M.S. TRADING COMPANY,COCONUT OIL,156121
A.M.WORLDWIDE,COCONUTS,13775
A.N.FOUNDRY,SPARES,1946
A.N.P.APPARELS,COTTON GARMENTS,3569
A.N.S.,COTTON GOODS,19754
A.P.ASSOCIATES,COCONUTS,28530
A.P.D.EXPORTS,COTTON GOODS,41206
A.P.ENGINEERS,MACHINERIES,17140
A.P.R. EXPORTS,COCONUTS,53000
A.R.INDUSTRIES,RUBBER MOULDES GOODS,5762
A.S. CASHEW EXPORTERS,CASHEW KERNELS,15000
A.S.K. APPARELS,COTTON GOODS,157566
A.S.M.KNITS,COTTON GARMENTS,5274
A.S.MARINE INDUSTRIES P.LTD.,FROZEN MARINE FOODS,1849450
A.S.P. & SON ENTERPRISES P.LTD.,COCONUTS,698673
A.T.R. BAKERS&FOOD PRODUCTS,FOOD STUFFS,55970
A.V.FASHION,COTTON GOODS,15746
A.V.THOMAS & CO. LTD.,TEA,685107
A.W TRADE IMPEX LLP,COCONUTS,302529
AADHUNIK LOKPAL MACHINERY,MACHINERIES,1822
AADHYA FURNITURE,FURNITURE,4415
AANCHAL ENTERPRISES,PLYWOOD,553699
AARON AGENCIES,SAND BLAST POT,20941
AARON CASHEW,CASHEW KERNELS,15000
AARONS,RUBBER MATS,106088
AARSHAVEDA WELLNESS PVT LTD,GENERAL CARGO,431
AASHA BIOCHEM,FISH OIL,17868
AASHMI TRADERS,COCONUTS,28350
AATHAVA GARMENTS INDIA P.LTD.,COTTON GARMENTS,54
AATHIRA TRADERS,COTTON GOODS,9130
AAZRA MARINE INDUSTRIES,FROZEN SHRIMPS,154585
AB MAURI INDIA P.LTD.,TURMERIC POWDER,4009870
ABAD EXIM P. LTD.,FROZEN SQUID,216355
ABAD FISHERIES,FROZEN SQUID,5314820
ABAD OVERSEAS,FROZEN SHRIMPS,385895
ABB LTD.,ELECTRICAL ITEMS,1344433
ABC GARMENTS,SURGICAL GLOVES,19988
ABC INTERNATIONAL,CURRY POWDER,5205
ABDUL NAZIR,GENERAL CARGO,3650
ABHI EXPORTS,COCONUTS,26000
ABI SOURCING,COTTON GOODS,52108
ABINAYASRI KNITS,COTTON GARMENTS,4706
ABIRAMI EXPORTS,COTTON GARMENTS,341
ABIRAMI TECHNOLOGIES LTD.,GRINDER,5313
ABISHEK EXPORTS,COTTON GOODS,382409
ABIYA A FABRICS,COTTON GOODS,3312
ABLA IMPEX P.LTD.,MACHINERIES,15621
ABM MARINE PRODUCTS,FROZEN SQUID,352496
ABN AMEX,COCONUTS,139700
ABN TRADERS,UTENSIL,858344
ABUFAIZAL EXPORTS,RICE,154136
ACCELERATED FREEZE DRYING CO LTD.,GREEN PEPPER,397922
ACCUPLAST TECHNOLIOGIES,PLASTIC PRODUCTS,1031405
ACE FINE PACK P.LTD.,SPARES,197
ACE PACK MACHINES,SPARES,100
ACHUTHA ENTERPRISES,COTTON GOODS,1400
ACME CLOTHING,COTTON GOODS,68738
ACTIVE CHAR PRODUCTS P.LTD.,ACTIVATED CARBON,2065846
ACTIVE EXPORTS,COCONUTS,28320
ADARSH KNITWEAR P.LTD.,COTTON GOODS,37088
ADD PRINT(INDIA)ENTERPRISES P.LTD.,PLASTIC PRODUCTS,2115
ADDRESS APPAREL,COTTON GOODS,3572
ADHINATH TEXTILES MILLS,COTTON GARMENTS,11221
ADHUVIKHA EXPORTS,RUBBERISED COIR PADS,3386
ADIDEV GROUP OF INDUSTRIES,CUMIN SEEDS,10000
ADIL TEXTILES PVT LTD,COTTON GOODS,208759
ADITI CREATION,COTTON GARMENTS,4508
ADITYA BIRLA BUVO LTD.,COTTON GOODS,11281
ADITYA BIRLA FASHION  LTD.,COTTON GOODS,16518
ADITYA ENTERPRISES,MACHINERIES,2750
ADITYA INTERNATIONAL,COCONUTS,26500
ADITYA TRADING CO.,TEA,1405985
ADONIS MARKETING,COTTON GOODS,1613
ADRASH KNITWEAR,COTTON GARMENTS,14908
ADVANCE FINE MATERIALS,ALUMINIUM POWDER,12600
"ADVANTAGE OVERSEAS P.LTD,",RICE,48000
"ADVENT FOUNDAIDS,",GENERAL CARGO,12
ADVENT FOUNDRY & ALLIED SUPPLIES P.LTD.,PADDY HUSK,51358
ADVENT FOUNDRY&ALLIED SUPPLES P.LTD.,SPARES,9470
ADVIN INTERNATIONAL,RUBBER MATS,70033
ADWAITH LAKSHMI INDUSTRIES LTD.,COTTON GOODS,3660
AEITS INTERNATIONAL,ELECTRICAL ITEMS,500
AEON COMMODITIES,TEA,31924
AERATH BUSINESS CORPORATION,VEGETABLES,592075
AETHAR AMERICAN EXPORTS&IMPORTS,ELECTRICAL ITEMS,2424
AFAQ INDIA EXPORTERS&IMPORTERS,RICE,21000
AFEEF CASHEW,CASHEW KERNELS,539758
AFRA TRADERS,FOOD STUFFS,400
AFRAS CASHEW  TRADERS,CASHEW KERNELS,15876
AGAPPE DIAGNOSTICS LTD.,MEDICAL EQUIPMENTS,8412
AGARMET INTERNATIONAL,TEA,17593
AGASH PLAST INDIA,PLASTIC PRODUCTS,45518
AGATHAVAN KNIT GARMENTS,COTTON GARMENTS,4074
AGATHY KNIT,COTTON GOODS,52969
AGNI APPARELS,COTTON GOODS,68277
AGREENCO FIBRE FOAM P.LTD.,RUBBERISED COIR SHEETS,8868
AGRO BROTHERS COIR CO.,COIR PITH,655850
AGRO COMMODITIES,TEA,399600
AGRO GREEN COIRS,COIR PITH,89600
AGROLLIANCE NATURALS & IMPEX,SPICES,1500
AHIL APPAREL EXPORTS,COTTON GARMENTS,5229
AHILL CLOTHING,COTTON GARMENTS,2018
AHILL KNIT EXPORTS,COTTON GOODS,110085
AIFFA PLASTICS,PLASTIC PRODUCTS,43859
AIM OVERSEAS,JAGGERY,111836
AINULABDIN GAREMNTS,COTTON GARMENTS,3200
AISHWARYA INDUSTRIES,MACHINERIES,8256
AISHWARYA OVERSEAS EXPORTERS,FOOD STUFFS,18732
AISWARYA EXPORTS,RICE,19535
AJAYA PLASTICS,PLASTIC PRODUCTS,1382
AJMI FLOUR MILL(I)P.LTD.,FOOD STUFFS,14505
AJWA COMMODITIES,RICE POWDER,39559
AJWA EXPORTING CO.,FOOD STUFFS,83640
AKAY FLAVOURS & AROMATICS LTD.,TURMERIC,1350224
AKAY SPICES P.LTD.,TURMERIC,1381104
AKHIL KNIT EXPOTS,COTTON GARMENTS,313
AKORN INDIA P.LTD.,SPRAYERS,6429
AKRUTHI APPARELS,COTTON GOODS,818242
AKSARA TEX,COTTON GOODS,389
AKSHARA GARMENTS,COTTON GARMENTS,1261
AKSHAYA TEXTILE,COTTON GOODS,2576
AL AHLI EXPORTERS,CHAPPALS,19780
AL ASIF,COTTON GOODS,320
AL BADRA SEAFOODS P.LTD.,FROZEN YELLOW TUNA,1387084
AL BAKE  EXPORTERS,PUMPS,11382
AL BARAKHA EXPORTS,VACCUM PUMP/PRESSURE TRANSMITT,55448
AL FALAQ TRADE INC.,COTTON GOODS,2390
AL GHAZAL EXPORTS,CLAY POTS,4114
AL GLOBAL STAR,COFFEE,57600
AL HAR INTERNATIONAL,COCONUTS,442575
AL KABEER EXPORTS,FOOD STUFFS,10655
AL KHATBI EXPORTS,COTTON GARMENTS,6628
AL ZAIM INTERNATIONAL EXPORTS,GENERAL CARGO,11702
AL-AZIZ & COMPANY,CASHEW KERNELS,15876
AL-GAYATHRI TRADING CO. P. LTD.,TEA,1666538
AL-GYAS EXPORTS P. LTD.,RICE,200000
AL-JAMIA ENTERPRISES,PEPPER,24000
AL-KABEER EXPORTS P.LTD.,FOOD STUFFS,13091
AL-MELA MARKETING P.LTD.,CHOCOLATE PRODUCTS,21855
AL-SADIQ IMPORT & EXPORT,FOOD STUFFS,14000
AL-SHABIB TRADING CO.,RICE,121310
AL-TASHKEEL IMPORTS & EXPORTS,COCONUTS,195600
ALAGAR APPARELS,COTTON GOODS,4239
ALAIJA RUBBER FACTORY,CHAPPALS,7520
ALAIN ROASTRY,FOOD STUFFS,20501
ALAN TECH INDISTRIAL SOLUTIONS,MACHINERIES,36866
ALBERTS ARTS COLLECTIONS,HANDICRAFTS,300
ALEPHA ENTERPRISES,CASHEW KERNELS,63504
ALFA ENGINEERING WORKS,SPARES,17009
ALFA IMPEX,COCONUTS,28500
ALFFA PLASTICS,PLASTIC PRODUCTS,1080
ALGA INTERNATIONAL,FROZEN MARINE FOODS,48000
ALIF ENTERPRISES,FOOD STUFFS,4600
ALIF EXPORTS,BOOKS,7054
ALIF PACKS,PACKING BOXES,1396
ALIF TRADERS&EXPORTERS,COCONUT POWDER,12000
ALIFF EXIM,COTTON GARMENTS,37467
ALIN CASHEW TRADERS,CASHEW KERNELS,422628
ALLAKKAT INTERNATIONAL,RUBBER MATS,25848
ALLANASONS LTD.,COFFEE,12461681
ALLEPPEY CO. LTD.,RUBBER MATS,6209642
ALLKOSHYS ALLSPICES,SPICES,258336
ALPHA ENTERPRISES,CASHEW KERNELS,15876
ALPHA HELICAL PUMPS P.LTD.,SPARES,131
ALPHA INTERNATIONAL,CASHEW KERNELS,345648
ALPHA TRADE LINKS,SURGICAL GLOVES,7200
ALPHONSA CASHEW INDUSTRIES,CASHEW KERNELS,1194190
ALPINE EXPORTS,COTTON GARMENTS,1579
ALSTOM INSTRUMENT TRANSFORMER,SPARES,33400
ALSTOM TRANSPORT,SPARES,91200
ALUTOP,ALUMINIUM SHEETS,19674
AMACO IMPEX P.LTD.,TEA,1198219
AMAIN APPARELS INDIA P.LTD.,COTTON GARMENTS,12301
AMAL TRADERS,FOOD STUFFS,295
AMALGAM NUTRIENTS & FEEDS LTD.,DRIED CLAM,31872
AMANATH ARAFATH APPARELS,COTTON GARMENTS,22760
AMANCO FIRE & SAFETY,FIRE FIGHTING ACCESSORIES,7769
AMAR EXPORTS,TURMERIC POWDER,17686
AMAR SINGH CHAWAL WALA,RICE,42000
AMAZING EXPORT CORPORATION,COTTON GARMENTS,1506
AMBICO TECH SERVICE,MACHINERIES,521
AMBO EXPORTS  LTD.,TEA,91277
AMBOOTIA TEA EXPORTS,TEA,294800
AMEEN EXPORTS & IMPORTS(P)LTD.,SPICES,174270
AMEENA ENTERPRISES,CHILLI POWDER,16500
AMEENA EXPORTS P. LTD.,FOOD STUFFS,16500
AMES FOODS PROCESSORS INDIA P.LTD.,CASHEW KERNELS,265208
AMIRTHA TEXTILES,COTTON GARMENTS,10145
AMMA WOODS P.LTD.,PLYWOOD,25900
AMMAN EXPORTS,SPICES,16500
AMMINI SOLAR P.LTD.,SOLAR ITEMS,4284
AMPO VALVES INDIA P.LTD.,VALVES,36160
AMRITA ENTERPRISES LTD.,COTTON GARMENTS,3395
AMRITESWARI AGROPLUS PVT LTD,COCONUTS,13500
AMRITHA TEXTILES,COTTON GOODS,17711
AMRITHESWARI COMMUNICATION,COTTON GARMENTS,11823
AMRUTHA OIL AND FOODS,COCONUT OIL,26050
AMRUTHA RUBBER WORKS,RUBBER MOULDES GOODS,14676
AMUL DEHYDRATION,PEPPER,30000
ANAND TEXTILES,COTTON GOODS,39979
ANANDHA MODERN RICE MILL,RICE,167640
ANANKE INDIA P.LTD.,SPICES,48422
ANASWARA OFFSET P.LTD,PRINTED MATERIALS,1787
ANCHUTHARA FOOD PRODUCTS,RICE,148841
ANCHUTHENGIL AGRI SUPPLY,COVER CROP SEEDS,6341
ANCHUVILA CASHEWS,CASHEW KERNELS,60000
ANDAVAR CLOTHING CO.,COTTON GOODS,67369
ANEXIM INTERNATIONAL,KITCHENWARE,1890
ANGEL ENTERPRISES,COTTON GARMENTS,1732
ANGELA COIR MILLS,COCONUTS,406500
ANIL CASHEWS,CASHEW KERNELS,15000
ANIL TRADERS,FOOD STUFFS,9768
ANITA EXPORTS,TEA,756909
ANJALI TRAVELS,CONCRETE MIXER,4849
ANJANEYA TRADERS,COCONUTS,216759
ANKUR CHEMFOOD LTD,SALT,135
ANN IMPEX HOUSE OF SPICES,NUTMEG,57500
ANNA ALUMINIUM  COMPANY P.LTD.,UTENSIL,2439804
ANNA LAKSHMI EXPORTS,CARDAMOM,8000
ANNA MALAI EXIM,COIR PITH,19245400
ANNA RUBBERS,RUBBER MATS,11000
ANNA TROUVER,COTTON GOODS,24434
ANNS FLOOR DECORATION,COIR MATTING,200583
ANNS INTERNATIONAL,HOUSEHOLD ARTICLES,3626
ANNVIN FPS,GENERAL CARGO,1925
ANSIKA TRADING,COCONUTS,28765
ANSWER MARK EXPORTS&IMPORTS P.LTD.,COCONUTS,54350
ANTHONY GARMENTS,COTTON GOODS,56582
ANTON EXPORTS&IMPORTS,COIR PRODUCTS,84218
ANTOS EXPORTS,COTTON GARMENTS,1085
ANU CASHEWS,CASHEW KERNELS,78494
ANURAGAVI GAREMENTS,COTTON GARMENTS,1106
ANUSAM APPARELS,COTTON GOODS,28931
ANUSHRI FASHION INDIA,COTTON GOODS,27291
ANVIN FIBREGLASS PROCESS AND SYSTEMS,GLASS,700
APA ASSOCIATES,COCONUTS,28200
APEX FASHION,COTTON GARMENTS,3958
APEX MSTCH CONSORTIUM INDIA P.LTD.,COIR MATS,62160
APOLLO TYRES LTD.,TYRES/TUBES,18296656
APPAREL WORLD,COTTON GOODS,8808
AQUA AND EARTH PAPER BAGS,BAGS,1200
AQUA GENO EXIM,FROZEN SQUID,1312747
AQUA SEAFOOD(INDIA)P.LTD.,FROZEN YELLOW TUNA,1512526
AQUARELLE INDIA PVT LTD,COTTON GOODS,43523
AQUASTAR MARINE FOODS,FROZEN SQUID,1148444
AQUASUB ENGINEERING,SPARES,236649
AQUATIC FISHERIES,SHARK FINS,24128
ARA MATS INTERNATIONAL,RUBBER MATS,1266245
ARABIAN EXPORTS,COTTON GARMENTS,675
ARABSAT EXPORTERS,RUBBER MATS,7488
ARADHYA STEEL PVT LTD,STEEL WIRE,14400
ARAKU ORIGINALS LTD.,INSTANT COFFEE,6800
ARANYA AYURVEDA VAIDYA,COCONUT OIL,14439
ARANYA PRODUCTS,SOAP,27798
ARAPPURA EXPORTS,FOOD STUFFS,19942
ARASAN ALUMINIUM INDUSTRIES,ALUMINIUM POWDER,111969
ARASAN BUSINESS COMBINES P.LTD.,CLAY,32000
ARASCO FRUIT PRODUCTS,PICKLES,41541
ARAVINDHAN IMPEX,COTTON GOODS,5979
ARBEE AGENCIES,FISH OIL,60160
ARBEE AQUATIC PROTEINS P.LTD.,FISH MEAL,293856
AREM FASHIONS,COTTON GOODS,4658
