Exporter,Product,QTY.(KGS)
 MULTI FLOOR EXPORTS ,COTTON GARMENTS,94
(K)SHETHRA EXPORTS,COTTON GARMENTS,104
11TH ZENSE FOODS P.LTD.,FOOD STUFFS,10915
2 FC,COTTON GARMENTS,50
24X7  COOLING SOLUTIONS,SPARES,717
2M COMPONENTS LLP,ELEVATOR PARTS,68779
4R FLEXIBLES LLP,PACKING MATERIALS,30623
A GHEE WALA EXPORTS,COCONUTS,28500
A ONE BUSINESS,COTTON GARMENTS,2355
A TO PACKING&PRINTINGS P.LTD.,PRINTED MATERIALS,82
A-1 CHIPS AND EXPORTS(I)P.LTD.,FOOD STUFFS,170490
A. TOSH & SONS (I) LTD.,TEA,296547
A.A.K INTERNATIONAL EXPORTERS,FOOD STUFFS,20891
A.A.K.EXPORTS,FOOD STUFFS,508216
A.BLUES CLOTHING,COTTON GARMENTS,882
A.C.N. TEXTILES P. LTD.,COTTON GARMENTS,194802
A.D.INDUSTRIES,SEALING MACHINE,6409
A.F.CASHEW,CASHEW KERNELS,115656
A.G.K AGRO PVT LTD,FOOD STUFFS,10643
A.G.R.APPARELS,COTTON GOODS,52842
A.I. ENTERPRISES,COTTON GOODS,60700
A.K. AHAMED MODERAN RICE MILL,RICE,194590
A.K.EXPORTS,COTTON GARMENTS,24075
A.K.IMPEX,COCONUTS,83960
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,131223
A.K.S.VEGITABLES & FRUITS,FOOD STUFFS,173861
A.K.TRADE LINKS,COIR MATS,10591
A.M.FISHERIES,FROZEN SHRIMPS,2512818
A.M.POWER CORD CORPN.,HEAT RESISTANT LATEX RUBBER PL,156294
A.N.A. INTERNATIONL,COIR FIBER,178120
A.N.G. OVERSEAS,RICE,74340
A.N.P.APPARELS,COTTON GOODS,63746
A.P.D.EXPORTS,COTTON GOODS,20876
A.P.ENGINEERS,AIR COMPRESSORS,118131
A.R. EXPORTERS & IMPORTERS,COCONUTS,27950
A.R.K.LINE,TAPIOCA,60603
A.S.ABOOBACKER EXPORTS,COCONUTS,56887
A.S.MARINE INDUSTRIES P.LTD.,FROZEN YELLOW TUNA,1318100
A.S.P. & SON ENTERPRISES P.LTD.,COCONUT OIL,36189
A.S.TRADERS,FOOD STUFFS,286158
A.V.FOODS,FOOD STUFFS,7384
A.V.T LEATHER & ALLIED PRODUCTS LTD,LEATHER GOODS,7603
A.V.THOMAS & CO. LTD.,TEA,455353
A2M VENTURES P.LTD.,HOSPITAL PRODUCTS,3623
AABHRIN EXPORTERS,PLYWOOD,15877
AAHANA INTERNATIOAL LLP,FOOD STUFFS,37585
AAKARA TECHNOLOGIES,MACHINERIES,48671
AANAM AGRO EXPORTING CO.,COCONUTS,1300
AANCHAL ENTERPRISES,PLYWOOD,740513
AANYA EXPORTS,SPICES,33663
AARA TEX,COTTON GARMENTS,75922
AARABHI EXPORTS,RICE,94700
AARAV INTERNATIONAL,COCONUTS,28700
AARESS EXPORTS,COTTON GOODS,54210
AARK SPICES AND AROMATICS,TURMERIC POWDER,64118
AARNI IMPEX,COTTON GOODS,2106
AARON AGENCIES,UTENSIL,12234
AARSHAVEDA WELLNESS PVT LTD,THAILAM,4958
AARTHIA IMPEX,COTTON GARMENTS,3905
AARUDHRHA FASHION,COTTON GOODS,18157
AASEERVAA  FABRICS,COTTON GOODS,2362
AASEERVAA FABRICS,COTTON GOODS,14381
AASHA BIOCHEM,CHEMICALS,4357
AATHAVA GARMENTS INDIA P.LTD.,COTTON GOODS,33519
AAYDEE EXPORTS P.LTD.,COTTON YARN,571881
AB MAURI INDIA P.LTD.,TURMERIC,7872296
ABA APPARELS,COTTON GARMENTS,14987
ABAD EXIM P. LTD.,FROZEN SQUID,260328
ABAD FISHERIES,FROZEN SQUID,4065985
ABB POWER PRODUCTS  AND SYSTEM INDIA LTD,ELECTRICAL ITEMS,1506132
ABBABIL TRADERS,COCONUTS,28400
ABC INTERNATIONAL,COTTON GARMENTS,10762
ABDULRAHMAN ALAJEEL P.LTD.,CARDAMOM,13360
ABHI MARINE,RICE,86227
ABHIDAKSHA GLOBALE,COTTON GOODS,7515
ABHISHRI GROUP,RICE,100000
ABI SOURCING,COTTON GARMENTS,30430
ABILAKSH INDUSTRIES,WATER COLOURS,4853
ABIRAMI TEXTILES,COTTON GOODS,10111
ABISHEK EXPORTS,FOOD STUFFS,95800
ABLE ENGINERRING COMPANY,FABRICATED STEEL HARDWARE,19210
ABLE EXPORTS,FOOD STUFFS,93460
ABLUES CLOTHING,COTTON GARMENTS,11837
