Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
07-31,1842774,1790659,786211,72050,46424,212768.2665983037,212768.2665983037,276505.49932350294,312312.4477374903,332372.76316401514
08-01,1504137,1939840,132474,613200,1292425,1374780.950354539,1374780.950354539,1379671.9998185802,1375341.0887894954,1369303.0768703101
08-02,494192,248142,985410,153552,2701790,2194627.4887487707,2194627.4887487707,2204562.072863754,2225039.2956167534,2254110.2084207884
08-03,1030556,1688033,985410,1053242,518301,789548.926868064,789548.926868064,783098.2038371657,774659.8948923792,770426.7159172021
08-04,1030556,350293,452949,31752,1198180,1235658.0274358443,1235658.0274358443,1221654.9995813863,1219481.2927593454,1210258.1583521587
08-05,1512319,1592203,985410,87319,73927,420525.8605653108,420525.8605653108,395652.7513978598,384991.1308142308,381338.7149899562
08-06,50991,995967,1715022,1258893,1304588,1457848.0377344438,1457848.0377344438,1448385.8180747095,1437831.1760666214,1426011.0750816385
08-07,1141053,1744126,1327088,1001102,794796,913279.0073599472,913279.0073599472,905917.3974162566,900704.5293026268,896053.3824668623
08-08,249906,995967,1805132,694112,1982668,1281884.9659649648,1281884.9659649648,1283349.4170362176,1280293.364831784,1277322.6874466247
08-09,203621,646170,736976,1001102,1262948,1137851.8858454202,1137851.8858454202,1132979.2699191703,1126813.183376077,1119932.9309910235
08-10,183259,2136348,1312861,83000,1198180,1249953.13978475,1249953.13978475,1250258.4491960248,1244114.345771286,1237086.5000801513
08-11,1030556,1360447,2079704,154181,1589140,1471880.3661825934,1471880.3661825934,1458986.1117765985,1445469.366094582,1433132.0302000516
08-12,1030556,918005,149043,1001102,130337,944218.552881827,944218.552881827,958791.4518323662,945771.1455830327,938780.4721704416
08-13,250651,995967,1686456,1001102,1198180,1209527.8575338707,1209527.8575338707,1200626.4214587351,1196174.5902434443,1190341.0391946016
08-14,2809531,1562233,985410,374371,1397685,1219731.9249999542,1219731.9249999542,1198077.5088666996,1197788.8657982484,1190256.574343083
08-15,182762,995967,81425,2250345,109140,445073.989818104,445073.989818104,416756.3191687699,426779.36749362055,429114.3526478039
08-16,1030556,2008845,1563185,254785,1000240,1421369.156872579,1421369.156872579,1414190.197543286,1401988.7758065618,1390077.3008709385
08-17,1490020,995967,985410,542978,2591653,1743936.323693087,1743936.323693087,1708308.4954829516,1690169.1637290765,1673296.0183003475
08-18,1030556,167724,309225,1232847,1198180,1524922.0816817305,1524922.0816817305,1514221.716914407,1503928.2157918497,1497926.5610204453
08-19,545365,738924,985410,1767985,535954,843205.2397156545,843205.2397156545,839164.730678699,834430.4980272284,830645.5561813419
08-20,229054,2152931,985410,263587,245116,740171.405286927,740171.405286927,730948.3947735,728302.1050036723,725454.3204039927
08-21,144986,109699,2005251,1421332,1198180,1247391.127469415,1247391.127469415,1239117.1736205795,1232412.256055612,1225900.037169169
08-22,105200,870185,1423800,922886,2347883,1711629.7607740911,1711629.7607740911,1689038.2530712688,1669881.138241299,1666913.150490534
08-23,11532,2581136,445413,1001102,934059,1198309.641848183,1198309.641848183,1192123.3603350015,1184877.6203737245,1175836.7303164003
08-24,1030556,995967,693932,323155,1767938,1343619.583514869,1343619.583514869,1351111.8791932317,1341019.506014648,1334874.2902636821
08-25,836328,266229,985410,799402,692267,941588.473217794,941588.473217794,928743.1214616532,925350.031267078,919207.7783609523
08-26,78000,90277,789389,323623,1198180,1099341.3537576825,1099341.3537576825,1089351.701523806,1083346.7802347722,1077312.8008228138
08-27,983630,995967,46182,1001102,221047,623160.1423944125,623160.1423944125,617001.6900745482,615681.0927060578,615321.2767291222
08-28,787922,2088198,1517943,184925,1639211,1434989.7411231264,1434989.7411231264,1419261.9937419118,1410966.7626297898,1401216.133672257
08-29,113473,1371241,985410,1687704,1198180,1540330.6650173664,1540330.6650173664,1540573.6248067473,1524745.5991969623,1512094.5029381514
08-30,1030556,1721775,274471,1001102,4243153,2341198.4765416235,2341198.4765416235,2313098.282558968,2317161.0569284447,2348216.625934218
08-31,1581838,813114,2050034,1280352,1198180,996739.7580598604,996739.7580598604,982660.5925015874,978178.1175105214,973485.9563241561
09-01,835290,995967,985410,1001102,1198180,1069046.013977952,1069046.013977952,1065314.0250264967,1060473.9243520023,1053111.9583356625
09-02,1452479,995967,985410,1001102,1198180,1300907.0909943131,1300907.0909943131,1296605.028412607,1297127.7663094166,1285533.2295108177
09-03,1127602,158098,708148,1222897,1982907,1733389.1863157293,1733389.1863157293,1719982.1748057858,1714219.497195839,1703267.6315804755
09-04,277265,2602408,985410,801358,1132502,1019028.5647711044,1019028.5647711044,1014831.4450579056,1007145.8343917922,1000754.7205590935
09-05,283414,255446,972796,102292,2267886,1757127.3063113631,1757127.3063113631,1730695.4799435812,1708292.3994257126,1686088.919602286
09-06,1353565,995967,1954325,2300934,70083,692502.2081708272,692502.2081708272,697527.8268677101,692613.3222092624,687382.8570334166
09-07,840629,1857767,2006033,2031956,1694375,1349998.4724788729,1349998.4724788729,1340877.5158474236,1330644.6866542147,1324673.1787311328
09-08,108200,995967,985410,1001102,1198180,1273792.7243241996,1273792.7243241996,1264274.039151433,1259397.632287389,1253367.1880491127
09-09,400244,1233784,286188,925660,1198180,1241847.209894391,1241847.209894391,1228582.7281497703,1220170.391750799,1216698.376408246
09-10,1917313,90000,985410,926953,678486,773569.6660079485,773569.6660079485,768778.0567622348,768582.870420056,764848.6039975099
09-11,1617895,995967,77024,2768970,535008,358370.6064741497,358370.6064741497,378000.5080147821,376885.8708673548,379886.1532990739
09-12,654462,997333,1435168,367064,1145079,1045490.3292940068,1045490.3292940068,1038092.9169539452,1028901.4381036476,1021769.1199110599
09-13,15000,995967,2126695,1262482,556929,1118597.4072883525,1118597.4072883525,1110949.1217743214,1103151.7200665344,1098432.456073075
09-14,1007291,1334077,324009,1850005,1198180,1479597.374176262,1479597.374176262,1479796.9770065784,1472611.8972998655,1472094.3108976344
09-15,572486,701882,2621862,1389161,1198180,1005816.4667504254,1005816.4667504254,1002493.4059466892,1001376.5089911724,995157.5497921829
09-16,505107,924059,985410,414255,1198180,933555.6983524766,933555.6983524766,928093.5806900763,920524.7848070594,915148.7297560062
09-17,1545056,513579,985410,1001102,1697516,1585720.626981477,1585720.626981477,1564278.209438812,1534929.987170176,1525393.1906599777
09-18,1697822,129518,441025,1001102,1198180,1101176.5245184808,1101176.5245184808,1092802.9723949991,1084134.3100638574,1078489.0323819376
09-19,563507,908119,985410,825057,1759496,1206337.5816095574,1206337.5816095574,1193228.690667468,1188156.6961616678,1180803.9880859468
09-20,1030556,384294,985410,1243506,1562431,1338351.1100700293,1338351.1100700293,1340032.7026859815,1332539.5603402173,1324727.9935577118
09-21,477958,979495,1321452,2961713,938942,1031023.7909132392,1031023.7909132392,1023402.3115409932,1018324.408457986,1012594.6093193761
09-22,316352,709874,2122983,621987,1198180,1270069.2561016693,1270069.2561016693,1257581.0504746097,1251976.652862461,1244394.9045947804
09-23,1030556,853624,414340,1001102,1198180,1088281.9560296938,1088281.9560296938,1083626.381543355,1078351.7451435064,1071992.1570430032
09-24,870680,1282206,92743,347056,1502601,1466459.304687663,1466459.304687663,1456411.6722584793,1455691.5762524025,1444966.181025654
09-25,3198049,61920,1417076,611149,496917,810927.893472514,810927.893472514,805086.0027198483,794589.9876249484,787434.1028232496
09-26,1030556,995967,985410,1853309,1198180,1256677.59979,1256677.59979,1253478.6806439543,1239255.8095270602,1233757.3675188227
09-27,1030556,1877253,145319,1001102,2449697,1963257.735330732,1963257.735330732,1951444.851340768,1941463.095432299,1918564.3638883769
09-28,936500,111977,345467,1336377,1198180,1287807.64218213,1287807.64218213,1289611.469079204,1282945.647533936,1274641.5641735941
09-29,2420666,690574,1895615,2205453,1372961,1269517.2780810914,1269517.2780810914,1263106.628543444,1252499.6336233616,1243990.9475514533
09-30,38000,1077076,25002,1001102,1198180,1036308.4110263638,1036308.4110263638,1023222.2881494558,1017429.7112940043,1012128.4366111119
10-01,1378525,995967,462707,1001102,2576140,1834857.8238347708,1834857.8238347708,1807649.2031633533,1783206.4936131835,1780747.8536621076
10-02,1030556,995967,618867,2051000,1177883,1464828.675791041,1464828.675791041,1453652.3169382154,1455486.4478566851,1453257.9380120109
10-03,448986,32531,2932800,396127,1198180,1104280.9200231694,1104280.9200231694,1105850.0732580011,1098151.4712543194,1093627.5047976822
10-04,2719554,500886,397539,1001102,1347521,1429702.6097522096,1429702.6097522096,1421959.4051234478,1412471.2136396838,1404384.9569966476
10-05,1030556,1727793,266169,1001102,887222,1519922.2921868977,1519922.2921868977,1495831.605461001,1486239.9392724424,1480179.3956497025
10-06,1030556,534194,219160,140492,1198180,1180857.6802594203,1180857.6802594203,1182514.226237313,1176503.1099269027,1170200.282914416
10-07,1799338,336087,985410,1113275,253239,387433.3971526358,387433.3971526358,389076.90661707177,393251.2611850649,394175.4481814772
10-08,92929,577380,496805,2554997,399892,668961.9842896377,668961.9842896377,651942.7170983686,652538.7005520827,648435.2394007886
10-09,754418,995967,985410,1001102,1301113,1053601.845717644,1053601.845717644,1051626.882684261,1046859.2030546288,1040055.0981657391
10-10,406531,995967,1655854,1001102,1040320,890489.1444890103,890489.1444890103,886798.128787992,883065.8188111682,876194.8544122075
10-11,1030556,995967,502113,1901362,3164532,2183244.0031626457,2183244.0031626457,2322689.3089648043,2408331.4845055444,2417257.497142829
10-12,1545985,1263175,390885,187610,1198180,1240935.2558237617,1240935.2558237617,1243092.3895956187,1236160.7910823328,1228518.9952015697
10-13,1030556,900885,638239,190401,1198180,1228808.60360273,1228808.60360273,1216781.033602677,1210819.6079244183,1203990.7278724601
10-14,959612,2801771,1334916,1294739,1198180,1229587.0785517427,1229587.0785517427,1222347.012842526,1218720.238975906,1210853.2861312656
10-15,1030556,995967,30000,1001102,1198180,1080937.6856519382,1080937.6856519382,1058080.2189144404,1054899.6718616332,1050289.2652371037
10-16,2902543,995967,1465541,117895,1720179,1283421.510230173,1283421.510230173,1269944.9779061766,1259321.1653293013,1252747.0059270042
10-17,1030556,995967,985410,1685168,789497,957297.711600973,957297.711600973,950687.8778898718,946011.1068253196,938952.7021680465
10-18,372810,1764841,89608,964895,1352002,1276812.713755811,1276812.713755811,1276049.6898314727,1269916.7420764398,1259972.5995392818
10-19,467978,995967,1856334,1270703,1968600,1455843.4860691098,1455843.4860691098,1455349.6564048205,1459570.4198320706,1458980.9603624116
10-20,1030556,337365,985410,1001102,1198180,1132229.0949369315,1132229.0949369315,1124538.7283067603,1118214.9055448726,1113039.930253723
10-21,727386,1232607,1384924,1520478,472053,716679.0514064159,716679.0514064159,720622.3984166866,721476.9184214002,718992.9002489002
10-22,1231810,1442428,985410,109161,323999,381670.7669150518,381670.7669150518,395361.5981304989,399516.4552592434,399712.03184392606
10-23,1882107,154999,81766,702053,692504,752118.3352073361,752118.3352073361,745088.5060349888,741065.3779870495,732917.010066202
10-24,1030556,995967,985410,1206527,2678247,1828137.097722002,1828137.097722002,1854735.7436744345,1867873.5484785808,1862937.0667996474
10-25,1030556,1220440,985410,1001102,1764542,1409567.320698252,1409567.320698252,1394378.4120216998,1385413.254569779,1377063.0656003356
10-26,630233,24000,2728328,1607445,1198180,980114.0562458554,980114.0562458554,972933.2999178868,968501.4364387916,964814.6458709632
10-27,1489303,984841,1390039,1432875,1198180,1031271.6247694374,1031271.6247694374,1035947.7349212012,1026775.2477008458,1021391.0014878964
10-28,1030556,1331615,985410,28320,49881,439991.86185294105,439991.86185294105,423063.2424155236,416678.6288796133,412128.6141529942
10-29,2345779,1242249,40033,1001102,1048859,1176654.276643076,1176654.276643076,1171140.0767747744,1166420.1952911774,1154829.948046945
10-30,1590006,69450,985410,496914,2158821,1907053.1432494784,1907053.1432494784,1863680.9562225617,1842477.7361549344,1826884.4294587097
10-31,1030556,995967,167759,2622446,1198180,1309509.4101284535,1309509.4101284535,1276064.0146698072,1270302.408394982,1265238.5504940636
11-01,1030556,1317508,985410,1163870,2776196,1914136.6114198207,1914136.6114198207,1894442.378952488,1898273.691885603,1908334.7973383132
11-02,1030556,911443,1779630,555545,1068819,1221828.9998877284,1221828.9998877284,1212579.4958606134,1207690.0334961135,1201380.7726269304
11-03,597719,1549416,110237,1001102,1198180,1312020.565136108,1312020.565136108,1316682.4884754338,1308505.4363748871,1303974.7930233816
11-04,1030556,995967,985410,1001102,549580,1013875.5870960114,1013875.5870960114,1010306.447321236,1006019.268444865,1000569.5358427244
11-05,685638,995967,856184,2894443,515414,584638.8640005512,584638.8640005512,575603.0372307799,577512.5717442355,579697.5281131166
11-06,1084752,1895321,289131,749747,749205,1062543.2798771344,1062543.2798771344,1059361.6866488028,1051566.643141925,1047199.9640702404
11-07,476374,249075,301669,1140349,1198180,1220936.5642107902,1220936.5642107902,1208551.1400471665,1203098.8145845835,1196620.5990622093
11-08,53000,24000,1826925,215714,1877499,1955051.302376561,1955051.302376561,1913236.4637905688,1895962.044617931,1881725.412617452
11-09,1823828,313454,985410,548946,631011,898172.7494030931,898172.7494030931,895810.0961976001,889836.5577507041,885468.3919279207
11-10,776127,798181,985410,738000,735571,838851.3095926694,838851.3095926694,832428.8342416228,826661.3532584123,820296.2245532335
11-11,669810,1769135,1303282,1001102,127226,824680.0607579098,824680.0607579098,820519.4530191179,816937.9570669953,812579.0954499211
11-12,45000,65554,345699,999768,263172,513896.65161512495,513896.65161512495,497312.0943183039,478311.3516801029,468696.93924488797
11-13,1030556,1443565,1195712,392751,1321624,1363853.600578401,1363853.600578401,1355813.5758829734,1351537.269321957,1345509.678942692
11-14,1030556,31000,136145,400150,186143,441881.1032265819,441881.1032265819,451526.61383587896,457881.13860483264,459142.16727540956
11-15,76884,1911086,1246453,1599285,3334970,2657607.882871182,2657607.882871182,2557349.383112923,2483083.921572016,2430553.584262706
11-16,1488036,249889,1338890,1885526,1722214,1607112.5117275305,1607112.5117275305,1612484.2853995275,1625040.761989552,1630534.9231474209
11-17,788942,709253,178053,494876,1198180,1136689.3155852626,1136689.3155852626,1135972.2433055693,1130260.0266775466,1120065.427115733
11-18,1030556,1860922,985410,1001102,55000,776767.7861941577,776767.7861941577,773050.4435639953,770193.4519081478,767401.8794839756
11-19,1894887,1084605,353904,36316,766455,681493.562476174,681493.562476174,667296.7032880085,663428.245548471,658566.879006259
11-20,979633,196508,985410,1001102,977132,1280988.7850979336,1280988.7850979336,1274793.9578650629,1265592.773732372,1258371.8448815092
11-21,409356,995967,223948,2423678,1451698,1167257.4710986705,1167257.4710986705,1161684.4380238296,1158035.472151179,1150792.3130565288
11-22,1030556,926905,1492144,1415482,63754,588178.2145905708,588178.2145905708,586699.0183896181,585146.1149682648,579387.7823877407
11-23,982438,995967,740304,1507256,2415260,1811601.929865594,1811601.929865594,1794170.3103585318,1786575.4920143937,1776974.3912526905
11-24,673080,1367013,985410,1616300,1198180,1109013.671120362,1109013.671120362,1101608.9215561422,1099570.9379768355,1092948.3402488835
11-25,1030556,761752,410993,1001102,57765,777421.7958440727,777421.7958440727,772422.9986440709,768642.5842135911,761158.3368053318
11-26,1412139,1072610,1403657,1001102,216931,598127.7841083284,598127.7841083284,609706.8501796009,607691.1894446997,599747.5515818397
11-27,1894303,402778,985410,1001102,541469,754013.2805768179,754013.2805768179,753918.1671916208,745795.0130272091,740182.0913293597
11-28,1030556,119302,19200,414573,929854,1007498.8685506008,1007498.8685506008,992470.3519630864,984420.9731928988,980025.0939249828
11-29,232468,1375245,1182522,1791887,3127228,2638084.0304414257,2638084.0304414257,2549737.6710995547,2482112.0058625075,2430553.584262706
11-30,2113886,15000,1645897,2049082,1025531,1001325.7961677894,1001325.7961677894,1004058.0891281698,993818.7414243876,989215.0707072142
12-01,1843619,995967,139500,1001102,55305,568978.7025625544,568978.7025625544,553298.1372399754,546331.8350085657,540359.041400622
12-02,809940,9000,1553751,110608,643685,1232659.7755955504,1232659.7755955504,1227784.8977365068,1215949.553380237,1211242.1615926502
12-03,694473,2017247,382568,2581756,414578,611506.913887635,611506.913887635,602647.0811336043,600156.2898945302,593960.2444072505
12-04,467960,1795842,985410,1530076,1140472,999103.6961913316,999103.6961913316,996693.9753352008,992487.2780311452,983472.8143580894
12-05,1182186,409224,1842527,77185,1573210,1466330.13682433,1466330.13682433,1449339.2010521863,1433984.7406688312,1423147.7556843124
12-06,1551718,186283,985410,193758,2006936,1989330.321514978,1989330.321514978,1973712.946703469,1941949.646670245,1913591.740607309
12-07,1030556,588744,1147598,1001102,1092071,1236430.363140609,1236430.363140609,1226872.71420701,1220892.3697934516,1214383.073293606
12-08,2085781,899322,257842,451476,1198180,1200504.8360953175,1200504.8360953175,1201832.464397854,1194557.0654353383,1186471.0634906017
12-09,16914,728628,39000,1001102,109718,438163.6116246375,438163.6116246375,437576.9897882954,437151.9375427444,438279.14624139096
12-10,2070899,995967,406871,4125467,658817,722993.291678631,722993.291678631,711287.2279364895,704780.5634171881,700215.8163439168
12-11,1940027,882100,859360,142092,917003,915601.2327269408,915601.2327269408,912372.9315790416,907713.1857851014,904478.9529793458
12-12,227062,109222,1728747,1942264,299712,799576.5834402988,799576.5834402988,796061.071481587,793356.5366535046,787779.1608874935
12-13,1577389,976204,985410,542694,1198180,1275785.3515381638,1275785.3515381638,1268071.5255908172,1255860.1087067423,1249872.075281035
12-14,1658727,995967,232187,3466336,383748,565379.8395636722,565379.8395636722,570633.4178737148,560648.7547430707,554615.5954056212
12-15,1030556,170426,244856,887390,3488779,2502704.9525454016,2502704.9525454016,2441305.715940668,2410388.6769373533,2370783.809622277
12-16,1030556,3601666,967871,1001102,54200,874450.1006721207,874450.1006721207,872340.1410929072,867597.1855467124,858756.1856854387
12-17,1530251,995967,751870,1001102,1157229,1303852.478216326,1303852.478216326,1309461.5047491633,1297127.7663094166,1289512.4758586443
12-18,1765062,285767,985410,1001102,410130,772550.2818123798,772550.2818123798,759334.3727619243,747422.4948909325,741336.0050519444
12-19,174369,995967,2185577,617646,1363541,1272086.5189628515,1272086.5189628515,1257600.2000144864,1253440.8969640452,1250098.5298299415
12-20,1030556,666645,179996,149415,1198180,1142471.806698595,1142471.806698595,1139331.9252738971,1138816.0792005986,1128249.8534876814
12-21,1241728,511703,391474,1957493,2467849,1976588.938518744,1976588.938518744,1948008.5479592823,1959016.802140273,1963344.379406658
12-22,594721,995967,248608,1574834,1198180,1397410.01676938,1397410.01676938,1374947.3433401906,1364142.4040394004,1353589.836159883
12-23,1030556,1871252,1462512,1001102,82256,625949.6240204902,625949.6240204902,611410.8418685638,603349.4938841902,597948.852942542
12-24,3122642,117747,606878,1224472,1198180,1283617.3982293238,1283617.3982293238,1277355.35718999,1271919.0103636929,1263062.3705135135
12-25,103044,253650,959254,1004549,1086993,1186910.9810839272,1186910.9810839272,1180420.9129318593,1175811.9872949475,1169364.6973209677
12-26,1030556,2004698,1433966,1001102,1408096,1184058.84371633,1184058.84371633,1179373.4953502368,1171835.2786766265,1165656.3625683256
12-27,125924,643626,985410,2648166,1669346,1272807.0453910169,1272807.0453910169,1277394.7486133992,1268557.2372632998,1262264.8054741165
12-28,2477337,995967,3430383,1001102,1113987,1247225.2771246086,1247225.2771246086,1240245.8294414266,1231425.0727005189,1227560.4807366766
12-29,1030556,392141,985410,966369,278274,858129.3366388396,858129.3366388396,844014.8437897371,839124.0691541759,832534.9171305991
12-30,1030556,1054901,134188,178873,416466,571372.1060863605,571372.1060863605,583505.1598668513,580056.5283930504,581573.7069585024
12-31,903441,1088381,985410,1001102,1218553,1191918.564357763,1191918.564357763,1184832.5953782827,1177626.32707487,1173280.8206583702
