Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
01-23,1030556,142513,1061872,1548146,1129780,1092915.829680549,1092915.829680549,1085521.1803671203,1082013.5646819917,1076464.0698086417
01-24,1030556,27319,227081,413233,143641,523689.7133132918,523689.7133132918,503094.75746272586,479202.7620888966,458991.6644443433
01-25,1030556,1222646,985410,319128,1145817,1066202.7459548884,1066202.7459548884,1062842.3815070025,1058519.751758458,1052743.6623214926
01-26,1104338,1206472,985410,1001102,1159382,1276277.3750168956,1276277.3750168956,1259673.2272171248,1257364.5928393346,1249089.5012748707
01-27,954906,995967,784544,492286,185400,532799.2131792608,532799.2131792608,530690.7472244314,533407.1582862764,534100.147472928
01-28,1015526,825453,2632286,396486,1198180,1220133.1272142294,1220133.1272142294,1217138.2448835915,1208473.591683696,1202531.7407763794
01-29,942716,1847598,945094,1962881,153826,436539.64585763146,436539.64585763146,422868.2244464313,414504.9507026925,405200.3272174806
01-30,784595,150401,87876,493016,1643480,1321985.707059211,1321985.707059211,1318020.6264924477,1311670.9053362005,1304572.8093382579
01-31,1030556,995967,906574,1001102,1198180,1082597.393415136,1082597.393415136,1082927.52016892,1077397.8782213249,1071992.1570430032
02-01,789490,1906464,985410,991597,1425002,1316408.541037355,1316408.541037355,1318843.3905799142,1313093.588315314,1304863.9553978837
02-02,1425029,52270,159551,54260,1741415,1530136.5015577287,1530136.5015577287,1549104.8576258807,1552153.543303412,1550182.278584656
02-03,1496304,995967,507431,1001102,1198180,1424264.1043696948,1424264.1043696948,1424043.8720703318,1415742.4150362895,1409344.885365772
02-04,1411179,1249785,985410,1001102,1198180,1392706.2407584605,1392706.2407584605,1401797.52653173,1387878.2631003435,1381272.678390529
02-05,1030556,995967,985410,158589,438234,888792.2031075236,888792.2031075236,881858.2791002099,875806.4679989015,871134.3505464175
02-06,329730,995967,2572838,2331196,1198180,1243941.678447766,1243941.678447766,1236727.259189938,1232805.0016483928,1224483.013954937
