Month_Day,2018,2019,2020,2021,2022,2023,2024
04-25,18000,445393,985410,1001102,1198180,1266275.0695355788,1266275.0695355788
04-26,1030556,1034416,3791522,1303232,539478,1047163.1230027314,1047163.1230027314
04-27,425729,995967,807485,1219717,477336,912647.5079833618,912647.5079833618
04-28,353346,995967,985410,292517,843429,991706.5670281324,991706.5670281323
04-29,1492435,1970252,2068891,1001102,1527271,1511048.489269814,1511048.489269814
04-30,1794152,2101064,985410,1238210,1037837,1158598.8400552336,1158598.8400552336
05-01,986364,995967,985410,1001102,66795,913905.5507433364,913905.5507433364
05-02,1030556,1015588,2110999,1001102,2361155,1403332.7146526368,1403332.7146526368
05-03,893405,1277713,1300098,1001102,2183113,1794371.3383142112,1794371.3383142112
05-04,1030556,2828337,985410,228621,1811580,1308926.4929809074,1308926.4929809074
05-05,101725,391165,2064058,1001102,608008,997516.744924991,997516.744924991
05-06,1165063,1031023,2700232,1250466,762558,937894.660019821,937894.660019821
05-07,1030556,533203,102836,332753,1198180,1222662.9625586302,1222662.9625586302
05-08,446726,1389275,1504014,15876,250165,495655.44342140696,495655.44342140696
05-09,1226065,2524884,236003,2124476,1198180,1283142.1251751245,1283142.1251751245
05-10,556401,995967,139570,2700007,2708486,2238241.320891708,2238241.320891708
05-11,1679491,1805895,991281,346950,1198180,1134691.3110506225,1134691.3110506223
05-12,344526,995967,1783359,1001102,501138,1009287.170164866,1009287.1701648659
05-13,1030556,1205260,985410,1001102,1198180,1266951.7038322,1266951.7038322
05-14,1635511,1689095,985410,1103407,100686,345934.9185460796,345934.9185460796
05-15,1457846,72452,80000,1001102,2582503,2307852.0587711777,2307852.0587711777
05-16,1030556,15000,1536693,2389491,1710925,1137767.4089417283,1137767.4089417283
05-17,1030556,424325,985410,1001102,1198180,1131510.8642423763,1131510.8642423765
05-18,618354,1035713,1618502,1001102,335345,596190.5955529455,596190.5955529455
05-19,1724855,995967,1700775,980163,1198180,1076715.7777521557,1076715.7777521557
05-20,32977,1269085,985410,502782,1172228,1212326.4803678384,1212326.4803678384
05-21,1152978,1797842,766116,797311,329540,434520.2858305322,434520.2858305322
05-22,1569985,324857,1932343,1001102,2225042,1893076.7879625976,1893076.7879625978
05-23,224529,995967,985410,160463,641067,1050456.0145383673,1050456.0145383673
05-24,1030556,2000530,985410,1709501,328220,594259.9924495933,594259.9924495933
05-25,1030556,47878,1354063,410375,273731,665434.6618731677,665434.6618731677
05-26,2481189,995967,1144446,1001102,179127,953935.9335749202,953935.9335749202
