Month_Day,2018,2019,2020,2021,2022,2023,2024
02-07,688557,1476566,934975,977010,1843370,1216325.3001231535,1314479.0572249456
02-08,1030556,995967,985410,1101291,116126,1007404.339348432,938960.957590745
02-09,1030556,312548,1268497,1001102,2471658,1553444.8990267084,1664084.6680118823
02-10,1088732,822724,1362825,1018816,478275,788147.4208129321,865786.7366705195
02-11,601293,132419,314981,1429343,1362634,1193529.6514822072,1306805.348556199
02-12,460360,692093,985410,900457,726187,1013807.9846412196,970013.0577641025
02-13,2398350,2191269,198297,211762,155059,623971.4624417312,645787.426768983
02-14,1030556,303587,1049381,1001102,1198180,1228907.385711928,1238998.706171394
02-15,1030556,995967,985410,2408771,1652443,1118756.7612556538,1168283.611621548
02-16,1093939,2517677,1070399,1001102,1949754,1826359.059322878,1702873.177513774
02-17,740732,995967,1500949,522482,1013301,1022349.798329446,1070364.5652729922
02-18,523076,382618,985410,1252606,1198180,1118779.5275164354,1187451.2357397033
02-19,1489902,3008623,1716966,1001102,1198180,1314867.9384525684,1278478.6023976468
02-20,1030556,950731,985410,27739,837028,641822.4139880125,756761.0196931845
02-21,1030556,995967,796524,2229961,243382,724278.5912521462,676180.5689792287
02-22,101205,1678316,108480,1001102,2049523,1490246.82264081,1497391.9373027536
02-23,1099768,995967,985410,1484415,858533,1087872.8194085334,1139124.305677546
02-24,2467016,995967,470643,1001102,1128715,1182190.259633636,1154441.1634876837
02-25,168321,239982,3137760,2253089,3460002,3056381.2735509127,3045090.7032656195
02-26,462624,1528091,985410,49365,150400,398617.8529978558,474745.3719738609
02-27,1030556,2832122,80500,63440,1931645,1784085.9309455445,1797737.0170159857
02-28,2634970,174908,1287027,1530044,1198180,1332948.0062171505,1300969.7993011079
02-29,1030556,995967,327600,1001102,1198180,1330206.1301807312,1265681.166579727
03-01,1568864,30000,908411,1710320,416566,617391.6071906795,669661.4769173808
03-02,325350,184674,1692063,2318550,1198180,1264484.3566328783,1196114.0671194938
03-03,1030556,995967,1861632,1716547,2518352,1848789.1464343043,1786927.480071335
03-04,851189,244133,985410,1001102,1198180,1312109.7119231585,1246406.451349004
03-05,1030556,1455546,985410,516744,1198180,1115319.872584248,1164211.059141198
03-06,1030556,436210,985410,1001102,1307534,1210438.7020396744,1268981.7855688257
03-07,2081765,2330899,116658,717982,1675220,1631690.741104449,1537250.5855576347
03-08,1030556,717189,985410,951038,2272944,1148515.6799126551,1417729.1253022929
03-09,1305558,1255571,985410,864154,392653,1002008.1967392672,874807.064853384
03-10,163942,995967,1643753,293124,2669379,1767035.5514550868,1812650.746161815
03-11,115145,469899,985410,587201,1771864,1390450.865648798,1431922.3278147576
03-12,510561,3456441,985410,494437,65685,176326.27405893215,215962.4226502902
03-13,2196313,350224,1229715,40683,135781,552923.4289470554,595364.4747174708
03-14,1030556,67000,985410,751293,1198180,1188792.89010887,1166374.9572281565
03-15,1030556,1200668,1193342,1564704,1198180,1537761.371393453,1374350.8244639612
03-16,1602161,995967,830256,1001102,1198180,944784.8437766968,962489.2323265165
03-17,1030556,76550,2627578,25192,4020098,3399263.9727101782,3381714.9458441157
03-18,1030556,1727729,155807,259051,1198180,1391028.7569022314,1341523.1173811129
03-19,1687425,2451760,32520,1001102,3059973,2495898.488415511,2472094.739391365
03-20,1655416,1080785,985410,1690959,179050,456050.6517558957,585010.7722349137
03-21,528260,995967,2705552,1001102,696148,1012893.2204624144,969586.7483585776
03-22,162628,1498038,985410,2188064,1198180,1255658.5999435135,1233331.303847603
03-23,1619254,1031149,794277,1001102,814368,683984.0537818177,717647.0913416564
03-24,1005079,104250,985410,1971625,1198180,1036051.9321860352,1113422.699366545
03-25,598436,515081,1526106,1729813,1198180,1160861.764984664,1173817.734572519
03-26,158036,2629049,1260144,682275,1198180,1565535.4840831377,1535725.8504593011
03-27,2837339,39925,723123,199288,3101867,2955321.7037192406,2901599.0450125085
