Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
19-Jan,8643290,8438458,7468257,658528,97953,407951,0,4774840,0,0.0,99998.23532806525,4775695.757530187,406167.2889289847,4777743.309760877
20-Jan,8620382,2648757,19182277,0,0,16275260,3690622,30134770,2893272,3690649.2244391777,171.10725248698145,30134993.972332843,16274838.567157049,30135461.941044807
21-Jan,7955000,7634669,0,0,14540235,15984323,13828242,5912556,9309437,13828703.655346736,14539546.52975094,5912855.621335872,15982141.710874127,5912062.240063518
22-Jan,8720557,5209629,0,10594523,17803053,466452,1032651,6447100,10514934,1030446.3191059418,17803807.69529421,6447894.465773115,464031.9542870252,6450734.49480517
23-Jan,4917897,0,5038821,19585745,9308595,7326157,7263975,11149910,2147394,7262710.469994863,9307673.598153356,11152618.508632094,7328814.001324076,11155370.048551712
24-Jan,0,20007000,9510484,0,13544000,4777456,0,3163047,3112548,91.14064237475397,13543302.67345069,3163360.089488431,4778470.982366364,3165645.238411892
25-Jan,4667591,6264908,2306041,0,6100000,23998032,0,10650631,0,0.0,6098613.94758837,10650926.91469143,23997456.4381253,10652435.949088577
26-Jan,5376747,6565602,10280431,7695663,1524801,16411300,43440630,1444888,0,43440492.33514846,1525484.9633677052,1444562.2758263592,16410830.64988996,1443762.3591196956
27-Jan,7781848,4378475,8312937,47707472,7052950,8643528,0,1002140,6344321,0.0,7051948.483559911,1002788.3327958324,8644100.719976071,1004692.4169759797
28-Jan,223055,7447470,0,7667552,13781684,11705253,20784989,0,8341393,20785625.119264483,13780988.654915627,0.0,11704286.130780682,0.0
29-Jan,3572309,0,110575,12255967,5843050,4917312,10323541,11311118,1470556,10321593.332966076,5842443.809275495,11310830.669057552,4916718.892912046,11310398.017546188
30-Jan,4970042,6941403,0,9035891,9350600,2500,0,2475587,544656,0.0,9351352.529974408,2474984.85731588,0.0,2474778.561945085
31-Jan,8525581,0,11024715,0,6314572,11467290,15445260,5328854,5309958,15445835.385269249,6314817.282527366,5329423.634229779,11467390.253230335,5328913.626629593
01-Feb,7150572,574202,6807539,0,2145574,0,5995560,8389685,0,5994473.149010991,2143160.324371977,8389105.020299066,0.0,8389422.25894318
02-Feb,0,13152221,4076356,4609705,147668,0,16037776,0,0,16036950.80213987,148101.8525181301,349.51513756252825,710.3677673805505,0.0
03-Feb,7399001,4087610,1590026,221058,0,24857635,0,0,2081747,0.0,329.27028785739094,403.799284754321,24857873.47731709,0.0
04-Feb,2039703,8185501,0,8327349,22159471,0,6521899,0,8084425,6519610.375250853,22160429.379702657,379.3445057692006,0.0,836.8192688599229
05-Feb,1428131,2027852,14960480,17835988,9709455,17413857,0,2520092,4097507,1058.4580993596464,9708847.251158342,2520041.750722421,17414192.215693835,2519363.6822533538
06-Feb,13450972,0,630319,18492648,14728715,64183,25757680,0,0,25756705.140177336,14728947.44624252,390.3630338869989,63697.20183752198,0.0
07-Feb,3921859,0,6129682,1600209,0,2800,53850,6562519,8875414,52295.1371867042,1448.5903634643182,6561370.896773506,1422.453107917681,6560792.522574119
08-Feb,45286395,8856781,2245169,0,1347316,0,10914709,52812774,2649405,10915180.077328416,1347567.432099132,52812455.2984443,608.6045397371054,52811858.9769935
09-Feb,0,14459479,8959318,79364,74801,0,0,3315298,1301508,0.0,74053.95320309233,3314593.6671475326,0.0,3313432.3060528245
10-Feb,7142179,47471103,6063530,65575,0,8318778,6265128,10941871,6735359,6263679.520812593,0.0,10941601.81627372,8317774.095012919,10942660.541446082
11-Feb,3651519,5952882,0,5218480,5531270,9475846,9393848,4727761,2052169,9397926.700272366,5529881.569947735,4728135.099627606,9478006.558715563,4725003.429004603
12-Feb,0,9024901,7431576,13363127,35323238,11585397,79923,5560334,46122474,80257.20471578836,35323539.87488407,5560467.158521437,11585157.949429888,5561060.655524648
13-Feb,16842890,0,41653,9050660,6733396,359346,8562608,0,4038958,8565226.28583178,6733406.205231546,0.0,359141.67956456635,0.0
14-Feb,7887608,0,6837864,4600000,5543350,0,0,5837954,3627270,0.0,5542315.658162392,5836810.130678374,842.6542497687042,5838222.618609282
15-Feb,17840329,6258292,3808335,7150000,7850200,0,12222436,6730346,3444055,12222315.195346797,7852104.4591046,6732923.583692184,0.0,6732084.214455131
16-Feb,0,5781865,7282450,168970,10558785,81013,16465000,12281361,0,16463318.35000036,10559566.215931,12281686.054568384,81343.90601056721,12279458.07433141
17-Feb,4866029,0,4836131,4546385,0,49348221,8543446,4651007,3140029,8543916.203477519,389.5488579720258,4650451.640970485,49347342.0449976,4651282.039752712
18-Feb,20642546,7393509,0,7440339,3499910,9076401,7161890,11100420,7693102,7162517.070226051,3501278.526223616,11100211.555267671,9075772.320921956,11100989.1155017
19-Feb,873764,8222778,0,11140441,21932490,15367148,0,0,1780229,0.0,21932146.595207635,423.325490385294,15368221.36558811,1324.5875616325065
20-Feb,34778824,0,0,6700936,5696446,0,332975,5860599,2498874,332914.55269793887,5695725.767136035,5859854.484277123,0.0,5860479.840597028
21-Feb,2737342,0,7942342,0,0,5501000,445807,15675988,15682780,447450.2238337882,0.0,15675542.80450073,5500041.477597637,15676732.558647541
22-Feb,15992963,0,3897443,0,41451208,154914,6997696,4375396,4289568,6998079.635569597,41451590.00463766,4374845.399847479,153928.03590341192,4375284.82478334
23-Feb,0,15248855,7582718,40712,7549950,0,8320491,11753246,13540360,8320085.6812836435,7550100.698309674,11752966.157992365,0.0,11753007.33635876
24-Feb,7592251,2776979,5294004,12587202,0,940878,23166660,8347820,0,23167527.12030301,508.7148986971006,8348332.083644142,940465.4399625632,8349650.497085794
25-Feb,2940443,7407849,3117536,1039742,6339908,25620201,293199,11076757,9024750,294235.2822865043,6339612.529148153,11077279.939854063,25620348.256572664,11078095.91319583
