Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
02-Feb,0,13152221,4076356,4609705,147668,0,16037776,0,0,147667.99999999284,0.0,1.213628308960324e-09,4076355.999999991,0.0
03-Feb,7399001,4087610,1590026,221058,0,24857635,0,0,2081747,0.0,7399000.999999994,2081747.0000000016,1590026.0000000005,2081746.9999999634
04-Feb,2039703,8185501,0,8327349,22159471,0,6521899,0,8084425,22159471.000000004,2039702.9999999995,8084424.9999999935,6.681602826574817e-09,8084425.000000031
05-Feb,1428131,2027852,14960480,17835988,9709455,17413857,0,2520092,4097507,9709455.0,1428131.0000000028,4097507.000000008,14960480.000000002,4097507.0000000373
06-Feb,13450972,0,630319,18492648,14728715,64183,25757680,0,0,14728714.999999996,13450971.999999993,3.6088749766349792e-09,630318.9999999923,4.332241587690078e-08
07-Feb,3921859,0,6129682,1600209,0,2800,53850,6562519,8875414,0.0,3921859.000000002,8875414.0,6129682.0,8875413.999999974
08-Feb,45286395,8856781,2245169,0,1347316,0,10914709,52812774,2649405,1347316.000000018,45286395.00000001,2649404.999999988,2245168.9999999944,2649405.0
09-Feb,0,14459479,8959318,79364,74801,0,0,3315298,1301508,74800.99999999693,6.845624830113294e-10,1301507.999999998,8959317.999999998,1301507.9999999711
10-Feb,7142179,47471103,6063530,65575,0,8318778,6265128,10941871,6735359,1.4800508312841352e-08,7142179.000000003,6735358.999999991,6063529.999999998,6735358.999999949
11-Feb,3651519,5952882,0,5218480,5531270,9475846,9393848,4727761,2052169,5531269.999999997,3651518.999999998,2052168.999999999,0.0,2052168.999999982
12-Feb,0,9024901,7431576,13363127,35323238,11585397,79923,5560334,46122474,35323238.00000001,1.5319088300574334e-08,46122473.99999999,7431576.000000021,46122474.00000005
13-Feb,16842890,0,41653,9050660,6733396,359346,8562608,0,4038958,6733395.999999997,16842889.999999993,4038958.000000001,41652.9999999979,4038958.000000009
14-Feb,7887608,0,6837864,4600000,5543350,0,0,5837954,3627270,5543349.999999995,7887608.0,3627270.0,6837864.000000001,3627270.0000000033
15-Feb,17840329,6258292,3808335,7150000,7850200,0,12222436,6730346,3444055,7850200.0,17840328.999999996,3444054.999999998,3808334.9999999967,3444055.0000000116
16-Feb,0,5781865,7282450,168970,10558785,81013,16465000,12281361,0,10558784.999999993,7.03289636624072e-10,0.0,7282449.999999996,2.3355823941528797e-09
17-Feb,4866029,0,4836131,4546385,0,49348221,8543446,4651007,3140029,1.1515763947752642e-09,4866028.999999997,3140029.0000000084,4836130.999999997,3140028.999999964
18-Feb,20642546,7393509,0,7440339,3499910,9076401,7161890,11100420,7693102,3499910.000000004,20642546.0,7693101.999999999,0.0,7693101.999999993
19-Feb,873764,8222778,0,11140441,21932490,15367148,0,0,1780229,21932490.000000004,873763.9999999983,1780228.9999999958,8.561073627788574e-09,1780229.0000000368
20-Feb,34778824,0,0,6700936,5696446,0,332975,5860599,2498874,5696446.000000006,34778823.99999999,2498873.9999999967,1.5425030142068863e-09,2498874.0000000214
21-Feb,2737342,0,7942342,0,0,5501000,445807,15675988,15682780,0.0,2737342.0000000075,15682780.0,7942342.0,15682779.999999963
22-Feb,15992963,0,3897443,0,41451208,154914,6997696,4375396,4289568,41451208.00000001,15992962.999999993,4289567.999999984,3897443.000000017,4289568.000000095
23-Feb,0,15248855,7582718,40712,7549950,0,8320491,11753246,13540360,7549949.999999997,5.969446362385241e-09,13540359.999999996,7582718.000000001,13540359.999999978
24-Feb,7592251,2776979,5294004,12587202,0,940878,23166660,8347820,0,0.0,7592250.999999998,6.119080353528261e-09,5294003.999999986,0.0
25-Feb,2940443,7407849,3117536,1039742,6339908,25620201,293199,11076757,9024750,6339908.000000002,2940443.000000002,9024749.999999996,3117536.000000004,9024749.99999997
26-Feb,297000,7615486,0,3803479,11828580,0,0,5966153,8645446,11828579.999999996,297000.0000000023,8645445.999999993,4.69935912406072e-09,8645445.999999993
27-Feb,8646710,0,56828,10647972,7435426,0,4611096,5264289,6636936,7435425.999999997,8646710.0,6636936.0,56827.99999999923,6636936.000000005
28-Feb,2492767,14000,3030900,7930662,5348498,12689294,7469730,0,6502486,5348497.9999999935,2492766.9999999986,6502486.000000004,3030899.9999999986,6502485.999999991
01-Mar,10282049,5257480,2955041,0,1529988,0,6796000,6582468,8704759,1529987.9999999944,10282049.0,8704759.0,2955040.9999999977,8704758.999999974
02-Mar,25395000,1957603,2394100,0,0,2300706,4797730,0,0,0.0,25395000.0,0.0,2394099.9999999977,0.0
03-Mar,5742029,4333609,5794189,1175273,0,15262834,17372654,3427473,4099346,0.0,5742028.999999996,4099346.0000000033,5794188.999999993,4099345.999999965
04-Mar,3611676,0,77630,7350000,7769401,14310459,24732302,0,4633149,7769400.99999999,3611675.9999999953,4633149.000000004,77629.99999999232,4633148.999999987
05-Mar,1321795,11858551,0,15057608,17849114,523866,0,40000000,7496866,17849114.00000001,1321795.0000000142,7496865.99999999,3.714376362040639e-09,7496866.000000028
06-Mar,0,0,6955185,20456348,0,0,3358634,5662464,7849673,0.0,5.163143813229524e-09,7849673.000000008,6955184.9999999935,7849673.000000003
07-Mar,3415058,2873536,0,530420,0,5250223,9415841,4973216,4620295,0.0,3415057.9999999986,4620294.999999999,0.0,4620294.999999958
08-Mar,11499962,17034032,4516087,5000120,1615278,6089145,0,11353240,1571100,1615278.0000000063,11499962.0,1571099.9999999967,4516086.999999999,1571099.9999999842
09-Mar,0,8575718,2524055,126137,0,2063294,5775998,782060,5178187,0.0,0.0,5178186.999999999,2524054.999999997,5178186.999999959
10-Mar,7632717,4835743,40927486,2940812,7885955,11238708,12909330,2213039,4994679,7885954.999999996,7632717.000000002,4994679.000000009,40927486.0,4994679.000000047
11-Mar,0,6557763,9217913,1875130,12030138,3108832,13310000,9682049,8413010,12030137.999999993,3.161628772998989e-09,8413009.999999996,9217913.0,8413010.0
12-Mar,1641499,0,0,3166310,15768302,7220103,5688998,6949262,0,15768301.999999996,1641498.999999998,0.0,3.189825292793102e-09,1.7855903853914107e-08
13-Mar,5298666,8054474,3190389,18350955,10253635,0,10072100,40164430,2953171,10253635.000000011,5298666.000000013,2953170.999999996,3190388.9999999944,2953171.0000000224
14-Mar,0,12714458,2152380,0,7342945,0,7260491,3734000,4244050,7342944.999999995,0.0,4244049.999999994,2152379.9999999995,4244049.999999978
15-Mar,3431071,2026206,2170675,11948180,0,162962,3229763,0,23100457,0.0,3431071.0000000056,23100457.000000004,2170674.9999999986,23100456.99999997
16-Mar,0,2151988,4140558,1083864,216540,25249987,6937640,10526000,4363,216539.9999999969,0.0,4363.000000002401,4140557.9999999967,4362.999999962085
17-Mar,7236120,4548828,4462759,0,0,18065610,189913,7657199,11893872,0.0,7236120.000000001,11893872.0,4462759.000000002,11893871.999999959
18-Mar,0,9480250,5219371,17452000,21839980,3088670,4026633,0,4227691,21839980.000000004,1.2882195763703661e-09,4227690.999999998,5219371.000000006,4227691.000000055
19-Mar,962042,34763,7875000,8217789,9503405,0,0,7552217,1827295,9503404.999999996,962042.0000000022,1827294.9999999995,7875000.000000001,1827295.0000000165
20-Mar,5963874,28797,23016,13907692,6406867,13791196,7296562,143585,2965151,6406866.999999997,5963873.999999997,2965151.0000000047,23015.999999997384,2965151.0000000037
21-Mar,2200615,42692,6701726,1011336,0,0,42254,0,14207657,0.0,2200615.000000002,14207657.000000004,6701726.000000001,14207656.99999997
22-Mar,5183863,12778308,9077472,8610475,7003930,1282147,10579858,11471813,0,7003930.000000002,5183863.000000001,0.0,9077471.999999994,9.036739356815815e-09
23-Mar,1775323,3467479,21005685,23288873,3087956,2342987,20815222,374844,8360520,3087955.999999993,1775323.0000000042,8360520.000000016,21005684.999999996,8360520.0000000335
