Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
29-Jan,3572309,0,110575,12255967,5843050,4917312,10323541,11311118,1470556,4923383.492586692,4908429.645277883,11094700.22873578,1477744.5329906226,10077119.169401677
30-Jan,4970042,6941403,0,9035891,9350600,2500,0,2475587,544656,0.0,11505.84691615939,2759372.70507311,547315.3303267922,19224.60325702628
31-Jan,8525581,0,11024715,0,6314572,11467290,15445260,5328854,5309958,12017469.26092132,12090046.288008098,5285021.248537772,5173654.856476463,14727631.992380856
01-Feb,7150572,574202,6807539,0,2145574,0,5995560,8389685,0,0.0,0.0,9080854.424656885,0.0,5958018.57644973
02-Feb,0,13152221,4076356,4609705,147668,0,16037776,0,0,173602.5977428167,294039.752843403,0.0,0.0,13889539.414793318
03-Feb,7399001,4087610,1590026,221058,0,24857635,0,0,2081747,28596795.25249745,29322223.550465383,0.0,2094677.2854778385,0.0
04-Feb,2039703,8185501,0,8327349,22159471,0,6521899,0,8084425,85253.8332089069,80343.99623916464,19738.942917497203,8108054.957348528,6138178.767899556
05-Feb,1428131,2027852,14960480,17835988,9709455,17413857,0,2520092,4097507,17284599.518708967,17747528.001167167,2498974.0726112667,4443076.256123175,85406.11911394224
06-Feb,13450972,0,630319,18492648,14728715,64183,25757680,0,0,338785.06181570963,344891.883290494,0.0,5455.900026572852,25309334.732499365
07-Feb,3921859,0,6129682,1600209,0,2800,53850,6562519,8875414,110982.27633469913,107645.25268352752,6523686.301681296,9043251.93862288,284758.37701617705
08-Feb,45286395,8856781,2245169,0,1347316,0,10914709,52812774,2649405,0.0,8523.471812294913,40639901.95102976,2682019.065985659,10778484.317965293
09-Feb,0,14459479,8959318,79364,74801,0,0,3315298,1301508,254651.7849133576,250571.9351059525,3064706.482772596,1166628.675879727,0.0
10-Feb,7142179,47471103,6063530,65575,0,8318778,6265128,10941871,6735359,8219210.156926679,8221245.23145669,11100632.174405543,7156441.71534678,5880235.3635935495
11-Feb,3651519,5952882,0,5218480,5531270,9475846,9393848,4727761,2052169,9759943.403413557,9780834.334313303,4740180.977696378,2017923.7945569044,9254481.249711646
12-Feb,0,9024901,7431576,13363127,35323238,11585397,79923,5560334,46122474,11755909.273449544,11807632.8214596,5953644.588384165,34434223.08887833,0.0
13-Feb,16842890,0,41653,9050660,6733396,359346,8562608,0,4038958,602218.3759043148,595123.3106510073,0.0,4103292.258414672,8985580.069805847
14-Feb,7887608,0,6837864,4600000,5543350,0,0,5837954,3627270,419001.65671926114,466592.013372182,5792084.182228152,3578281.2832836104,0.0
15-Feb,17840329,6258292,3808335,7150000,7850200,0,12222436,6730346,3444055,174050.19274233177,254077.4657287902,6663496.758569655,3448177.3542759777,13005582.007112026
16-Feb,0,5781865,7282450,168970,10558785,81013,16465000,12281361,0,0.0,8455.972233134431,13313033.272001851,0.0,20085458.734263062
17-Feb,4866029,0,4836131,4546385,0,49348221,8543446,4651007,3140029,36694139.821117006,33054317.23261867,4650999.2440898,3109255.971169869,8474532.403598525
18-Feb,20642546,7393509,0,7440339,3499910,9076401,7161890,11100420,7693102,9014722.634817395,9020009.210874287,11153981.995035626,7736724.986343302,7316629.780567744
19-Feb,873764,8222778,0,11140441,21932490,15367148,0,0,1780229,14656358.75475558,14445985.174466811,0.0,2088162.449220784,0.0
20-Feb,34778824,0,0,6700936,5696446,0,332975,5860599,2498874,0.0,347.20577466721943,6819583.559754229,2522606.732342135,331061.74404747615
21-Feb,2737342,0,7942342,0,0,5501000,445807,15675988,15682780,5373342.21697031,5366645.653721808,14788873.712961284,15354469.187755931,417525.5888552954
22-Feb,15992963,0,3897443,0,41451208,154914,6997696,4375396,4289568,582910.3712862494,612185.9174811348,4311247.731602407,4246329.570416427,6804666.574401365
23-Feb,0,15248855,7582718,40712,7549950,0,8320491,11753246,13540360,33647.04596684741,8945.907874529345,11535959.638630092,15213024.135134269,8408021.915632237
24-Feb,7592251,2776979,5294004,12587202,0,940878,23166660,8347820,0,991795.3355617772,952505.5570483024,8286200.559011101,3205.523466276198,32625788.530857053
25-Feb,2940443,7407849,3117536,1039742,6339908,25620201,293199,11076757,9024750,28026024.92505046,29501142.13261316,10826785.582861098,8947826.944705714,118228.07049300525
26-Feb,297000,7615486,0,3803479,11828580,0,0,5966153,8645446,33846.48996030166,25582.917912193963,5850314.715059544,8524181.41093953,0.0
27-Feb,8646710,0,56828,10647972,7435426,0,4611096,5264289,6636936,0.0,0.0,4704616.333473665,6674299.53591483,4533015.994170133
28-Feb,2492767,14000,3030900,7930662,5348498,12689294,7469730,0,6502486,12830058.416783,12857947.434614554,0.0,6403171.917354308,8009159.399092101
01-Mar,10282049,5257480,2955041,0,1529988,0,6796000,6582468,8704759,19954.623485252057,15096.735052372183,6456273.853131934,8660385.944008239,7008759.986536301
02-Mar,25395000,1957603,2394100,0,0,2300706,4797730,0,0,2130539.153673428,2134379.1892051664,0.0,71835.69149609741,4706976.480434224
03-Mar,5742029,4333609,5794189,1175273,0,15262834,17372654,3427473,4099346,15329833.349812672,15175902.862701474,3397740.766741229,3938761.7546449294,20220856.529444855
04-Mar,3611676,0,77630,7350000,7769401,14310459,24732302,0,4633149,14464879.436597964,14533015.354372706,0.0,4578992.054349136,26728709.67341346
05-Mar,1321795,11858551,0,15057608,17849114,523866,0,40000000,7496866,544912.5226907006,523528.8589417396,31877160.27896613,8511252.813049588,0.0
06-Mar,0,0,6955185,20456348,0,0,3358634,5662464,7849673,0.0,0.0,5815620.962340312,7651694.916563606,3386598.9767493075
